"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.analyzer.domain.model.Rule",211,46,45,55,16,1,53,4,15
"me.umov.analyzer.actions.DistributionTaskTest",159,10,10,10,39,23,0,23,10
"me.umov.analyzer.domain.model.ActionRuleModel",140,28,26,38,14,1,10,3,10
"me.umov.analyzer.application.observers.SynchronismTimeoutTest",106,5,5,5,30,14,0,14,7
"me.umov.analyzer.domain.model.Task",104,21,21,26,6,0,3,1,9
"me.umov.analyzer.domain.model.Recipients",94,17,11,29,3,0,3,2,2
"me.umov.analyzer.domain.actions.NotificationStrategyTest",88,5,5,5,27,10,0,10,4
"me.umov.analyzer.infrastructure.services.ActionServiceTest",87,8,8,8,22,10,0,10,3
"me.umov.analyzer.domain.model.ActionRuleModelTest",86,13,13,13,9,1,0,1,1
"me.umov.analyzer.infrastructure.aws.ProducerAWSBuilderTest",84,10,10,10,14,3,0,3,5
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategyTest",83,4,4,4,25,12,0,12,7
"me.umov.analyzer.domain.model.DefaultSystemSettings",80,18,18,18,3,0,1,1,9
"me.umov.analyzer.application.observers.SynchronismTimeout",76,7,2,10,18,10,0,14,7
"me.umov.analyzer.domain.model.History",75,16,16,20,3,0,7,1,6
"me.umov.analyzer.application.observers.ReprocessTimeoutTest",74,4,4,4,24,11,0,11,5
"me.umov.analyzer.fixture.RuleFixture",72,16,16,16,6,2,16,2,2
"me.umov.analyzer.application.observers.LogGeneratorTest",72,8,8,8,21,8,0,8,3
"me.umov.analyzer.infrastructure.services.BusinessRestServiceTest",72,4,3,4,21,5,0,6,7
"me.umov.analyzer.domain.core.ErrorTest",69,5,5,5,13,3,0,3,4
"me.umov.analyzer.domain.actions.NotificationStrategy",69,4,1,11,20,7,4,11,4
"me.umov.analyzer.application.AwsConsumerTest",66,7,6,5,15,3,0,4,4
"me.umov.analyzer.domain.model.RuleLog",63,12,12,12,8,1,3,1,6
"me.umov.analyzer.infrastructure.aws.ProducerServiceTest",63,4,4,4,15,2,0,2,4
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy",60,6,1,8,12,8,1,10,7
"me.umov.analyzer.domain.model.Attribute",59,16,15,17,0,0,5,2,6
"me.umov.analyzer.infrastructure.xstreamadapter.service.XStreamServiceTest",59,6,6,6,10,2,0,3,1
"me.umov.analyzer.infrastructure.configurations.AmazonSQSConfiguration",58,7,4,7,14,0,0,1,3
"me.umov.analyzer.infrastructure.services.BusinessRestService",58,5,1,5,15,4,1,8,7
"me.umov.analyzer.domain.actionRule.ActionRuleGenerator",58,3,1,6,14,11,2,12,6
"me.umov.analyzer.infrastructure.services.ActionService",57,6,4,10,13,7,7,10,4
"me.umov.analyzer.domain.model.HistoryItem",56,12,12,12,3,0,1,0,6
"me.umov.analyzer.domain.model.SMS",56,12,12,12,3,0,2,0,6
"me.umov.analyzer.domain.core.StepFactoryTest",56,7,7,7,8,1,0,1,6
"me.umov.analyzer.application.controller.ReprocessController",56,5,1,8,14,7,0,10,2
"me.umov.analyzer.domain.core.ReprocessTest",55,3,3,3,20,8,0,8,6
"me.umov.analyzer.domain.actionRule.ActionRuleGeneratorTest",55,2,2,2,22,10,0,10,9
"me.umov.analyzer.application.worker.NotificationWorkerTest",52,3,3,3,17,8,0,8,7
"me.umov.analyzer.domain.model.RuleRequest",50,11,11,11,2,0,8,1,5
"me.umov.analyzer.application.worker.DistributionWorker",50,4,1,4,12,6,3,10,5
"me.umov.analyzer.domain.model.Action",49,10,10,11,4,0,17,0,5
"me.umov.analyzer.domain.core.Step",49,8,3,9,12,5,9,6,5
"me.umov.analyzer.infrastructure.services.EntitySQSServiceTest",49,4,4,4,12,4,0,4,5
"me.umov.analyzer.application.observers.ReprocessTimeout",48,4,2,6,12,8,1,11,4
"me.umov.analyzer.infrastructure.aws.NotificationAWSSenderTest",48,3,3,3,16,5,0,5,5
"me.umov.analyzer.domain.events.TaskDistributionCompleted",45,12,12,12,2,1,8,3,1
"me.umov.analyzer.domain.actions.DistributionTaskStrategy",44,5,1,6,13,8,1,11,3
"me.umov.analyzer.domain.actionRule.ActionRuleAnalyzerTest",44,3,3,3,13,3,0,3,4
"me.umov.analyzer.application.observers.LogGenerator",44,3,2,6,11,8,0,11,1
"me.umov.analyzer.infrastructure.serialization.AnnotationExcludeSerializationStrategyTest",43,5,5,4,11,2,0,2,1
"me.umov.analyzer.actions.ActionStrategyFactoryTest",42,4,4,4,12,5,0,5,4
"me.umov.analyzer.application.worker.DistributionWorkerTest",42,2,2,2,17,7,0,7,5
"me.umov.analyzer.infrastructure.aws.SendMessageRequestService",41,6,6,6,3,0,0,0,8
"me.umov.analyzer.domain.model.Event",40,8,8,8,3,0,7,0,4
"me.umov.analyzer.domain.model.CustomFieldValue",40,8,8,8,3,0,2,0,4
"me.umov.analyzer.infrastructure.services.JwtService",40,5,2,5,7,1,0,3,5
"me.umov.analyzer.infrastructure.aws.ProducerAWSBuilder",40,4,4,9,10,5,5,8,2
"me.umov.analyzer.domain.validators.rules.TimeOnQueueValidationTest",40,3,3,3,11,3,0,3,1
"me.umov.analyzer.domain.model.ActionRule",39,9,9,9,3,0,15,0,4
"me.umov.analyzer.infrastructure.xstreamadapter.EventSettingTranslatorTest",39,2,2,2,16,9,0,9,2
"me.umov.analyzer.domain.core.ProcessTest",39,2,2,2,13,4,0,4,5
"me.umov.analyzer.infrastructure.configurations.AmazonSQSConfigurationTest",38,4,4,4,10,0,0,0,2
"me.umov.analyzer.application.AwsConsumer",38,4,3,4,9,3,0,4,2
"me.umov.analyzer.domain.model.CallbackParameters",37,10,10,10,0,0,1,0,4
"me.umov.analyzer.domain.model.ResultProcessRule",37,9,9,9,3,0,9,2,3
"me.umov.analyzer.fixture.TaskFixture",37,8,8,8,3,3,1,3,1
"me.umov.analyzer.domain.core.Reprocess",37,4,1,4,8,5,0,10,2
"me.umov.analyzer.domain.core.StepFactory",37,1,1,7,5,2,1,4,7
"me.umov.analyzer.domain.model.SystemParameter",36,6,6,6,6,0,2,0,3
"me.umov.analyzer.domain.actions.DistributionTaskActionStrategy",36,3,0,3,9,7,3,9,2
"me.umov.analyzer.domain.core.StartTest",36,2,2,2,12,3,0,3,4
"me.umov.analyzer.application.worker.NotificationWorker",36,1,1,1,11,7,2,10,5
"me.umov.analyzer.domain.events.NotificationWasScheduled",35,6,6,6,2,1,5,2,4
"me.umov.analyzer.infrastructure.configurations.GsonConfiguration",35,3,2,2,12,3,2,4,0
"me.umov.analyzer.infrastructure.xstreamadapter.service.XStreamService",35,3,2,4,7,4,4,8,1
"me.umov.analyzer.architecture.InfrastructureTest",35,0,0,1,9,0,0,0,3
"me.umov.analyzer.infrastructure.serialization.LocalDateSerializationAdapterTest",34,5,5,5,7,0,0,0,0
"me.umov.analyzer.infrastructure.xstreamadapter.converters.EventSettingConverter",33,4,3,6,6,1,1,4,0
"me.umov.analyzer.infrastructure.xstreamadapter.converters.IgnoreTaskTypeConverter",33,4,3,6,8,0,1,3,0
"me.umov.analyzer.domain.model.Agent",32,6,6,6,3,0,2,0,3
"me.umov.analyzer.infrastructure.serialization.LocalTimeSerializationAdapterTest",32,5,5,5,6,0,0,0,0
"me.umov.analyzer.domain.model.ProcessRuleMessage",31,6,5,7,4,0,9,0,2
