"from","to","number"
"com.trevisan.umovandroid.UMovApplication","com.trevisan.umovandroid.androidservice.TaskExceededExecutionTimeMonitorService",1
"com.trevisan.umovandroid.UMovApplication","com.trevisan.umovandroid.sync.AutomaticSync",1
"com.trevisan.umovandroid.UMovApplication","com.trevisan.umovandroid.view.lib.TTActivityBase",1
"com.trevisan.umovandroid.UMovMainActivity","com.trevisan.umovandroid.action.ActionVerifyPermissions",1
"com.trevisan.umovandroid.action.ActionActivityCompletedHistoricalsDelete","com.trevisan.umovandroid.view.ActivityCompletedHistoricals",1
"com.trevisan.umovandroid.action.ActionActivityLoginChangePerson","com.trevisan.umovandroid.action.login.ActionDoLoginWithFacebookUsingUMovAuthToken",1
"com.trevisan.umovandroid.action.ActionAttachOrViewDocument","com.trevisan.umovandroid.component.TTDocument",1
"com.trevisan.umovandroid.action.ActionCancelItem","com.trevisan.umovandroid.view.ActivityFieldsNew",1
"com.trevisan.umovandroid.action.ActionCancelItem","com.trevisan.umovandroid.view.larepublica.ActivityCheckDataLR",1
"com.trevisan.umovandroid.action.ActionCancelItem","com.trevisan.umovandroid.view.materialdesign.ActivityFieldsMD",1
"com.trevisan.umovandroid.action.ActionConfirmAddNewTask","com.trevisan.umovandroid.view.ActivityConfirmAddNewTaskNew",1
"com.trevisan.umovandroid.action.ActionExecuteItemFragment","com.trevisan.umovandroid.fragment.materialdesign.ItemsFragmentMD",1
"com.trevisan.umovandroid.action.ActionExecuteItemsGroupMD","com.trevisan.umovandroid.fragment.materialdesign.ItemsFragmentMD",1
"com.trevisan.umovandroid.action.ActionExecuteMasterGroupMD","com.trevisan.umovandroid.fragment.materialdesign.ItemsFragmentMD",1
"com.trevisan.umovandroid.action.ActionLoadDataManagementPanel","com.trevisan.umovandroid.view.ActivityManagementPanel",1
"com.trevisan.umovandroid.action.ActionManageCollectedItemsViewMode","com.trevisan.umovandroid.fragment.materialdesign.ItemsFragmentMD",1
"com.trevisan.umovandroid.action.ActionPickVideoFromGallery","com.trevisan.umovandroid.component.TTVideoRecorder",1
"com.trevisan.umovandroid.action.ActionRemoveAudioFromAudioSectionField","com.trevisan.umovandroid.component.TTAudioRecorder",1
"com.trevisan.umovandroid.action.ActionRemoveFieldHistoricalFromSectionWithDuplicatedItems","com.trevisan.umovandroid.adapter.AlertDialogListAdapter",1
