"method","loc","cyclo","calls","nbd","param"
"com.trevisan.umovandroid.db.UpgradeScripts.upgradeDBToVersion(SQLiteDatabase db, int version)",1071,160,459,1,2
"com.trevisan.umovandroid.service.FeatureToggleService.loadFeatureToggle(FeatureToggle currentFeatureToggle)",251,63,125,2,1
"com.trevisan.umovandroid.sync.extraction.ExtractionManager.getEntityExtractor(String entityName, SyncResult syncResult)",172,56,3,5,2
"com.trevisan.umovandroid.db.OldDataBaseUpdater.upgradeToVersion(SQLiteDatabase db, int oldVersion, int newVersion)",277,52,173,5,3
"com.trevisan.umovandroid.service.LocationFieldService.populateLocationValuesWithFieldsValues(List<LocationField> locationFields, Location location)",147,49,108,2,2
"com.trevisan.umovandroid.service.LocationFieldService.populateFieldsValuesWithLocationValues(List<LocationField> locationFields, Location location)",147,44,100,2,2
"com.trevisan.umovandroid.service.LocationFieldService.loadTransientAttributes(LocationField locationField)",199,43,197,2,1
"com.trevisan.umovandroid.service.SaveAndRestoreUmovContext.restoreTaskExecutionManager(TaskExecutionManager taskExecutionManager, ExpressionsController expressionsController, FieldsPagesManager fieldsPagesManager)",158,41,119,5,3
"com.trevisan.umovandroid.expressions.LocationAttributeRetriever.getCurrentLocationAttribute(String field)",116,37,110,3,1
"com.trevisan.umovandroid.component.ComponentsFactory.makeComponent(final Field field, final Context context, TaskExecutionManager taskExecutionManager)",96,35,92,3,3
"com.trevisan.umovandroid.expressions.PersonAttributeRetriever.getPersonFieldValue(String field)",95,30,109,2,1
"com.trevisan.umovandroid.lib.expressions.ArithmeticalCalculator.calculate(Operand operand1, String operator, Operand operand2, boolean convertEmptyValuesToZero)",77,27,43,4,4
"com.trevisan.umovandroid.component.TTQualification.updateUI(int selectedIndex)",109,25,35,3,1
"com.trevisan.umovandroid.expressions.TaskAttributeRetriever.getCurrentTaskFieldValue(String attributeName)",73,25,73,1,1
"com.trevisan.umovandroid.service.DataService.verifyPendingSendingData()",56,23,74,2,0
"com.trevisan.umovandroid.component.address.ActionConfirmAddress.doAction()",55,22,85,4,0
"com.trevisan.umovandroid.action.ActionQuitFieldsScreen.laRepublicaUIVersionFlow()",92,21,43,6,0
"com.trevisan.umovandroid.service.RealimentationService.updateEntitiesByCollectedData(final Task task, final ActivityTask activityTask, final ActivityHistorical activityHistorical, final Item item, final boolean onActivityTaskFinalize, TaskExecutionManager taskExecutionManager)",74,21,39,5,6
"com.trevisan.umovandroid.service.SaveAndRestoreUmovContext.saveTaskExecutionManager(TaskExecutionManager taskExecutionManager)",70,21,161,5,1
"com.trevisan.umovandroid.lib.expressions.operand.function.AddressFunctionOperand.calculateValue()",49,21,33,3,0
"com.trevisan.umovandroid.component.TTFocusAnimationView.setAnimationFocusOnSearchBarWithMenu(Menu menu, MenuItem menuItem)",98,21,28,2,2
