"namespace","ca","ce","instability","abstractness","distance"
"com.trevisan.umovandroid.action",160,57,0.2626728110599078,0.029661016949152543,0.7076661719909396
"com.trevisan.umovandroid.service",516,54,0.09473684210526316,0.034782608695652174,0.8704805491990847
"com.trevisan.umovandroid.model",674,10,0.014619883040935672,0.018691588785046728,0.9666885281740176
"com.trevisan.umovandroid.dao",71,14,0.16470588235294117,0.014705882352941176,0.8205882352941176
"com.trevisan.umovandroid.view",84,31,0.26956521739130435,0.03571428571428571,0.69472049689441
"com.trevisan.umovandroid.sync.extraction",12,11,0.4782608695652174,0.037037037037037035,0.4847020933977455
"com.trevisan.umovandroid.lib.expressions.operand.function",7,15,0.6818181818181818,0.0,0.31818181818181823
"com.trevisan.umovandroid.component",67,29,0.3020833333333333,0.08571428571428572,0.612202380952381
"com.trevisan.umovandroid.adapter",37,18,0.32727272727272727,0.10714285714285714,0.5655844155844156
"com.trevisan.umovandroid.sync.historical",6,7,0.5384615384615384,0.08695652173913043,0.3745819397993311
"com.trevisan.umovandroid.type",0,0,0.0,0.0,1.0
"com.trevisan.umovandroid.sync",50,22,0.3055555555555556,0.25,0.4444444444444444
"com.trevisan.umovandroid.util",146,8,0.05194805194805195,0.0,0.948051948051948
"com.trevisan.umovandroid.component.multimedia",4,13,0.7647058823529411,0.3125,0.07720588235294112
"com.trevisan.umovandroid.dao.customcriteria",3,13,0.8125,0.125,0.0625
"com.trevisan.umovandroid.listdatasource",4,16,0.8,0.2,0.0
"com.trevisan.umovandroid.service.downloadimagesentity",1,4,0.8,0.06666666666666667,0.1333333333333333
"com.trevisan.umovandroid.expressions",18,14,0.4375,0.07692307692307693,0.48557692307692313
"com.trevisan.umovandroid.action.login",7,9,0.5625,0.07692307692307693,0.36057692307692313
"com.trevisan.umovandroid.component.input",12,7,0.3684210526315789,0.08333333333333333,0.5482456140350878
"com.trevisan.umovandroid.action.constraint",67,6,0.0821917808219178,0.08333333333333333,0.8344748858447488
"com.trevisan.umovandroid.eca.business",18,16,0.47058823529411764,0.09090909090909091,0.4385026737967914
"com.trevisan.umovandroid.service.retroalimentation",2,6,0.75,0.18181818181818182,0.06818181818181812
"com.trevisan.umovandroid.model.eca.binder",3,6,0.6666666666666666,0.09090909090909091,0.24242424242424243
"com.trevisan.umovandroid.lib.vo",100,1,0.009900990099009901,0.0,0.9900990099009901
"com.trevisan.umovandroid.db",100,4,0.038461538461538464,0.1111111111111111,0.8504273504273504
"com.trevisan.umovandroid.component.address",7,15,0.6818181818181818,0.0,0.31818181818181823
"com.trevisan.umovandroid.model.eca",18,3,0.14285714285714285,0.0,0.8571428571428572
"com.trevisan.umovandroid.eca.event",13,5,0.2777777777777778,0.125,0.5972222222222222
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection",3,10,0.7692307692307693,0.125,0.10576923076923073
"com.trevisan.umovandroid.view.drawable",2,2,0.5,0.0,0.5
"com.trevisan.umovandroid",52,15,0.22388059701492538,0.0,0.7761194029850746
"com.trevisan.umovandroid.lib.util",80,5,0.058823529411764705,0.0,0.9411764705882353
"com.trevisan.umovandroid.adapter.materialdesign",8,15,0.6521739130434783,0.0,0.34782608695652173
"com.trevisan.umovandroid.view.lib",115,18,0.13533834586466165,0.5714285714285714,0.29323308270676696
"com.trevisan.umovandroid.lib.expressions",30,14,0.3181818181818182,0.3333333333333333,0.3484848484848485
"com.trevisan.umovandroid.geoposition",8,7,0.4666666666666667,0.16666666666666666,0.3666666666666667
"com.trevisan.umovandroid.imageloader",14,1,0.06666666666666667,0.3333333333333333,0.6000000000000001
"com.trevisan.umovandroid.model.larepublica",2,2,0.5,0.0,0.5
"com.trevisan.umovandroid.view.larepublica.expanableActivityTaskSection",1,7,0.875,0.16666666666666666,0.04166666666666674
"com.trevisan.umovandroid.sync.extraction.eca",1,4,0.8,0.0,0.19999999999999996
"com.trevisan.umovandroid.lib.expressions.parser",1,10,0.9090909090909091,0.2,0.10909090909090913
"com.trevisan.umovandroid.lib.type",0,0,0.0,0.0,1.0
"com.trevisan.umovandroid.model.webrouter",4,0,0.0,0.0,1.0
"com.trevisan.umovandroid.model.payment",1,0,0.0,0.0,1.0
"com.trevisan.umovandroid.imagemanager",4,4,0.5,0.2,0.30000000000000004
"com.trevisan.umovandroid.action.acceleratedactivity",2,5,0.7142857142857143,0.0,0.2857142857142857
"com.trevisan.umovandroid.view.actionbar",5,10,0.6666666666666666,0.4,0.06666666666666665
"com.trevisan.umovandroid.lib.expressions.operand",103,21,0.1693548387096774,0.25,0.5806451612903226
"com.trevisan.umovandroid.lib.expressions.tree",7,2,0.2222222222222222,0.25,0.5277777777777778
"com.trevisan.umovandroid.service.gps",6,5,0.45454545454545453,0.25,0.2954545454545454
"com.trevisan.umovandroid.service.eca",10,9,0.47368421052631576,0.0,0.5263157894736843
"com.trevisan.umovandroid.component.materialdesign",3,7,0.7,0.5,0.19999999999999996
"com.trevisan.umovandroid.model.retroalimentation",10,0,0.0,0.0,1.0
"com.trevisan.umovandroid.androidservice",6,4,0.4,0.25,0.35
"com.trevisan.umovandroid.view.materialdesign",23,21,0.4772727272727273,0.0,0.5227272727272727
"com.trevisan.umovandroid.fragment.materialdesign",20,12,0.375,0.25,0.375
"com.trevisan.umovandroid.manager",285,6,0.020618556701030927,0.0,0.979381443298969
"com.trevisan.umovandroid.lib.expressions.result",7,2,0.2222222222222222,0.0,0.7777777777777778
"com.trevisan.umovandroid.lib.expressions.operand.annotation",0,0,0.0,0.0,1.0
"com.trevisan.umovandroid.lib.expressions.operand.item",4,3,0.42857142857142855,0.0,0.5714285714285714
"com.trevisan.umovandroid.util.mask",8,1,0.1111111111111111,0.0,0.8888888888888888
"com.trevisan.umovandroid.language",1,0,0.0,0.3333333333333333,0.6666666666666667
"com.trevisan.umovandroid.graphql.response",2,0,0.0,0.0,1.0
"com.trevisan.umovandroid.graphql.request",1,2,0.6666666666666666,0.0,0.33333333333333337
"com.trevisan.umovandroid.service.api",3,10,0.7692307692307693,0.0,0.23076923076923073
"com.trevisan.umovandroid.component.chromecustomtabs",3,1,0.25,0.3333333333333333,0.41666666666666674
"com.trevisan.umovandroid.model.onlinequery",7,2,0.2222222222222222,0.0,0.7777777777777778
"com.trevisan.umovandroid.model.executionsondashboard",1,0,0.0,0.0,1.0
"com.trevisan.umovandroid.model.settingsproperties",27,2,0.06896551724137931,0.0,0.9310344827586207
"com.trevisan.umovandroid.dao.eca",3,5,0.625,0.0,0.375
"com.trevisan.umovandroid.androidservice.backgroundsyncdata",4,9,0.6923076923076923,0.0,0.3076923076923077
"com.trevisan.umovandroid.view.larepublica",12,8,0.4,0.0,0.6
"com.trevisan.umovandroid.sync.extraction.onlinequery",1,2,0.6666666666666666,0.0,0.33333333333333337
"com.trevisan.umovandroid.lib.expressions.operand.field",51,2,0.03773584905660377,0.0,0.9622641509433962
"com.trevisan.umovandroid.lib.theme",41,0,0.0,0.0,1.0
"com.trevisan.umovandroid.error",1,2,0.6666666666666666,0.0,0.33333333333333337
"com.trevisan.umovandroid.graphql",2,1,0.3333333333333333,0.5,0.16666666666666674
"com.trevisan.umovandroid.service.structuralfunction.scheduling",1,5,0.8333333333333334,0.0,0.16666666666666663
"com.trevisan.umovandroid.service.nonconformities",1,0,0.0,0.0,1.0
"com.trevisan.umovandroid.adapter.larepublica",0,1,1.0,0.0,0.0
"com.trevisan.umovandroid.component.additionalsettings",3,0,0.0,0.0,1.0
"com.trevisan.umovandroid.component.input.cognex",9,2,0.18181818181818182,0.0,0.8181818181818181
"com.trevisan.umovandroid.component.filter",1,0,0.0,0.0,1.0
"com.trevisan.umovandroid.component.duration",1,8,0.8888888888888888,0.0,0.11111111111111116
"com.trevisan.umovandroid.model.sectionsandconference",3,1,0.25,0.0,0.75
"com.trevisan.umovandroid.dao.listener",3,0,0.0,1.0,0.0
"com.trevisan.umovandroid.view.theme",4,4,0.5,0.0,0.5
"com.trevisan.umovandroid.listener",4,1,0.2,0.5,0.30000000000000004
"com.trevisan.umovandroid.lib.expressions.flow",18,1,0.05263157894736842,0.0,0.9473684210526316
"com.trevisan.umovandroid.lib.expressions.operand.subgroup",1,3,0.75,0.0,0.25
"com.trevisan.umovandroid.lib.expressions.operand.task",2,3,0.6,0.0,0.4
"com.trevisan.umovandroid.lib.expressions.operand.person",1,3,0.75,0.0,0.25
"com.trevisan.umovandroid.lib.expressions.operand.connector",1,4,0.8,0.0,0.19999999999999996
"com.trevisan.umovandroid.lib.expressions.operand.group",1,3,0.75,0.0,0.25
"com.trevisan.umovandroid.lib.expressions.operand.constantOperand",6,1,0.14285714285714285,0.0,0.8571428571428572
"com.trevisan.umovandroid.lib.expressions.operand.device",1,2,0.6666666666666666,0.0,0.33333333333333337
"com.trevisan.umovandroid.lib.expressions.operand.geocoordinate",7,0,0.0,0.0,1.0
"com.trevisan.umovandroid.lib.expressions.operand.location",1,3,0.75,0.0,0.25
"com.trevisan.umovandroid.lib.expressions.operand.customEntity",2,4,0.6666666666666666,0.0,0.33333333333333337
"com.trevisan.umovandroid.lib.expressions.operator",10,0,0.0,0.0,1.0
"com.trevisan.umovandroid.lib",0,0,0.0,0.0,1.0
"com.trevisan.umovandroid.lib.media",1,0,0.0,1.0,0.0
"com.trevisan.umovandroid.lib.language",3,0,0.0,1.0,0.0
"com.trevisan.umovandroid.viewmodel",1,1,0.5,0.0,0.5
"com.trevisan.umovandroid.eca.context.input",2,7,0.7777777777777778,0.0,0.2222222222222222
"com.trevisan.umovandroid.eca",2,0,0.0,0.0,1.0
"com.trevisan.umovandroid.log",23,0,0.0,0.0,1.0
"com.trevisan.umovandroid.imagegallery",3,4,0.5714285714285714,0.0,0.4285714285714286
"com.trevisan.umovandroid.pushnotification",1,0,0.0,0.0,1.0
"com.trevisan.umovandroid.service.larepublica",2,6,0.75,0.0,0.25
"com.trevisan.umovandroid.service.structuralfunction",1,3,0.75,1.0,0.75
"com.trevisan.umovandroid.service.profile",3,2,0.4,0.0,0.6
"com.trevisan.umovandroid.service.googlePlayServices",2,2,0.5,0.0,0.5
"com.trevisan.umovandroid.service.payment",4,11,0.7333333333333333,0.0,0.2666666666666667
"com.trevisan.umovandroid.model.sync",9,0,0.0,0.0,1.0
"com.trevisan.umovandroid.model.interfaces",10,0,0.0,1.0,0.0
"com.trevisan.umovandroid.model.saveAndRestoreContext",1,1,0.5,0.0,0.5
"com.trevisan.umovandroid.model.hidebyexpressionvalidation",5,1,0.16666666666666666,0.0,0.8333333333333334
"com.trevisan.umovandroid.model.annotation",0,0,0.0,0.0,1.0
"com.trevisan.umovandroid.model.api",1,0,0.0,0.0,1.0
"com.trevisan.umovandroid.action.onlinequery",0,5,1.0,0.0,0.0
"com.trevisan.umovandroid.action.lib",62,7,0.10144927536231885,1.0,0.10144927536231885
"com.trevisan.umovandroid.view.onlinequery",1,5,0.8333333333333334,0.0,0.16666666666666663
"com.trevisan.umovandroid.view.eca",1,4,0.8,0.0,0.19999999999999996
"com.trevisan.umovandroid.fragment",2,1,0.3333333333333333,1.0,0.33333333333333326
