"namespace","noc","nac"
"com.trevisan.umovandroid.action",236,7
"com.trevisan.umovandroid.service",115,4
"com.trevisan.umovandroid.model",107,2
"com.trevisan.umovandroid.dao",68,1
"com.trevisan.umovandroid.view",56,2
"com.trevisan.umovandroid.sync.extraction",54,2
"com.trevisan.umovandroid.lib.expressions.operand.function",37,0
"com.trevisan.umovandroid.component",35,3
"com.trevisan.umovandroid.adapter",28,3
"com.trevisan.umovandroid.sync.historical",23,2
"com.trevisan.umovandroid.type",22,0
"com.trevisan.umovandroid.sync",20,5
"com.trevisan.umovandroid.util",19,0
"com.trevisan.umovandroid.component.multimedia",16,5
"com.trevisan.umovandroid.dao.customcriteria",16,2
"com.trevisan.umovandroid.listdatasource",15,3
"com.trevisan.umovandroid.service.downloadimagesentity",15,1
"com.trevisan.umovandroid.expressions",13,1
"com.trevisan.umovandroid.action.login",13,1
"com.trevisan.umovandroid.component.input",12,1
"com.trevisan.umovandroid.action.constraint",12,1
"com.trevisan.umovandroid.eca.business",11,1
"com.trevisan.umovandroid.service.retroalimentation",11,2
"com.trevisan.umovandroid.model.eca.binder",11,1
"com.trevisan.umovandroid.lib.vo",9,0
"com.trevisan.umovandroid.db",9,1
"com.trevisan.umovandroid.component.address",9,0
"com.trevisan.umovandroid.model.eca",9,0
"com.trevisan.umovandroid.eca.event",8,1
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection",8,1
"com.trevisan.umovandroid.view.drawable",8,0
"com.trevisan.umovandroid",7,0
"com.trevisan.umovandroid.lib.util",7,0
"com.trevisan.umovandroid.adapter.materialdesign",7,0
"com.trevisan.umovandroid.view.lib",7,4
"com.trevisan.umovandroid.lib.expressions",6,2
"com.trevisan.umovandroid.geoposition",6,1
"com.trevisan.umovandroid.imageloader",6,2
"com.trevisan.umovandroid.model.larepublica",6,0
"com.trevisan.umovandroid.view.larepublica.expanableActivityTaskSection",6,1
"com.trevisan.umovandroid.sync.extraction.eca",5,0
"com.trevisan.umovandroid.lib.expressions.parser",5,1
"com.trevisan.umovandroid.lib.type",5,0
"com.trevisan.umovandroid.model.webrouter",5,0
"com.trevisan.umovandroid.model.payment",5,0
"com.trevisan.umovandroid.imagemanager",5,1
"com.trevisan.umovandroid.action.acceleratedactivity",5,0
"com.trevisan.umovandroid.view.actionbar",5,2
"com.trevisan.umovandroid.lib.expressions.operand",4,1
"com.trevisan.umovandroid.lib.expressions.tree",4,1
"com.trevisan.umovandroid.service.gps",4,1
"com.trevisan.umovandroid.service.eca",4,0
"com.trevisan.umovandroid.component.materialdesign",4,2
"com.trevisan.umovandroid.model.retroalimentation",4,0
"com.trevisan.umovandroid.androidservice",4,1
"com.trevisan.umovandroid.view.materialdesign",4,0
"com.trevisan.umovandroid.fragment.materialdesign",4,1
"com.trevisan.umovandroid.manager",3,0
"com.trevisan.umovandroid.lib.expressions.result",3,0
"com.trevisan.umovandroid.lib.expressions.operand.annotation",3,0
"com.trevisan.umovandroid.lib.expressions.operand.item",3,0
"com.trevisan.umovandroid.util.mask",3,0
"com.trevisan.umovandroid.language",3,1
"com.trevisan.umovandroid.graphql.response",3,0
"com.trevisan.umovandroid.graphql.request",3,0
"com.trevisan.umovandroid.service.api",3,0
"com.trevisan.umovandroid.component.chromecustomtabs",3,1
"com.trevisan.umovandroid.model.onlinequery",3,0
"com.trevisan.umovandroid.model.executionsondashboard",3,0
"com.trevisan.umovandroid.model.settingsproperties",3,0
"com.trevisan.umovandroid.dao.eca",3,0
"com.trevisan.umovandroid.androidservice.backgroundsyncdata",3,0
"com.trevisan.umovandroid.view.larepublica",3,0
"com.trevisan.umovandroid.sync.extraction.onlinequery",2,0
"com.trevisan.umovandroid.lib.expressions.operand.field",2,0
"com.trevisan.umovandroid.lib.theme",2,0
"com.trevisan.umovandroid.error",2,0
"com.trevisan.umovandroid.graphql",2,1
"com.trevisan.umovandroid.service.structuralfunction.scheduling",2,0
"com.trevisan.umovandroid.service.nonconformities",2,0
"com.trevisan.umovandroid.adapter.larepublica",2,0
"com.trevisan.umovandroid.component.additionalsettings",2,0
"com.trevisan.umovandroid.component.input.cognex",2,0
"com.trevisan.umovandroid.component.filter",2,0
"com.trevisan.umovandroid.component.duration",2,0
"com.trevisan.umovandroid.model.sectionsandconference",2,0
"com.trevisan.umovandroid.dao.listener",2,2
"com.trevisan.umovandroid.view.theme",2,0
"com.trevisan.umovandroid.listener",2,1
"com.trevisan.umovandroid.lib.expressions.flow",1,0
"com.trevisan.umovandroid.lib.expressions.operand.subgroup",1,0
"com.trevisan.umovandroid.lib.expressions.operand.task",1,0
"com.trevisan.umovandroid.lib.expressions.operand.person",1,0
"com.trevisan.umovandroid.lib.expressions.operand.connector",1,0
"com.trevisan.umovandroid.lib.expressions.operand.group",1,0
"com.trevisan.umovandroid.lib.expressions.operand.constantOperand",1,0
"com.trevisan.umovandroid.lib.expressions.operand.device",1,0
"com.trevisan.umovandroid.lib.expressions.operand.geocoordinate",1,0
"com.trevisan.umovandroid.lib.expressions.operand.location",1,0
"com.trevisan.umovandroid.lib.expressions.operand.customEntity",1,0
"com.trevisan.umovandroid.lib.expressions.operator",1,0
"com.trevisan.umovandroid.lib",1,0
"com.trevisan.umovandroid.lib.media",1,1
"com.trevisan.umovandroid.lib.language",1,1
"com.trevisan.umovandroid.viewmodel",1,0
"com.trevisan.umovandroid.eca.context.input",1,0
"com.trevisan.umovandroid.eca",1,0
"com.trevisan.umovandroid.log",1,0
"com.trevisan.umovandroid.imagegallery",1,0
"com.trevisan.umovandroid.pushnotification",1,0
"com.trevisan.umovandroid.service.larepublica",1,0
"com.trevisan.umovandroid.service.structuralfunction",1,1
"com.trevisan.umovandroid.service.profile",1,0
"com.trevisan.umovandroid.service.googlePlayServices",1,0
"com.trevisan.umovandroid.service.payment",1,0
"com.trevisan.umovandroid.model.sync",1,0
"com.trevisan.umovandroid.model.interfaces",1,1
"com.trevisan.umovandroid.model.saveAndRestoreContext",1,0
"com.trevisan.umovandroid.model.hidebyexpressionvalidation",1,0
"com.trevisan.umovandroid.model.annotation",1,0
"com.trevisan.umovandroid.model.api",1,0
"com.trevisan.umovandroid.action.onlinequery",1,0
"com.trevisan.umovandroid.action.lib",1,1
"com.trevisan.umovandroid.view.onlinequery",1,0
"com.trevisan.umovandroid.view.eca",1,0
"com.trevisan.umovandroid.fragment",1,1
