"type","dep","i-dep","fan-in","fan-out"
"com.trevisan.umovandroid.model.SystemParameters",6,1,98,4
"com.trevisan.umovandroid.service.TaskService",50,28,52,37
"com.trevisan.umovandroid.db.UpgradeScripts",5,4,1,5
"com.trevisan.umovandroid.adapter.materialdesign.ItemsAdapterForRecyclerViewMD",51,28,3,34
"com.trevisan.umovandroid.component.TTQualification",27,8,2,13
"com.trevisan.umovandroid.lib.expressions.ExpressionsController",28,20,26,24
"com.trevisan.umovandroid.service.FieldHistoricalService",33,21,58,32
"com.trevisan.umovandroid.service.ActivityTaskService",42,27,37,34
"com.trevisan.umovandroid.view.materialdesign.ActivityFieldsMD",77,51,8,57
"com.trevisan.umovandroid.sync.SyncController",45,35,31,41
"com.trevisan.umovandroid.service.SaveAndRestoreUmovContext",39,28,1,36
"com.trevisan.umovandroid.service.MultimediaLinksService",39,16,47,29
"com.trevisan.umovandroid.adapter.SectionsAndConferenceAdapter",50,28,3,31
"com.trevisan.umovandroid.service.ItemService",44,27,46,37
"com.trevisan.umovandroid.view.lib.TTActionBarActivity",80,39,64,44
"com.trevisan.umovandroid.dao.TaskDAO",21,14,1,18
"com.trevisan.umovandroid.service.SectionService",35,24,56,28
"com.trevisan.umovandroid.db.CreationScripts",1,0,1,0
"com.trevisan.umovandroid.dao.DAO",16,7,73,19
"com.trevisan.umovandroid.model.Field",5,0,122,5
"com.trevisan.umovandroid.service.DataCheckingService",38,19,3,28
"com.trevisan.umovandroid.view.ActivityLogin",62,31,3,37
"com.trevisan.umovandroid.model.FeatureToggle",1,0,72,1
"com.trevisan.umovandroid.sync.extraction.ExtractionManager",23,17,2,24
"com.trevisan.umovandroid.fragment.materialdesign.TaskFragmentMD",61,26,3,33
"com.trevisan.umovandroid.fragment.materialdesign.ItemsFragmentMD",54,34,17,39
"com.trevisan.umovandroid.service.LocationFieldService",7,4,4,6
"com.trevisan.umovandroid.component.TTComponent",36,18,49,20
"com.trevisan.umovandroid.action.ActionExecuteSection",52,42,17,48
"com.trevisan.umovandroid.manager.TaskExecutionManager",24,18,282,23
"com.trevisan.umovandroid.dao.ItemDAO",26,13,1,21
"com.trevisan.umovandroid.model.ActivityTask",6,0,96,7
"com.trevisan.umovandroid.model.Agent",5,1,45,7
"com.trevisan.umovandroid.model.Location",1,0,25,5
"com.trevisan.umovandroid.adapter.materialdesign.TasksAdapterMD",48,25,1,29
"com.trevisan.umovandroid.model.settingsproperties.SettingsProperties",4,1,25,7
"com.trevisan.umovandroid.action.ActionStemac",16,5,3,9
"com.trevisan.umovandroid.component.TTTextBox",33,9,3,16
"com.trevisan.umovandroid.util.UMovUtils",51,12,74,24
"com.trevisan.umovandroid.model.Section",5,1,112,5
"com.trevisan.umovandroid.action.ActionExecuter",36,13,3,16
"com.trevisan.umovandroid.model.Task",9,2,120,9
"com.trevisan.umovandroid.action.ActionShowFields",44,32,5,36
"com.trevisan.umovandroid.service.payment.PaymentService",63,35,4,39
"com.trevisan.umovandroid.adapter.TaskListAdapterNew",45,23,9,29
"com.trevisan.umovandroid.service.MediaHistoricalService",40,19,32,22
"com.trevisan.umovandroid.view.materialdesign.ActivityTasksMD",49,27,10,31
"com.trevisan.umovandroid.dao.SystemParametersDAO",12,3,1,4
"com.trevisan.umovandroid.sync.HttpConnector",34,4,16,15
"com.trevisan.umovandroid.component.address.ActivityAddressSectionField",29,9,1,14
"com.trevisan.umovandroid.component.TTAudioRecorder",28,11,10,16
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask1PrePhotos",33,27,10,32
"com.trevisan.umovandroid.view.ActivityFieldsNew",52,33,8,38
"com.trevisan.umovandroid.view.ActivityTasksNew",58,29,10,34
"com.trevisan.umovandroid.dao.customcriteria.ValidationExpressionWhenShowItemsCriteria",31,23,1,30
"com.trevisan.umovandroid.action.ActionQuitFieldsScreen",31,24,6,26
"com.trevisan.umovandroid.component.TTMultipleList",22,7,4,13
"com.trevisan.umovandroid.action.lib.ActionBehavior",35,10,62,18
"com.trevisan.umovandroid.service.larepublica.DataCheckingServiceCurrent",42,18,2,21
"com.trevisan.umovandroid.view.materialdesign.ActivityItemsMD",35,17,7,19
"com.trevisan.umovandroid.lib.util.DateFormatter",10,0,50,8
"com.trevisan.umovandroid.model.FieldHistorical",9,2,47,8
"com.trevisan.umovandroid.component.TTGeocoordinateNew",29,14,2,20
"com.trevisan.umovandroid.lib.expressions.ArithmeticalCalculator",21,9,2,17
"com.trevisan.umovandroid.view.ActivityItemsNew",44,28,6,33
"com.trevisan.umovandroid.lib.expressions.operand.OperandParser",62,51,15,62
"com.trevisan.umovandroid.imageloader.ImageLoader",9,1,1,9
"com.trevisan.umovandroid.dao.FieldHistoricalDAO",15,8,3,14
"com.trevisan.umovandroid.service.CustomFieldValueService",31,14,21,20
"com.trevisan.umovandroid.action.ActionExecuteActivityTask",39,34,4,36
"com.trevisan.umovandroid.service.api.DownloadActivityHistoricalFromGraphQLService",36,26,1,32
"com.trevisan.umovandroid.dao.CustomEntityEntryDAO",21,11,1,17
"com.trevisan.umovandroid.util.AppRuntime",10,3,31,4
"com.trevisan.umovandroid.lib.expressions.operand.ExpressionValue",15,4,94,8
"com.trevisan.umovandroid.service.AutomaticActivityExecutionService",26,21,1,25
"com.trevisan.umovandroid.util.mask.MaskListener",9,2,11,8
"com.trevisan.umovandroid.view.ActivityTaskNew",47,27,5,32
"com.trevisan.umovandroid.expressions.ActivityFieldManipulator",21,15,5,17
"com.trevisan.umovandroid.model.settingsproperties.SignUpSettings",7,2,10,5
"com.trevisan.umovandroid.service.MenuItemService",31,26,2,27
"com.trevisan.umovandroid.component.TTImageNew",33,18,3,23
"com.trevisan.umovandroid.component.ItemsAndTasksSearchManagerMD",39,20,3,21
"com.trevisan.umovandroid.geoposition.GeoPositionRequester",19,6,4,10
"com.trevisan.umovandroid.db.OldDataBaseUpdater",4,1,1,3
"com.trevisan.umovandroid.service.TimeWorkIntervalsService",19,14,2,17
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection.ExpandableTaskSection",38,19,6,25
"com.trevisan.umovandroid.sync.MediaSyncController",17,10,8,14
"com.trevisan.umovandroid.component.TTLinearDistance",24,11,2,17
"com.trevisan.umovandroid.view.ActivityLocationEditNew",38,22,1,27
"com.trevisan.umovandroid.view.theme.CustomThemeParser",26,4,3,7
"com.trevisan.umovandroid.action.ActionActivityLoginTests",22,14,1,22
"com.trevisan.umovandroid.component.TTUniqueList",27,13,2,18
"com.trevisan.umovandroid.lib.expressions.operand.Operand",15,10,58,16
"com.trevisan.umovandroid.view.ActivityAnaliticalQueryNew",36,21,1,27
"com.trevisan.umovandroid.service.AgentService",21,12,85,15
"com.trevisan.umovandroid.view.larepublica.ActivityCheckDataLR",31,20,5,22
"com.trevisan.umovandroid.action.ActionCancelItem",37,31,15,36
"com.trevisan.umovandroid.component.address.TTAddress",27,11,2,15
"com.trevisan.umovandroid.service.FieldValidatorService",13,7,5,11
"com.trevisan.umovandroid.lib.util.CustomFieldManager",17,8,8,13
"com.trevisan.umovandroid.action.ActionExecuteItem",26,21,13,25
"com.trevisan.umovandroid.component.duration.TTChronometer",19,8,1,12
"com.trevisan.umovandroid.view.ActivitySignUp",31,17,1,19
"com.trevisan.umovandroid.view.ActivityConfirmAddNewTaskNew",33,21,1,24
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask5PostConfirmation",41,35,1,38
"com.trevisan.umovandroid.adapter.GenericListAdapterNew",27,13,6,19
"com.trevisan.umovandroid.model.eca.ConnectorImpl",1,0,8,2
"com.trevisan.umovandroid.view.MessageDialogWithEditText",21,3,1,8
"com.trevisan.umovandroid.service.PhoneParametersService",21,3,30,6
"com.trevisan.umovandroid.dao.ActivityTaskDAO",10,4,1,7
"com.trevisan.umovandroid.component.GettingGeocoordinate",20,8,5,13
"com.trevisan.umovandroid.service.MediaHistoricalReadyToBeSentService",17,12,12,17
"com.trevisan.umovandroid.service.FeatureToggleService",6,3,99,5
"com.trevisan.umovandroid.dao.FieldDAO",11,4,1,7
"com.trevisan.umovandroid.service.retroalimentation.CustomEntityEntryRetroalimentation",14,7,1,14
"com.trevisan.umovandroid.model.ActivityHistorical",4,1,75,11
"com.trevisan.umovandroid.view.ActivityActivitiesLR",40,18,2,20
"com.trevisan.umovandroid.view.actionbar.ActionBarSearchExpandListener",30,13,2,15
"com.trevisan.umovandroid.service.SystemParametersService",15,10,134,14
"com.trevisan.umovandroid.adapter.MenuAdapter",28,13,2,16
"com.trevisan.umovandroid.service.LocalNotificationService",22,5,7,10
"com.trevisan.umovandroid.service.retroalimentation.EntityRetroalimentation",22,19,5,23
"com.trevisan.umovandroid.view.ActivitySettings",30,16,1,20
"com.trevisan.umovandroid.model.Item",1,0,74,5
"com.trevisan.umovandroid.component.multimedia.TTMultiMediaCarousel",26,14,2,19
"com.trevisan.umovandroid.service.TaskExecutionStateService",9,8,0,11
"com.trevisan.umovandroid.component.TTVideoRecorder",24,12,6,16
"com.trevisan.umovandroid.adapter.TaskGridAdapterNew",31,10,1,16
"com.trevisan.umovandroid.sync.extraction.SystemParametersExtractor",10,4,1,5
"com.trevisan.umovandroid.component.additionalsettings.AdditionalSettingsAddressField",1,0,2,1
"com.trevisan.umovandroid.service.ActivityHistoricalService",14,10,29,14
"com.trevisan.umovandroid.action.login.ActionDoLoginWithFacebookUsingUMovAuthToken",30,24,2,27
"com.trevisan.umovandroid.action.ActionShowActivities",20,15,5,18
"com.trevisan.umovandroid.service.TraveledDistanceService",12,9,4,12
"com.trevisan.umovandroid.service.WorkingJourneyService",21,13,2,19
"com.trevisan.umovandroid.view.ActivityPrePhotoNew",33,18,1,24
"com.trevisan.umovandroid.service.TaskGPSExecutionService",17,9,5,14
"com.trevisan.umovandroid.service.TaskGPSStateService",14,5,2,10
"com.trevisan.umovandroid.dao.LocationDAO",9,5,1,7
"com.trevisan.umovandroid.lib.vo.CustomField",6,0,30,1
"com.trevisan.umovandroid.action.ActionActivitySignUpRegister",21,18,1,21
"com.trevisan.umovandroid.component.TTLogic",15,4,3,8
"com.trevisan.umovandroid.service.gps.GpsTrackingProvider",22,14,2,17
"com.trevisan.umovandroid.eca.business.EcaProcessResultManager",29,18,2,19
"com.trevisan.umovandroid.action.ActionActivitySignUpWithFacebookOk",15,11,1,15
"com.trevisan.umovandroid.view.ActivityMasterGroupsNew",33,22,2,25
"com.trevisan.umovandroid.action.ActionShowWebRouter",21,15,5,20
"com.trevisan.umovandroid.service.WebRouterService",17,10,2,15
"com.trevisan.umovandroid.component.TTTextBoxNew",18,7,8,12
"com.trevisan.umovandroid.component.TTRankingList",18,7,2,11
"com.trevisan.umovandroid.action.ActionActivityLocationEditOk",23,21,1,24
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask4CheckOptionalGpsRetry",27,23,3,25
"com.trevisan.umovandroid.model.GeoPositionHistorical",1,1,8,4
"com.trevisan.umovandroid.view.ProcessingDialog",17,5,19,9
"com.trevisan.umovandroid.action.ActionShowFilterItemsOptions",21,8,1,10
"com.trevisan.umovandroid.service.FieldService",18,10,29,12
"com.trevisan.umovandroid.db.DataBaseManager",12,4,17,8
"com.trevisan.umovandroid.action.ActionExecuteTask",25,21,10,23
"com.trevisan.umovandroid.view.lib.TTActivity",15,5,12,9
"com.trevisan.umovandroid.component.multimedia.TTMultiMedia",23,7,6,12
"com.trevisan.umovandroid.service.AudioPlayerAndRecorderService",15,8,13,10
"com.trevisan.umovandroid.component.ComponentsFactory",19,16,9,16
"com.trevisan.umovandroid.service.LoginService",16,9,19,11
"com.trevisan.umovandroid.view.ActivitySignUpWithFacebook",25,13,2,15
"com.trevisan.umovandroid.component.duration.TTDuration",19,6,1,10
"com.trevisan.umovandroid.component.TTImage",14,6,6,9
"com.trevisan.umovandroid.service.ExecutionExpressionsFromItemsListService",15,8,1,14
"com.trevisan.umovandroid.component.multimedia.TTMultiMediaImageNew",24,15,3,20
"com.trevisan.umovandroid.lib.expressions.operand.customEntity.CustomEntityOperand",16,10,2,17
"com.trevisan.umovandroid.action.ActionExecuteItemsGroup",19,13,6,15
"com.trevisan.umovandroid.adapter.materialdesign.ItemsAdapterForViewPagerMD",34,21,2,23
"com.trevisan.umovandroid.view.ActivitySectionsNew",30,16,2,18
"com.trevisan.umovandroid.view.ActivitySectionsAndConference",26,15,4,18
"com.trevisan.umovandroid.service.ClearDataService",28,25,9,27
"com.trevisan.umovandroid.service.CustomFieldService",16,7,22,11
"com.trevisan.umovandroid.component.TTTime",18,4,2,7
"com.trevisan.umovandroid.view.ActivityItemGroupsNew",31,20,1,23
"com.trevisan.umovandroid.service.RealimentationService",12,9,2,11
"com.trevisan.umovandroid.imagemanager.ImageManager",17,3,6,5
"com.trevisan.umovandroid.eca.business.EcaManager",28,18,8,22
"com.trevisan.umovandroid.component.TTDate",18,5,2,8
"com.trevisan.umovandroid.component.UMovReader",26,5,3,11
"com.trevisan.umovandroid.view.ActivityCamera",34,2,1,7
"com.trevisan.umovandroid.service.GeoPositionHistoricalService",17,11,21,15
"com.trevisan.umovandroid.adapter.ItemListAdapterNew",25,16,4,19
"com.trevisan.umovandroid.service.ActivityHistoricalReadyToBeSentService",13,10,18,12
"com.trevisan.umovandroid.service.MarshmallowOrHigherVersionDangerousPermissionsService",13,6,12,8
"com.trevisan.umovandroid.model.LocationField",2,0,8,2
"com.trevisan.umovandroid.action.ActionActivityFieldsValidate",18,12,2,16
"com.trevisan.umovandroid.lib.vo.ValidationExpressionVO",0,0,13,5
"com.trevisan.umovandroid.view.ActivityMessages",31,15,1,18
"com.trevisan.umovandroid.dao.LocationDataHistoricalDAO",8,4,1,5
"com.trevisan.umovandroid.dao.FieldHistoricalReadyToBeSentDAO",11,4,1,7
"com.trevisan.umovandroid.action.ActionSelectActivityTask",24,18,6,24
"com.trevisan.umovandroid.listdatasource.CustomEntityListDataSource",30,22,2,26
"com.trevisan.umovandroid.view.ActivityTour",19,6,2,10
"com.trevisan.umovandroid.view.ActivityActivitiesNew",26,13,5,15
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection.ExpandableHorizontalTaskSection",25,7,3,9
"com.trevisan.umovandroid.model.ActivityType",5,0,48,4
"com.trevisan.umovandroid.service.DataService",5,3,6,7
"com.trevisan.umovandroid.lib.util.NumberFormatter",7,0,7,5
"com.trevisan.umovandroid.action.ActionSelectTask",23,17,10,19
"com.trevisan.umovandroid.service.UMovTroublesOnExecutionLogService",12,2,40,13
"com.trevisan.umovandroid.service.ImageService",16,7,7,12
"com.trevisan.umovandroid.imageloader.DefaultImageLoaderDelegate",13,0,2,6
"com.trevisan.umovandroid.component.TTDocument",20,9,5,12
"com.trevisan.umovandroid.dao.customcriteria.CustomCriteriaItem",11,8,4,12
"com.trevisan.umovandroid.view.ActivityCreateNewTaskNew",25,12,1,16
"com.trevisan.umovandroid.listdatasource.EntityCustomFieldListDataSource",16,12,2,17
"com.trevisan.umovandroid.dao.GeoPositionHistoricalDAO",7,3,1,7
"com.trevisan.umovandroid.dao.AgentDAO",8,3,1,4
"com.trevisan.umovandroid.lib.expressions.operand.connector.ConnectorOperand",18,7,1,11
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask2PreConfirmation",16,12,3,16
"com.trevisan.umovandroid.lib.expressions.tree.ExpressionTree",4,2,7,7
"com.trevisan.umovandroid.service.LanguageService",16,9,159,13
"com.trevisan.umovandroid.component.multimedia.TTMultiMediaWebNew",17,4,1,8
"com.trevisan.umovandroid.action.ActionSaveSectionFieldsEditionsFromItemList",22,13,1,16
"com.trevisan.umovandroid.sync.historical.HistoricalManager",18,16,2,19
"com.trevisan.umovandroid.dao.TaskActivityTaskRelationshipDAO",8,3,1,6
"com.trevisan.umovandroid.model.InfoHistorical",0,0,3,0
"com.trevisan.umovandroid.service.TaskActivityTaskRelationshipService",12,6,10,10
"com.trevisan.umovandroid.service.AuthService",21,1,21,3
"com.trevisan.umovandroid.service.MaterialDesignShowMessageService",16,1,25,3
"com.trevisan.umovandroid.action.ActionUMovEnter",24,21,2,24
"com.trevisan.umovandroid.model.SyncHeader",1,1,15,4
"com.trevisan.umovandroid.UMovApplication",23,13,40,18
"com.trevisan.umovandroid.service.ExtractionService",16,14,2,17
"com.trevisan.umovandroid.geoposition.ActivityTaskGeoPositionRequester",18,11,5,15
"com.trevisan.umovandroid.service.FileSystemLogService",17,10,1,17
"com.trevisan.umovandroid.dao.customcriteria.CustomCountCriteriaItem",3,2,1,4
"com.trevisan.umovandroid.service.TaskExceededExecutionTimeService",13,6,1,10
"com.trevisan.umovandroid.action.ActionExtractRecordsFromActivityTasks",14,13,1,17
"com.trevisan.umovandroid.component.TTDateTimePicker",20,2,1,4
"com.trevisan.umovandroid.dao.ActivityHistoricalDAO",8,4,1,7
"com.trevisan.umovandroid.component.TTTimeNew",19,5,3,8
"com.trevisan.umovandroid.component.address.UMovAddress",5,0,9,3
"com.trevisan.umovandroid.adapter.materialdesign.SectionsAdapterMD",24,12,1,14
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection.ExpandableVerticalTaskSection",18,8,5,10
"com.trevisan.umovandroid.component.address.ActionConfirmAddress",12,4,1,7
"com.trevisan.umovandroid.expressions.ItemAttributeRetriever",17,12,1,17
"com.trevisan.umovandroid.action.ActionSearchItems",23,20,7,22
"com.trevisan.umovandroid.sync.extraction.TaskExtractor",12,8,1,12
"com.trevisan.umovandroid.action.ActionOfflineFlowAfterFinalizeActivityTask",10,9,2,11
"com.trevisan.umovandroid.service.SearchTaskAndLocationFieldsService",11,4,5,10
