"namespace","noc","nac"
"me.umov.business.domain.rule.task",46,0
"me.umov.business.infrastructure.jpa",42,0
"me.umov.business.domain.itinerary.specification",40,0
"me.umov.business.infrastructure.serialization",34,0
"me.umov.business.application.model.fixture",31,0
"me.umov.business.application.model.type",28,0
"me.umov.business.application.service",27,2
"me.umov.business.domain.itinerary",26,3
"me.umov.business.application.model",20,3
"me.umov.business.application.model.dto",20,2
"me.umov.business.domain.task",17,5
"me.umov.business.application.repository",15,15
"me.umov.business.utils.specification.domain",12,3
"me.umov.business.infrastructure.cron",12,0
"me.umov.business.domain.recurrence",12,4
"me.umov.business.application.controller",12,1
"me.umov.business.application.exception",12,0
"me.umov.business.application.observer",10,0
"me.umov.business.domain.client",9,1
"me.umov.business.domain.workcycle",9,3
"me.umov.business.domain.servicelocal",9,3
"me.umov.business.application.controller.workcycle",9,1
"me.umov.business.taskschedule.anticorruption.relationship",8,1
"me.umov.business.taskschedule.anticorruption.taskSchedule",8,1
"me.umov.business.taskschedule.application.service",6,4
"me.umov.business.utils.specification.rule",6,1
"me.umov.business.domain.rule.builders",6,1
"me.umov.business.domain.rule.customfield",6,0
"me.umov.business.application.interceptor",6,0
"me.umov.business.taskschedule.application.dto",6,0
"me.umov.business.architecture",5,0
"me.umov.business.domain.activityHistory",5,2
"me.umov.business.domain.event",5,2
"me.umov.business.application.authorization",5,0
"me.umov.business.infrastructure.queue",5,1
"me.umov.business.domain.model.builder",4,1
"me.umov.business.domain.generic.specification",4,0
"me.umov.business.application.repository.custom",4,1
"me.umov.business.application.repository.custom.task",4,1
"me.umov.business.infrastructure.queue.analyzeRule",4,1
"me.umov.business.application.controller.servicelocal",4,1
"me.umov.business.infrastructure.activity",3,1
"me.umov.business.infrastructure.team",3,1
"me.umov.business.infrastructure.agent",3,1
"me.umov.business.infrastructure.servicelocal",3,1
"me.umov.business.application.controller.activityhistory",3,1
"me.umov.business.application.api",3,0
"me.umov.business.infrastructure.servicelocal.activity",3,1
"me.umov.business.application.service.idiom",3,0
"me.umov.business.application.model.notification",3,0
"me.umov.business.anticorruption.itinerary",2,0
"me.umov.business.taskschedule.application.controller",2,0
"me.umov.business.infrastructure.jpa.workcycle",2,0
"me.umov.business.application.handler",2,0
"me.umov.business.application.service.toggle",2,0
"me.umov.business.application.service.notification",2,0
"me.umov.business.api",2,0
"me.umov.business.taskschedule.domain",2,1
"me.umov.business.application.controller.agent",2,0
"me.umov.business.application.model.toggle",2,0
"me.umov.business.application.model.idiom",2,0
"me.umov.business",1,0
"me.umov.business.configuration",1,0
"me.umov.business.anticorruption.activityHistory",1,0
"me.umov.business.anticorruption.servicelocal",1,0
"me.umov.business.taskschedule.anticorruption",1,0
"me.umov.business.taskschedule.api",1,0
"me.umov.business.infrastructure.configuration",1,1
"me.umov.business.domain.activity",1,1
"me.umov.business.domain.team",1,1
"me.umov.business.domain.agent",1,1
"me.umov.business.application.spring",1,0
"me.umov.business.application.controller.activity",1,0
"me.umov.business.application.controller.team",1,0
