"type","dep","i-dep","fan-in","fan-out"
"me.umov.business.api.TaskScheduleApi",27,4,2,4
"me.umov.business.domain.itinerary.Itinerary",51,17,33,22
"me.umov.business.domain.task.TaskModel",41,7,58,11
"me.umov.business.application.service.RecurrenceServiceTest",30,6,0,6
"me.umov.business.application.model.dto.SaveTaskDTO",18,7,15,10
"me.umov.business.domain.task.TaskServiceTest",60,23,0,24
"me.umov.business.domain.itinerary.ItineraryTest",25,4,0,5
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskScheduleCreateConverterTest",44,17,0,18
"me.umov.business.domain.rule.task.ShouldHaveRequiredTaskConfigFieldsTest",14,5,0,5
"me.umov.business.application.model.fixture.TaskModelFixture",16,8,37,8
"me.umov.business.domain.task.TaskModelTest",16,3,0,3
"me.umov.business.domain.itinerary.ItinerarySchedule",36,8,65,12
"me.umov.business.domain.rule.task.ShouldHaveValidSituationLifeCicleTest",10,3,0,4
"me.umov.business.domain.task.TaskService",26,13,16,15
"me.umov.business.api.TaskScheduleApiTest",16,4,0,4
"me.umov.business.application.model.dto.SaveTaskDTOTest",20,6,0,7
"me.umov.business.taskschedule.application.dto.SaveTaskScheduleGroupRequest",18,5,18,8
"me.umov.business.taskschedule.anticorruption.TaskScheduleGroupConverterImpl",34,25,1,28
"me.umov.business.domain.workcycle.WorkCycleServiceTest",31,11,0,12
"me.umov.business.application.controller.TaskControllerTest",42,16,0,16
"me.umov.business.domain.itinerary.ItineraryServiceTest",21,6,0,6
"me.umov.business.taskschedule.anticorruption.taskSchedule.AbstractTaskScheduleGroupConverter",28,23,2,26
"me.umov.business.application.handler.GeneralRestExceptionHandlerTest",25,5,0,5
"me.umov.business.application.service.CustomFieldValueServiceTest",32,10,0,11
"me.umov.business.infrastructure.cron.JobCreationRequestDTO",3,1,2,1
"me.umov.business.domain.rule.task.ShouldHaveScheduleInsideOfAgentJourneyTest",18,3,0,3
"me.umov.business.application.service.RecurrenceService",18,3,4,5
"me.umov.business.domain.rule.task.ShouldHaveValidActivitiesAssociatedTest",14,5,0,5
"me.umov.business.domain.rule.task.ShouldHaveValidRecurrenceConfigurationTest",13,4,0,4
"me.umov.business.domain.task.TaskDailyResume",6,1,8,3
"me.umov.business.domain.task.TaskConfigModel",14,1,4,4
"me.umov.business.application.model.fixture.ItineraryFixture",13,5,9,5
"me.umov.business.application.model.ServiceLocalModel",9,1,26,3
"me.umov.business.application.service.notification.TaskNotificationServiceTest",22,10,0,10
