"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.business.api.TaskScheduleApi",715,22,22,22,27,4,2,4,1
"me.umov.business.domain.itinerary.Itinerary",593,99,98,140,51,17,33,22,35
"me.umov.business.domain.task.TaskModel",572,118,115,152,41,7,58,11,43
"me.umov.business.application.service.RecurrenceServiceTest",431,20,20,19,30,6,0,6,3
"me.umov.business.application.model.dto.SaveTaskDTO",386,80,76,104,18,7,15,10,36
"me.umov.business.domain.task.TaskServiceTest",344,20,20,25,60,23,0,24,13
"me.umov.business.domain.itinerary.ItineraryTest",311,32,32,32,25,4,0,5,8
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskScheduleCreateConverterTest",307,5,5,5,44,17,0,18,5
"me.umov.business.domain.rule.task.ShouldHaveRequiredTaskConfigFieldsTest",270,26,26,26,14,5,0,5,0
"me.umov.business.application.model.fixture.TaskModelFixture",266,60,60,62,16,8,37,8,1
"me.umov.business.domain.task.TaskModelTest",249,32,32,32,16,3,0,3,5
"me.umov.business.domain.itinerary.ItinerarySchedule",247,42,42,57,36,8,65,12,16
"me.umov.business.domain.rule.task.ShouldHaveValidSituationLifeCicleTest",246,32,30,32,10,3,0,4,1
"me.umov.business.domain.task.TaskService",234,15,11,31,26,13,16,15,8
"me.umov.business.api.TaskScheduleApiTest",213,22,22,22,16,4,0,4,8
"me.umov.business.application.model.dto.SaveTaskDTOTest",213,14,14,14,20,6,0,7,0
"me.umov.business.taskschedule.application.dto.SaveTaskScheduleGroupRequest",196,42,42,45,18,5,18,8,19
"me.umov.business.taskschedule.anticorruption.TaskScheduleGroupConverterImpl",187,8,2,39,34,25,1,28,8
"me.umov.business.domain.workcycle.WorkCycleServiceTest",186,11,11,11,31,11,0,12,5
"me.umov.business.application.controller.TaskControllerTest",181,14,14,14,42,16,0,16,6
"me.umov.business.domain.itinerary.ItineraryServiceTest",175,11,11,11,21,6,0,6,9
"me.umov.business.taskschedule.anticorruption.taskSchedule.AbstractTaskScheduleGroupConverter",162,12,1,36,28,23,2,26,8
"me.umov.business.application.handler.GeneralRestExceptionHandlerTest",161,21,21,21,25,5,0,5,1
"me.umov.business.application.service.CustomFieldValueServiceTest",158,9,8,9,32,10,0,11,9
"me.umov.business.infrastructure.cron.JobCreationRequestDTO",156,32,32,2,3,1,2,1,25
"me.umov.business.domain.rule.task.ShouldHaveScheduleInsideOfAgentJourneyTest",139,13,13,13,18,3,0,3,5
"me.umov.business.application.service.RecurrenceService",133,11,2,33,18,3,4,5,2
"me.umov.business.domain.rule.task.ShouldHaveValidActivitiesAssociatedTest",132,14,14,14,14,5,0,5,0
"me.umov.business.domain.rule.task.ShouldHaveValidRecurrenceConfigurationTest",130,13,13,13,13,4,0,4,1
"me.umov.business.domain.task.TaskDailyResume",125,32,32,36,6,1,8,3,15
"me.umov.business.domain.task.TaskConfigModel",124,18,18,17,14,1,4,4,10
"me.umov.business.application.model.fixture.ItineraryFixture",122,23,23,31,13,5,9,5,1
"me.umov.business.application.model.ServiceLocalModel",122,19,19,20,9,1,26,3,17
"me.umov.business.application.service.notification.TaskNotificationServiceTest",122,7,7,7,22,10,0,10,7
"me.umov.business.application.controller.TaskController",121,9,8,11,37,16,0,18,1
"me.umov.business.taskschedule.anticorruption.relationship.AgentRelationshipConverterTest",121,5,5,5,23,13,0,13,8
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskSchedulePartialUpdateConverterTest",119,2,2,2,41,18,0,19,5
"me.umov.business.domain.workcycle.WorkCycle",115,24,24,24,11,3,8,4,12
"me.umov.business.application.model.WorkJourneyDayModel",112,22,21,23,11,0,2,2,9
"me.umov.business.application.model.notification.TaskNotification",112,12,11,19,17,3,3,6,9
"me.umov.business.taskschedule.application.service.TaskScheduleApplicationServiceTest",108,10,10,10,15,6,0,7,9
"me.umov.business.application.handler.GeneralRestExceptionHandler",107,13,12,13,28,7,0,11,2
"me.umov.business.application.service.CustomFieldValueService",107,9,2,15,18,9,2,11,2
"me.umov.business.application.service.DistributionIdleAgentTest",104,6,6,6,30,13,0,13,5
"me.umov.business.application.model.WorkJourneyModel",101,17,16,19,16,1,2,3,7
"me.umov.business.domain.itinerary.specification.TaskScheduleGroupValidatorTest",101,2,2,2,12,3,0,3,20
"me.umov.business.application.model.AgentModel",100,20,20,20,13,0,34,2,7
"me.umov.business.domain.servicelocal.Address",98,19,16,20,3,0,12,1,11
"me.umov.business.domain.itinerary.ItineraryServiceLocal",96,18,18,19,14,2,20,3,7
"me.umov.business.domain.model.builder.TaskLoader",95,5,1,14,22,16,2,19,10
"me.umov.business.application.model.AgentAbsenceModel",94,19,19,19,10,0,0,1,9
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskSchedulePartialUpdateConverter",94,5,1,32,17,12,1,14,4
"me.umov.business.domain.rule.task.ShouldHaveValidSituationLifeCicle",93,11,3,23,14,4,5,6,3
"me.umov.business.domain.task.TaskActivityModel",91,15,15,16,15,3,9,4,6
"me.umov.business.application.model.WorkJourneyModelTest",91,13,13,13,12,2,0,2,11
"me.umov.business.domain.rule.customfield.ShouldHaveValidGeocoordinateCustomFieldsTest",89,14,13,14,10,4,0,5,0
"me.umov.business.infrastructure.queue.analyzeRule.Rule",88,18,18,18,9,1,2,1,9
"me.umov.business.domain.rule.builders.TaskSaveRulesTest",88,3,2,3,37,28,0,29,10
"me.umov.business.application.model.ItemModel",87,18,18,18,9,0,5,1,8
"me.umov.business.domain.client.SystemParameters",87,16,16,18,8,2,8,4,9
"me.umov.business.domain.recurrence.RecurrenceConfiguration",87,13,13,30,3,0,12,2,4
"me.umov.business.domain.itinerary.ItineraryService",87,8,6,13,9,7,0,9,6
"me.umov.business.domain.rule.task.ShouldHaveAgentByRequiredTaskConfigTest",84,10,10,10,12,3,0,3,0
"me.umov.business.anticorruption.itinerary.WorkCycleScheduleConverterImplTest",84,3,3,3,29,10,0,10,4
"me.umov.business.domain.client.Client",83,10,10,12,3,2,8,4,19
"me.umov.business.infrastructure.cron.RundeckSchedulerCronProviderTest",83,5,5,5,18,1,0,1,4
"me.umov.business.domain.workcycle.WorkCycleService",83,5,4,13,11,4,0,6,4
"me.umov.business.application.model.TeamModel",82,17,17,19,6,1,21,3,6
"me.umov.business.taskschedule.application.dto.RelationshipDTO",80,16,16,24,1,1,14,4,5
"me.umov.business.application.service.DistributionTask",80,11,1,17,15,10,2,12,1
"me.umov.business.taskschedule.anticorruption.relationship.AbstractRelationshipConverter",78,13,2,17,16,12,4,15,3
"me.umov.business.application.service.BaseServiceTest",78,9,9,9,17,6,0,6,4
"me.umov.business.infrastructure.cron.RundeckRestServiceTest",78,4,4,4,27,0,0,0,4
"me.umov.business.application.model.fixture.SaveTaskScheduleGroupRequestFixture",76,15,15,15,10,5,1,7,1
"me.umov.business.domain.servicelocal.AddressTest",76,11,11,11,7,3,0,3,3
"me.umov.business.domain.model.builder.TaskLoaderTest",75,5,5,5,22,10,0,10,9
"me.umov.business.infrastructure.cron.RundeckRestService",74,9,3,9,18,0,0,2,4
"me.umov.business.domain.itinerary.specification.ShouldServiceLocalHaveFinalHourGreaterThenInitialHourTest",74,5,5,5,14,7,0,7,1
"me.umov.business.application.interceptor.CORSInterceptorTest",73,7,7,7,21,1,0,1,5
"me.umov.business.application.controller.workcycle.WorkCycleControllerTest",73,5,5,5,18,6,0,8,4
"me.umov.business.application.observer.NotificationAfterSaveTaskTest",73,4,4,4,21,9,0,9,9
"me.umov.business.domain.itinerary.specification.TaskScheduleGroupValidator",73,1,1,1,8,5,3,6,19
"me.umov.business.application.model.fixture.SaveTaskDTOFixture",70,15,15,15,8,3,4,3,1
"me.umov.business.application.model.ActivityModel",70,14,14,14,7,0,25,2,5
"me.umov.business.domain.task.TaskItemModel",70,11,11,12,14,2,4,4,4
"me.umov.business.application.controller.workcycle.WorkCycleController",70,7,7,7,12,3,0,3,3
"me.umov.business.domain.rule.builders.SaveTaskValidationBuilder",70,1,0,1,16,11,3,12,9
"me.umov.business.application.model.fixture.ItineraryScheduleFixture",69,15,15,15,7,2,24,2,1
"me.umov.business.domain.itinerary.ItineraryAgent",69,13,13,14,11,2,9,4,4
"me.umov.business.domain.rule.task.ShouldHaveNoTaskInDateTest",69,8,8,8,14,6,0,6,2
"me.umov.business.domain.itinerary.ItineraryCronServiceTest",69,5,5,5,17,4,0,4,6
"me.umov.business.domain.itinerary.ItineraryScheduleCronServiceTest",69,5,5,5,17,4,0,4,6
"me.umov.business.domain.recurrence.RecurrenceEndsConfiguration",68,10,10,23,3,0,9,2,3
"me.umov.business.domain.recurrence.RecurrenceRepeatConfiguration",67,11,11,22,2,0,9,2,3
"me.umov.business.taskschedule.application.controller.CronControllerTest",67,5,5,5,20,8,0,9,4
"me.umov.business.domain.rule.task.ShouldHaveOneAgentWhenOnlyOneAgentTeamTest",67,5,5,5,12,7,0,7,0
"me.umov.business.configuration.SwaggerConfig",67,4,2,4,16,0,0,1,2
"me.umov.business.domain.itinerary.ItineraryActivity",66,12,12,13,11,2,12,3,4
"me.umov.business.application.model.IntervalTest",65,14,14,14,3,1,0,1,0
"me.umov.business.application.model.CustomFieldValueModel",65,12,12,12,7,0,14,1,6
"me.umov.business.domain.task.TaskTypeModel",64,12,12,12,9,1,15,2,5
"me.umov.business.application.authorization.JWTServiceTest",64,9,9,9,13,2,0,3,4
"me.umov.business.application.controller.AgentControllerTest",63,5,5,5,20,5,0,5,3
"me.umov.business.application.api.ApiReturn",62,13,13,13,4,0,23,2,4
"me.umov.business.domain.itinerary.specification.ShouldHaveValidInitialHourAndFinalHourCombinationTest",62,5,5,5,14,7,0,7,1
"me.umov.business.application.service.BaseService",61,11,10,13,12,5,12,6,3
"me.umov.business.application.model.TeamAgentModel",61,11,11,12,3,0,1,1,4
"me.umov.business.application.controller.TaskScheduleGroupControllerTest",61,6,6,6,10,3,0,3,3
"me.umov.business.taskschedule.application.service.TaskScheduleApplicationService",61,3,3,3,13,9,3,11,3
"me.umov.business.domain.rule.task.ShouldHaveValidInitialDateTest",60,7,7,7,11,4,0,4,0
"me.umov.business.application.authorization.JWTService",60,6,1,11,12,3,2,5,3
"me.umov.business.domain.rule.task.ShouldHaveValidRecurrenceConfiguration",60,5,3,18,15,3,13,5,3
"me.umov.business.application.observer.NotificationAfterSaveTask",60,3,1,5,19,11,0,15,4
"me.umov.business.application.model.CustomFieldModel",59,10,10,10,9,0,4,1,5
"me.umov.business.domain.rule.task.ShouldHaveRequiredTaskConfigFields",59,6,3,13,9,4,28,7,2
"me.umov.business.domain.generic.specification.ShouldHaveValidIdTest",59,5,5,5,10,1,0,1,2
"me.umov.business.taskschedule.anticorruption.relationship.RelationshipFactoryTest",58,7,7,7,10,2,0,2,6
"me.umov.business.domain.itinerary.specification.ShouldLoadAllActivitiesTest",58,5,5,5,15,5,0,5,2
"me.umov.business.application.controller.workcycle.SaveWorkCycleScheduleRequest",57,13,13,13,4,1,3,1,6
"me.umov.business.domain.recurrence.CrontabExpression",57,12,11,12,2,0,11,1,7
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolioTest",57,7,7,7,10,3,0,3,0
"me.umov.business.infrastructure.serialization.GsonConfiguration",57,3,2,2,17,1,3,3,0
