"namespace","ca","ce","instability","abstractness","distance"
"me.umov.business.domain.rule.task",1,9,0.9,0.0,0.09999999999999998
"me.umov.business.infrastructure.serialization",0,1,1.0,0.0,0.0
"me.umov.business.taskschedule.domain",42,18,0.3,0.19047619047619047,0.5095238095238095
"me.umov.business.infrastructure.jpa",1,0,0.0,0.0,1.0
"me.umov.business.taskschedule.specification",2,8,0.8,0.0,0.19999999999999996
"me.umov.business.application.service",15,18,0.5454545454545454,0.125,0.3295454545454546
"me.umov.business.application.model.type",0,0,0.0,0.0,1.0
"me.umov.business.application.model.dto",9,8,0.47058823529411764,0.13333333333333333,0.39607843137254906
"me.umov.business.application.repository",36,13,0.2653061224489796,1.0,0.26530612244897966
"me.umov.business.recurrence.domain",15,0,0.0,0.2857142857142857,0.7142857142857143
"me.umov.business.domain.task",48,16,0.25,0.35714285714285715,0.3928571428571428
"me.umov.business.domain.workcycle",4,7,0.6363636363636364,0.4,0.036363636363636376
"me.umov.business.application.controller.workcycle",1,4,0.8,0.1111111111111111,0.0888888888888888
"me.umov.business.shared.exception",26,3,0.10344827586206896,0.0,0.896551724137931
"me.umov.business.shared.specification.domain",27,2,0.06896551724137931,0.42857142857142855,0.5024630541871922
"me.umov.business.infrastructure.cron",0,2,1.0,0.0,0.0
"me.umov.business.domain.servicelocal",8,0,0.0,0.42857142857142855,0.5714285714285714
"me.umov.business.application.controller",2,10,0.8333333333333334,0.14285714285714285,0.023809523809523725
"me.umov.business.application.model",18,3,0.14285714285714285,0.0,0.8571428571428572
"me.umov.business.taskschedule.anticorruption.relationship",0,14,1.0,0.16666666666666666,0.16666666666666674
"me.umov.business.taskschedule.application.dto",20,6,0.23076923076923078,0.0,0.7692307692307692
"me.umov.business.taskschedule.anticorruption.taskSchedule",0,16,1.0,0.2,0.19999999999999996
"me.umov.business.taskschedule.application.service",7,5,0.4166666666666667,0.8,0.21666666666666679
"me.umov.business.shared.specification.rule",41,2,0.046511627906976744,0.2,0.7534883720930232
"me.umov.business.infrastructure.queue",1,0,0.0,0.2,0.8
"me.umov.business.domain.client",9,3,0.25,0.2,0.55
"me.umov.business.application.observer",0,9,1.0,0.0,0.0
"me.umov.business.shared.domain",50,0,0.0,0.75,0.25
"me.umov.business.shared.domain.event",12,0,0.0,0.5,0.5
"me.umov.business.infrastructure.queue.analyzeRule",1,1,0.5,0.25,0.25
"me.umov.business.domain.rule.builders",4,6,0.6,0.25,0.15000000000000002
"me.umov.business.domain.activityHistory",4,3,0.42857142857142855,0.5,0.0714285714285714
"me.umov.business.shared.application",31,0,0.0,0.0,1.0
"me.umov.business.infrastructure.servicelocal.activity",0,4,1.0,0.3333333333333333,0.33333333333333326
"me.umov.business.domain.rule.customfield",1,2,0.6666666666666666,0.0,0.33333333333333337
"me.umov.business.domain.model.builder",1,10,0.9090909090909091,0.3333333333333333,0.24242424242424243
"me.umov.business.application.interceptor",0,1,1.0,0.0,0.0
"me.umov.business.application.authorization",1,2,0.6666666666666666,0.0,0.33333333333333337
"me.umov.business.application.service.idiom",1,3,0.75,0.0,0.25
"me.umov.business.application.model.notification",2,3,0.6,0.0,0.4
"me.umov.business.application.repository.custom",2,2,0.5,0.3333333333333333,0.16666666666666674
"me.umov.business.application.repository.custom.task",1,1,0.5,0.3333333333333333,0.16666666666666674
"me.umov.business.team.domain",15,2,0.11764705882352941,0.0,0.8823529411764706
"me.umov.business.infrastructure.activity",0,4,1.0,0.5,0.5
"me.umov.business.infrastructure.team",0,4,1.0,0.5,0.5
"me.umov.business.infrastructure.agent",0,4,1.0,0.5,0.5
"me.umov.business.infrastructure.servicelocal",1,4,0.8,0.5,0.30000000000000004
"me.umov.business.domain.generic.specification",2,2,0.5,0.0,0.5
"me.umov.business.application.controller.activityhistory",1,2,0.6666666666666666,0.5,0.16666666666666652
"me.umov.business.application.controller.agent",4,6,0.6,0.0,0.4
"me.umov.business.application.model.toggle",2,1,0.3333333333333333,0.0,0.6666666666666667
"me.umov.business.application.model.idiom",4,2,0.3333333333333333,0.0,0.6666666666666667
"me.umov.business.agent.domain",23,2,0.08,0.0,0.92
"me.umov.business.servicelocal.application.dto",4,0,0.0,0.0,1.0
"me.umov.business",0,0,0.0,0.0,1.0
"me.umov.business.configuration",0,0,0.0,0.0,1.0
"me.umov.business.anticorruption.activityHistory",0,3,1.0,0.0,0.0
"me.umov.business.anticorruption.itinerary",0,3,1.0,0.0,0.0
"me.umov.business.anticorruption.servicelocal",0,4,1.0,0.0,0.0
"me.umov.business.activity.domain",19,1,0.05,0.0,0.95
"me.umov.business.taskschedule.anticorruption",1,15,0.9375,0.0,0.0625
"me.umov.business.taskschedule.api",0,4,1.0,0.0,0.0
"me.umov.business.shared.application.dto",2,0,0.0,0.0,1.0
"me.umov.business.infrastructure.configuration",2,0,0.0,1.0,0.0
"me.umov.business.infrastructure.jpa.workcycle",0,1,1.0,0.0,0.0
"me.umov.business.domain.activity",2,1,0.3333333333333333,1.0,0.33333333333333326
"me.umov.business.domain.team",2,1,0.3333333333333333,1.0,0.33333333333333326
"me.umov.business.domain.agent",2,1,0.3333333333333333,1.0,0.33333333333333326
"me.umov.business.application.handler",0,3,1.0,0.0,0.0
"me.umov.business.application.spring",0,0,0.0,0.0,1.0
"me.umov.business.application.controller.activity",4,0,0.0,0.0,1.0
"me.umov.business.application.controller.team",4,1,0.2,0.0,0.8
"me.umov.business.application.service.toggle",1,3,0.75,0.0,0.25
