"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.centerweb.controller.SectionFieldController.save(Long activityId, Long sectionId, SectionField sectionField, String[] listItems, Boolean createField)",110,35,111,3,5
"br.com.trevisantecnologia.centerweb.util.Utilities.isEmpty(final Section section, final List<ActivityHistoryItem> items)",115,32,37,6,2
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImpl.getSchedulesSummary(DashboardPeriod dashboardPeriod, Long[] filteredClients, Long agentTypeToSearch)",112,20,91,5,3
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImpl.addAdditionalCriteria(Criteria criteria, Schedule schedule, SearchOptions options)",88,20,92,5,3
"br.com.trevisantecnologia.centerweb.util.Utilities.isUniqueFillingPending(final Section section, final List<ActivityHistoryItem> items)",70,19,30,6,2
"br.com.trevisantecnologia.centerweb.controller.ScheduleController.saveSchedule(Schedule schedule, List<CustomField> customFields)",70,19,67,4,2
"br.com.trevisantecnologia.centerweb.api.service.ApiActivityHistoryCreationService.verifyFieldHistory(ApiField apiField, ApiFieldHistory apiFieldHistory)",44,19,34,3,2
"br.com.trevisantecnologia.centerweb.service.ConnectorService.getConnectorsOnContext(PlatformEvent platformEvent, List<Connector> connectors)",19,19,17,2,2
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService.validate(ServiceLocal local)",67,18,58,5,1
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController.getFirstPendantMandatoryFieldIndex(final Section currentSection, final ActivityHistory activityHistory)",58,17,33,8,2
"br.com.trevisantecnologia.centerweb.geo.geocoder.Base64$InputStream.read()",102,17,4,5,0
"br.com.trevisantecnologia.centerweb.service.ActivityService.removeNonActiveComponents(Activity activity)",36,17,47,5,1
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImpl.getScheduleSimplifiedResult(DashboardPeriod dashboardPeriod, Long[] filteredClients, String nameView)",82,16,61,5,3
"br.com.trevisantecnologia.centerweb.service.ScheduleService.validate(Schedule schedule)",69,16,58,5,1
"br.com.trevisantecnologia.centerweb.web.PropertyFieldFactory.createInputField(Object instance, String fieldName)",40,16,2,0,2
