"namespace","ca","ce","instability","abstractness","distance"
"br.com.trevisantecnologia.centerweb.model",1295,12,0.009181331293037491,0.06451612903225806,0.9263025396747044
"br.com.trevisantecnologia.centerweb.service",448,48,0.0967741935483871,0.01845018450184502,0.8847756219497679
"br.com.trevisantecnologia.centerweb.types",66,4,0.05714285714285714,0.0037735849056603774,0.9390835579514825
"br.com.trevisantecnologia.centerweb.controller",26,38,0.59375,0.01932367149758454,0.3869263285024155
"br.com.trevisantecnologia.centerweb.fixture",431,15,0.033632286995515695,0.0,0.9663677130044843
"br.com.trevisantecnologia.centerweb.dao.impl",89,17,0.16037735849056603,0.021897810218978103,0.8177248312904559
"br.com.trevisantecnologia.centerweb.dao",278,8,0.027972027972027972,0.5298507462686567,0.4421772257593153
"br.com.trevisantecnologia.centerweb.util",542,13,0.023423423423423424,0.022727272727272728,0.9538493038493039
"br.com.trevisantecnologia.centerweb.business",94,16,0.14545454545454545,0.05813953488372093,0.7964059196617337
"br.com.trevisantecnologia.centerweb.serialization",26,16,0.38095238095238093,0.01639344262295082,0.6026541764246682
"br.com.trevisantecnologia.centerweb.api.controller",8,21,0.7241379310344828,0.017857142857142856,0.25800492610837433
"br.com.trevisantecnologia.centerweb.validation",94,11,0.10476190476190476,0.06666666666666667,0.8285714285714285
"br.com.trevisantecnologia.centerweb.helper",60,9,0.13043478260869565,0.022727272727272728,0.8468379446640316
"br.com.trevisantecnologia.centerweb.dao.structuralDaset",1,4,0.8,0.14285714285714285,0.05714285714285716
"br.com.trevisantecnologia.centerweb.api.exception",88,4,0.043478260869565216,0.037037037037037035,0.9194847020933977
"br.com.trevisantecnologia.centerweb.web.handler",1,4,0.8,0.04,0.15999999999999992
"br.com.trevisantecnologia.centerweb.business.schedule",3,7,0.7,0.04,0.26
"br.com.trevisantecnologia.centerweb.interceptor",4,14,0.7777777777777778,0.08695652173913043,0.13526570048309172
"br.com.trevisantecnologia.centerweb.annotation",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.centerweb.structuralDataSet",22,8,0.26666666666666666,0.38095238095238093,0.35238095238095246
"br.com.trevisantecnologia.centerweb.factory",22,7,0.2413793103448276,0.05,0.7086206896551723
"br.com.trevisantecnologia.centerweb.mock",151,9,0.05625,0.05263157894736842,0.8911184210526316
"br.com.trevisantecnologia.centerweb.api.batch.service",5,10,0.6666666666666666,0.15789473684210525,0.17543859649122817
"br.com.trevisantecnologia.centerweb.restriction.business",0,1,1.0,0.0625,0.0625
"br.com.trevisantecnologia.centerweb.strategy",3,5,0.625,0.14285714285714285,0.2321428571428572
"br.com.trevisantecnologia.centerweb.exception",217,0,0.0,0.0,1.0
"br.com.trevisantecnologia.centerweb.api.model",57,3,0.05,0.07142857142857142,0.8785714285714286
"br.com.trevisantecnologia.centerweb.web.annotation",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.centerweb.business.agentteam",2,6,0.75,0.07692307692307693,0.17307692307692313
"br.com.trevisantecnologia.centerweb.chart",4,5,0.5555555555555556,0.07692307692307693,0.36752136752136755
"br.com.trevisantecnologia.centerweb.formula.strategies",4,2,0.3333333333333333,0.08333333333333333,0.5833333333333334
"br.com.trevisantecnologia.centerweb.controller.widget",0,6,1.0,0.0,0.0
"br.com.trevisantecnologia.centerweb.persistence",3,1,0.25,0.0,0.75
"br.com.trevisantecnologia.centerweb.service.structural",7,4,0.36363636363636365,0.2,0.4363636363636363
"br.com.trevisantecnologia.centerweb.umobutilitieslib.impl",2,4,0.6666666666666666,0.0,0.33333333333333337
"br.com.trevisantecnologia.centerweb.geo.geocoder",4,2,0.3333333333333333,0.1111111111111111,0.5555555555555556
"br.com.trevisantecnologia.centerweb.environment",13,3,0.1875,0.125,0.6875
"br.com.trevisantecnologia.centerweb.eca.connector.impl",2,11,0.8461538461538461,0.125,0.028846153846153855
"br.com.trevisantecnologia.centerweb.restriction",4,3,0.42857142857142855,0.125,0.4464285714285714
"br.com.trevisantecnologia.centerweb.mail",12,3,0.2,0.125,0.675
