"namespace","noc","nac"
"br.com.trevisantecnologia.centerweb.model",279,18
"br.com.trevisantecnologia.centerweb.service",271,5
"br.com.trevisantecnologia.centerweb.types",265,1
"br.com.trevisantecnologia.centerweb.controller",207,4
"br.com.trevisantecnologia.centerweb.fixture",164,0
"br.com.trevisantecnologia.centerweb.dao.impl",137,3
"br.com.trevisantecnologia.centerweb.dao",134,71
"br.com.trevisantecnologia.centerweb.util",88,2
"br.com.trevisantecnologia.centerweb.business",86,5
"br.com.trevisantecnologia.centerweb.serialization",61,1
"br.com.trevisantecnologia.centerweb.api.controller",56,1
"br.com.trevisantecnologia.centerweb.validation",45,3
"br.com.trevisantecnologia.centerweb.helper",44,1
"br.com.trevisantecnologia.centerweb.dao.structuralDaset",35,5
"br.com.trevisantecnologia.centerweb.api.exception",27,1
"br.com.trevisantecnologia.centerweb.web.handler",25,1
"br.com.trevisantecnologia.centerweb.business.schedule",25,1
"br.com.trevisantecnologia.centerweb.interceptor",23,2
"br.com.trevisantecnologia.centerweb.annotation",23,0
"br.com.trevisantecnologia.centerweb.structuralDataSet",21,8
"br.com.trevisantecnologia.centerweb.factory",20,1
"br.com.trevisantecnologia.centerweb.mock",19,1
"br.com.trevisantecnologia.centerweb.api.batch.service",19,3
"br.com.trevisantecnologia.centerweb.restriction.business",16,1
"br.com.trevisantecnologia.centerweb.strategy",14,2
"br.com.trevisantecnologia.centerweb.exception",14,0
"br.com.trevisantecnologia.centerweb.api.model",14,1
"br.com.trevisantecnologia.centerweb.web.annotation",14,0
"br.com.trevisantecnologia.centerweb.business.agentteam",13,1
"br.com.trevisantecnologia.centerweb.chart",13,1
"br.com.trevisantecnologia.centerweb.formula.strategies",12,1
"br.com.trevisantecnologia.centerweb.controller.widget",12,0
"br.com.trevisantecnologia.centerweb.persistence",11,0
"br.com.trevisantecnologia.centerweb.service.structural",10,2
"br.com.trevisantecnologia.centerweb.umobutilitieslib.impl",10,0
"br.com.trevisantecnologia.centerweb.geo.geocoder",9,1
"br.com.trevisantecnologia.centerweb.environment",8,1
"br.com.trevisantecnologia.centerweb.eca.connector.impl",8,1
"br.com.trevisantecnologia.centerweb.restriction",8,1
"br.com.trevisantecnologia.centerweb.mail",8,1
"br.com.trevisantecnologia.common.web.displaytag.decorator",8,0
"br.com.trevisantecnologia.centerweb.service.interfaceObject",8,3
"br.com.trevisantecnologia.centerweb.authentication",7,0
"br.com.trevisantecnologia.centerweb.web",7,1
"br.com.trevisantecnologia.centerweb.eca.connector",7,1
"br.com.trevisantecnologia.centerweb.service.recaptcha",7,0
"br.com.trevisantecnologia.centerweb.model.activity.section.field",7,0
"br.com.trevisantecnologia.centerweb.connector.model",7,1
