"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.centerweb.model.SystemParameters",49,1,56,8
"br.com.trevisantecnologia.centerweb.model.Agent",72,4,194,21
"br.com.trevisantecnologia.centerweb.model.Schedule",80,4,107,16
"br.com.trevisantecnologia.centerweb.service.ScheduleServiceTest",84,39,0,43
"br.com.trevisantecnologia.centerweb.model.ServiceLocal",64,4,93,16
"br.com.trevisantecnologia.centerweb.util.UserInfo",101,16,389,21
"br.com.trevisantecnologia.centerweb.service.ScheduleService",40,14,33,25
"br.com.trevisantecnologia.centerweb.model.Activity",58,1,100,11
"br.com.trevisantecnologia.centerweb.service.AgentServiceTest",70,26,0,33
"br.com.trevisantecnologia.centerweb.service.CustomFieldServiceTest",37,9,0,13
"br.com.trevisantecnologia.centerweb.geo.geocoder.Base64",0,0,0,24
"br.com.trevisantecnologia.centerweb.model.SectionField",25,1,78,7
"br.com.trevisantecnologia.centerweb.controller.ScheduleController",30,4,0,12
"br.com.trevisantecnologia.centerweb.service.AgentService",58,29,80,36
"br.com.trevisantecnologia.centerweb.service.CustomFieldService",32,13,59,17
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController",66,39,2,47
"br.com.trevisantecnologia.centerweb.model.Section",45,0,73,8
"br.com.trevisantecnologia.centerweb.api.service.ApiActivityHistoryCreationServiceTest",34,6,0,8
"br.com.trevisantecnologia.centerweb.dao.impl.AbstractGenericHibernateDao",66,8,124,22
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService",39,24,33,32
"br.com.trevisantecnologia.centerweb.service.SectionFieldService",24,6,8,13
"br.com.trevisantecnologia.centerweb.model.Client",30,1,83,6
"br.com.trevisantecnologia.centerweb.model.Appearance",28,1,14,5
"br.com.trevisantecnologia.centerweb.model.Model",39,1,30,4
"br.com.trevisantecnologia.centerweb.model.ActivityHistory",38,0,38,4
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImpl",32,3,0,12
"br.com.trevisantecnologia.centerweb.model.Item",23,2,92,12
"br.com.trevisantecnologia.centerweb.service.ServiceLocalServiceTest",43,21,0,24
"br.com.trevisantecnologia.centerweb.fixture.AgentFixture",24,8,81,10
"br.com.trevisantecnologia.centerweb.controller.ActivityController",59,28,1,33
"br.com.trevisantecnologia.centerweb.controller.ScheduleControllerTest",31,3,0,8
"br.com.trevisantecnologia.centerweb.controller.SectionFieldController",33,7,0,10
"br.com.trevisantecnologia.centerweb.fixture.ScheduleFixture",15,2,35,5
"br.com.trevisantecnologia.centerweb.model.DefaultSystemSettings",9,0,38,3
