"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.centerweb.model.SystemParameters",1844,368,367,387,49,1,56,8,173
"br.com.trevisantecnologia.centerweb.model.Agent",1815,321,319,350,72,4,194,21,143
"br.com.trevisantecnologia.centerweb.model.Schedule",1483,262,257,322,80,4,107,16,108
"br.com.trevisantecnologia.centerweb.service.ScheduleServiceTest",1387,138,133,143,84,39,0,43,30
"br.com.trevisantecnologia.centerweb.model.ServiceLocal",1329,218,216,243,64,4,93,16,102
"br.com.trevisantecnologia.centerweb.util.UserInfo",1171,290,277,332,101,16,389,21,68
"br.com.trevisantecnologia.centerweb.service.ScheduleService",965,104,45,282,40,14,33,25,24
"br.com.trevisantecnologia.centerweb.model.Activity",934,180,178,204,58,1,100,11,83
"br.com.trevisantecnologia.centerweb.service.AgentServiceTest",919,101,99,101,70,26,0,33,24
"br.com.trevisantecnologia.centerweb.service.CustomFieldServiceTest",893,104,103,104,37,9,0,13,18
"br.com.trevisantecnologia.centerweb.geo.geocoder.Base64",873,41,35,137,0,0,0,24,39
"br.com.trevisantecnologia.centerweb.model.SectionField",850,166,166,184,25,1,78,7,73
"br.com.trevisantecnologia.centerweb.controller.ScheduleController",794,70,44,168,30,4,0,12,29
"br.com.trevisantecnologia.centerweb.service.AgentService",748,90,57,186,58,29,80,36,29
"br.com.trevisantecnologia.centerweb.service.CustomFieldService",672,92,59,193,32,13,59,17,20
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController",659,39,11,142,66,39,2,47,22
"br.com.trevisantecnologia.centerweb.model.Section",652,122,122,155,45,0,73,8,56
"br.com.trevisantecnologia.centerweb.api.service.ApiActivityHistoryCreationServiceTest",650,73,66,73,34,6,0,8,38
"br.com.trevisantecnologia.centerweb.dao.impl.AbstractGenericHibernateDao",634,80,39,169,66,8,124,22,2
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService",603,53,30,156,39,24,33,32,21
"br.com.trevisantecnologia.centerweb.service.SectionFieldService",590,67,57,159,24,6,8,13,11
"br.com.trevisantecnologia.centerweb.model.Client",546,119,118,133,30,1,83,6,55
"br.com.trevisantecnologia.centerweb.model.Appearance",545,88,88,106,28,1,14,5,49
"br.com.trevisantecnologia.centerweb.model.Model",528,108,108,108,39,1,30,4,82
"br.com.trevisantecnologia.centerweb.model.ActivityHistory",513,93,90,128,38,0,38,4,37
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImpl",505,25,21,102,32,3,0,12,1
"br.com.trevisantecnologia.centerweb.model.Item",493,84,84,95,23,2,92,12,36
"br.com.trevisantecnologia.centerweb.service.ServiceLocalServiceTest",490,49,49,49,43,21,0,24,28
"br.com.trevisantecnologia.centerweb.fixture.AgentFixture",470,114,112,115,24,8,81,10,3
"br.com.trevisantecnologia.centerweb.controller.ActivityController",466,36,23,86,59,28,1,33,16
"br.com.trevisantecnologia.centerweb.controller.ScheduleControllerTest",460,39,38,39,31,3,0,8,34
"br.com.trevisantecnologia.centerweb.controller.SectionFieldController",460,31,9,124,33,7,0,10,10
"br.com.trevisantecnologia.centerweb.fixture.ScheduleFixture",453,89,89,99,15,2,35,5,1
"br.com.trevisantecnologia.centerweb.model.DefaultSystemSettings",452,106,106,106,9,0,38,3,54
"br.com.trevisantecnologia.centerweb.service.media.MediaServiceTest",443,44,44,44,35,12,0,15,14
"br.com.trevisantecnologia.centerweb.model.ScheduleTest",442,47,47,47,20,1,0,2,1
"br.com.trevisantecnologia.centerweb.controller.SectionController",441,26,14,81,30,9,0,17,18
"br.com.trevisantecnologia.centerweb.model.Connector",434,86,86,94,17,0,11,2,42
"br.com.trevisantecnologia.centerweb.service.SectionFieldServiceTest",430,45,45,45,24,5,0,10,14
"br.com.trevisantecnologia.centerweb.service.ClientServiceTest",428,44,44,44,44,16,0,16,10
"br.com.trevisantecnologia.centerweb.controller.WorkspaceControllerTest",420,36,36,36,46,17,0,17,19
"br.com.trevisantecnologia.centerweb.service.ItemServiceTest",417,51,51,51,25,4,0,6,12
"br.com.trevisantecnologia.centerweb.api.service.ApiScheduleRoutingServiceTest",416,38,30,49,44,19,0,21,15
"br.com.trevisantecnologia.centerweb.service.ConnectorServiceTest",411,53,50,53,30,7,0,8,10
"br.com.trevisantecnologia.centerweb.reflection.ReflectionHandler",408,76,72,103,43,1,28,10,0
"br.com.trevisantecnologia.centerweb.reflection.ReflectionHandlerTest",405,83,82,87,18,4,0,11,3
"br.com.trevisantecnologia.centerweb.business.CustomFieldValueValidatorTest",402,45,45,45,40,13,0,13,4
"br.com.trevisantecnologia.centerweb.controller.AgentController",394,30,16,69,69,30,4,32,20
