"method","loc","cyclo","calls","nbd","param"
"me.umov.chart.model.Environment.equals(Object obj)",20,10,4,1,1
"me.umov.chart.controller.ApiController.chartLoaded(Chart chart)",22,5,8,2,1
"me.umov.chart.helper.TokenGeneratorHelper.generateWidgetToken(Long clientId, WidgetType widgetType, List<OnlineFilter> filters, CustomColumns customColumns, Long transactionId)",23,5,16,1,5
"me.umov.chart.util.Miscellaneous.getRandomString(final int length)",22,5,8,1,1
"me.umov.chart.model.column.CustomColumns.getActivityFields()",6,4,4,1,0
"me.umov.chart.controller.WidgetController.widget(WidgetType widgetType)",13,4,4,0,1
"me.umov.chart.controller.ApiController.getWidgetTransactionId(CacheType type, String token)",10,3,2,2,2
"me.umov.chart.interceptor.AuthenticationInterceptor.intercept(InterceptorStack stack, ResourceMethod method, Object resourceInstance)",20,3,9,1,3
"me.umov.chart.model.Environment.hashCode()",7,3,2,1,0
"me.umov.chart.dao.AbstractDaoMock.containsCriteria(List<Criterion> criteriaList, String criteria)",6,3,2,1,2
"me.umov.chart.model.OnlineFilter.compareTo(OnlineFilter o)",9,3,1,0,1
"me.umov.chart.controller.ApiController.widgetApi(WidgetType widgetType, List<OnlineFilter> filter, CustomColumns customColumns, Long transactionId)",13,2,7,2,4
"me.umov.chart.service.ChartAuthenticationService.authenticateByAuthCode(String authenticationCode)",12,2,9,2,1
"me.umov.chart.controller.ApiController.cleanCache(CacheType type, String token)",12,2,6,2,2
"me.umov.chart.controller.ApiController.delete(CacheType type, String token)",11,2,5,2,2
"me.umov.chart.service.ChartAuthenticationService.createToken(Long clientId, Long agentId)",10,2,7,2,2
"me.umov.chart.controller.ApiController.create(CacheType type, String token)",10,2,4,2,2
"me.umov.chart.controller.ApiController.invalidate(CacheType type, String token)",10,2,4,2,2
"me.umov.chart.controller.BaseController.getLocale()",10,2,3,2,0
"me.umov.chart.interceptor.I18NInterceptor.getLocale()",9,2,3,2,0
"me.umov.chart.controller.ApiController.getData(CacheType type, String token)",7,2,5,2,2
"me.umov.chart.fixture.CustomColumnsFixture.withActivityField(String column)",18,2,8,1,1
"me.umov.chart.helper.TokenGeneratorHelperTest.shouldAlwaysGenerateGenerateRandomChartAuthToken()",14,2,6,1,0
"me.umov.chart.controller.BaseTestController.assertResult(int statusCode, String message, String token)",12,2,8,1,3
"me.umov.chart.persistence.ListOfCharacterToArrayType.nullSafeSet(PreparedStatement statement, Object value, int index, SessionImplementor session)",12,2,6,1,4
"me.umov.chart.service.EnvironmentService.enableEnvironment(Long clientId)",12,2,5,1,1
"me.umov.chart.controller.DashboardController.viewMobile(String chartToken, Long id)",11,2,6,1,2
"me.umov.chart.controller.DashboardController.saveDashboard(String authenticationCode, String data)",11,2,5,1,2
"me.umov.chart.helper.URLHelper.resourceURI(String resource)",10,2,6,1,1
"me.umov.chart.persistence.ListOfCharacterToArrayType.nullSafeGet(ResultSet resultSet, String[] names, SessionImplementor session, Object owner)",10,2,4,1,4
"me.umov.chart.controller.DictionaryController.getDictionaryMessages()",9,2,4,1,0
"me.umov.chart.helper.TokenGeneratorHelper.generateSubChartToken(String token)",9,2,3,1,1
"me.umov.chart.dao.AbstractDao.createCriteria(Criterion... criterions)",6,2,4,1,1
"me.umov.chart.service.EnvironmentService.isEnvironmentReady(Long clientId)",6,2,3,1,1
"me.umov.chart.model.Environment.setStatus(Status status)",6,2,0,1,1
"me.umov.chart.dao.AbstractDao.getByCriteria(Criterion... criterions)",5,2,6,1,1
"me.umov.chart.dao.AbstractDaoMock.assertContainsCriteria(List<Criterion> criteriaList, String expectedCriteria)",3,2,3,1,2
"me.umov.chart.persistence.ListOfCharacterToArrayType.equals(Object a, Object b)",3,2,1,1,2
"me.umov.chart.model.Chart.setType(CacheType type)",2,2,1,1,1
"me.umov.chart.service.ChartService.findOrCreateWidgetCache(WidgetType widgetType, List<OnlineFilter> filters, CustomColumns customColumns, Long transactionId)",9,2,5,0,4
"me.umov.chart.controller.AuthenticationController.authenticate(String authenticationCode)",8,2,4,0,1
"me.umov.chart.controller.EnvironmentStatusController.status()",8,2,4,0,0
"me.umov.chart.dao.ChartDao.findByTypeAndTokenAndTransactionId(CacheType type, String token, Long transactionId)",6,2,6,0,3
"me.umov.chart.persistence.JsonAsStringType.nullSafeSet(PreparedStatement st, Object value, int index, SessionImplementor session)",6,2,3,0,4
"me.umov.chart.controller.WidgetController.resourceUri(WidgetType widgetType)",5,2,4,0,1
"me.umov.chart.helper.SerializationHelper.serializeCustomColumns(CustomColumns customColumns)",5,2,1,0,1
"me.umov.chart.helper.SerializationHelper.serializeFilters(List<OnlineFilter> filters)",5,2,1,0,1
"me.umov.chart.persistence.JsonAsStringType.equals(Object a, Object b)",3,2,1,0,2
"me.umov.chart.interceptor.I18NInterceptor.intercept(InterceptorStack stack, ResourceMethod method, Object resourceInstance)",13,1,11,2,3
