"namespace","ca","ce","instability","abstractness","distance"
"me.umov.chart.controller",1,7,0.875,0.11764705882352941,0.007352941176470562
"me.umov.chart.model",43,3,0.06521739130434782,0.08333333333333333,0.8514492753623188
"me.umov.chart.dao",9,2,0.18181818181818182,0.2,0.6181818181818182
"me.umov.chart.service",11,4,0.26666666666666666,0.0,0.7333333333333334
"me.umov.chart.fixture",11,2,0.15384615384615385,0.0,0.8461538461538461
"me.umov.chart.helper",5,3,0.375,0.0,0.625
"me.umov.chart.interceptor",1,3,0.75,0.0,0.25
"me.umov.chart.type",0,0,0.0,0.0,1.0
"me.umov.chart.persistence",0,0,0.0,0.0,1.0
"me.umov.chart.util",1,0,0.0,0.0,1.0
"me.umov.chart.model.column",9,0,0.0,0.0,1.0
"me.umov.chart.filter",0,0,0.0,0.0,1.0
"me.umov.chart",0,0,0.0,0.0,1.0
"me.umov.chart.ioc",0,1,1.0,0.0,0.0
"me.umov.chart.annotation",0,0,0.0,0.0,1.0
