"type","dep","i-dep","fan-in","fan-out"
"me.umov.chart.controller.ApiControllerTest",22,4,0,5
"me.umov.chart.model.Chart",18,2,17,6
"me.umov.chart.controller.ApiController",14,4,0,9
"me.umov.chart.service.ChartServiceTest",31,8,0,8
"me.umov.chart.helper.TokenGeneratorHelperTest",20,3,0,5
"me.umov.chart.interceptor.I18NInterceptorTest",22,1,0,1
"me.umov.chart.model.Environment",7,0,5,4
"me.umov.chart.dao.AbstractDaoMock",21,1,2,2
"me.umov.chart.interceptor.AuthenticationInterceptorTest",23,5,0,8
"me.umov.chart.service.ChartAuthenticationServiceTest",24,4,0,4
"me.umov.chart.persistence.ListOfCharacterToArrayType",11,0,0,6
"me.umov.chart.model.column.CustomColumns",3,0,9,0
"me.umov.chart.service.EnvironmentServiceTest",16,3,0,3
"me.umov.chart.model.ChartTest",10,2,0,3
"me.umov.chart.controller.WidgetControllerTest",20,3,0,3
"me.umov.chart.model.ChartAuthentication",8,0,9,1
"me.umov.chart.persistence.JsonAsStringType",9,0,0,3
"me.umov.chart.helper.TokenGeneratorHelper",11,2,0,8
"me.umov.chart.service.ChartService",14,5,3,6
"me.umov.chart.util.Miscellaneous",2,0,0,5
"me.umov.chart.controller.BaseController",10,2,9,4
"me.umov.chart.interceptor.AuthenticationInterceptor",17,4,0,6
"me.umov.chart.dao.AbstractDaoTest",11,1,0,3
"me.umov.chart.interceptor.I18NInterceptor",15,1,1,4
"me.umov.chart.controller.WidgetController",8,2,1,4
"me.umov.chart.filter.CORSFilterTest",10,0,0,0
"me.umov.chart.service.ChartAuthenticationService",12,3,5,6
"me.umov.chart.dao.AbstractDao",8,1,6,6
"me.umov.chart.controller.DictionaryControllerTest",15,1,0,2
"me.umov.chart.model.Dashboard",4,0,3,1
"me.umov.chart.fixture.ChartFixture",5,1,4,2
"me.umov.chart.controller.DashboardController",10,4,0,5
"me.umov.chart.model.column.Field",2,0,1,0
"me.umov.chart.interceptor.SessionManagementInterceptorTest",10,0,0,0
"me.umov.chart.controller.MapController",11,4,0,5
"me.umov.chart.controller.ChartControllerTest",8,0,0,0
"me.umov.chart.model.APIResult",1,0,3,0
"me.umov.chart.fixture.EnvironmentFixture",3,1,2,2
"me.umov.chart.model.EnvironmentTest",4,0,0,0
"me.umov.chart.controller.BaseTestController",9,0,3,3
"me.umov.chart.fixture.OnlineFilterFixture",2,1,4,2
"me.umov.chart.model.OnlineFilter",0,0,9,2
"me.umov.chart.service.EnvironmentService",6,2,2,3
"me.umov.chart.model.UserInfo",2,0,13,0
"me.umov.chart.helper.URLHelperTest",8,0,0,0
"me.umov.chart.controller.AuthenticationControllerTest",8,3,0,4
"me.umov.chart.controller.EnvironmentStatusControllerTest",7,2,0,3
"me.umov.chart.helper.SerializationHelperTest",7,2,0,2
"me.umov.chart.dao.ChartDaoTest",11,2,0,4
"me.umov.chart.fixture.CustomColumnsFixture",5,3,4,3
"me.umov.chart.controller.ChartController",4,1,1,2
"me.umov.chart.fixture.ChartAuthenticationFixture",3,1,3,2
"me.umov.chart.model.column.Entity",2,0,1,0
"me.umov.chart.service.GlobalSettingsServiceTest",10,3,0,3
"me.umov.chart.filter.CORSFilter",8,0,1,1
"me.umov.chart.fixture.UserInfoFixture",2,1,2,1
"me.umov.chart.controller.EnvironmentStatusController",7,3,0,4
"me.umov.chart.helper.SerializationHelper",6,2,1,3
"me.umov.chart.model.GlobalSettings",3,0,4,1
"me.umov.chart.interceptor.SessionManagementInterceptor",7,0,0,1
"me.umov.chart.fixture.GlobalSettingsFixture",2,1,2,2
"me.umov.chart.controller.DictionaryController",5,0,0,3
"me.umov.chart.ioc.AuthClientFactory",8,1,0,2
"me.umov.chart.controller.AuthenticationController",5,2,0,3
"me.umov.chart.helper.URLHelper",4,0,4,1
"me.umov.chart.model.TestModel",1,0,2,1
"me.umov.chart.service.DashboardService",4,2,1,3
"me.umov.chart.service.GlobalSettingsService",4,2,1,3
"me.umov.chart.dao.ChartDao",6,1,2,2
"me.umov.chart.type.WidgetTypeTest",2,0,0,0
"me.umov.chart.dao.ChartAuthenticationDao",5,1,2,2
"me.umov.chart.controller.IndexController",5,0,0,1
"me.umov.chart.util.MockitoHelpers",2,0,0,0
"me.umov.chart.Sample",4,0,0,1
"me.umov.chart.dao.TestDao",3,1,0,2
"me.umov.chart.persistence.CustomPostgreSQLDialect",3,0,0,1
"me.umov.chart.helper.ReflectionHelper",3,0,0,2
"me.umov.chart.persistence.BooleanCharacterType",1,0,0,1
"me.umov.chart.dao.GlobalSettingsDao",2,1,2,2
"me.umov.chart.util.TestResourceBundle",1,0,1,0
"me.umov.chart.dao.EnvironmentDao",2,1,2,2
"me.umov.chart.dao.DashboardDao",2,1,1,2
"me.umov.chart.model.Model",1,0,8,0
