"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.chart.controller.ApiControllerTest",178,19,19,19,22,4,0,5,5
"me.umov.chart.model.Chart",171,32,30,33,18,2,17,6,16
"me.umov.chart.controller.ApiController",155,19,12,31,14,4,0,9,2
"me.umov.chart.service.ChartServiceTest",123,11,11,11,31,8,0,8,3
"me.umov.chart.helper.TokenGeneratorHelperTest",113,11,11,12,20,3,0,5,0
"me.umov.chart.interceptor.I18NInterceptorTest",107,12,12,12,22,1,0,1,9
"me.umov.chart.model.Environment",99,13,11,22,7,0,5,4,9
"me.umov.chart.dao.AbstractDaoMock",91,9,5,12,21,1,2,2,13
"me.umov.chart.interceptor.AuthenticationInterceptorTest",90,7,5,7,23,5,0,8,8
"me.umov.chart.service.ChartAuthenticationServiceTest",90,7,7,7,24,4,0,4,5
"me.umov.chart.persistence.ListOfCharacterToArrayType",75,11,11,14,11,0,0,6,1
"me.umov.chart.model.column.CustomColumns",69,17,17,20,3,0,9,0,9
"me.umov.chart.service.EnvironmentServiceTest",66,7,7,7,16,3,0,3,2
"me.umov.chart.model.ChartTest",64,6,6,6,10,2,0,3,0
"me.umov.chart.controller.WidgetControllerTest",64,3,3,3,20,3,0,3,9
"me.umov.chart.model.ChartAuthentication",63,12,12,12,8,0,9,1,6
"me.umov.chart.persistence.JsonAsStringType",61,11,11,13,9,0,0,3,1
"me.umov.chart.helper.TokenGeneratorHelper",61,6,3,11,11,2,0,8,3
"me.umov.chart.service.ChartService",60,10,10,11,14,5,3,6,2
"me.umov.chart.util.Miscellaneous",55,11,11,15,2,0,0,5,0
"me.umov.chart.controller.BaseController",55,8,0,9,10,2,9,4,2
"me.umov.chart.interceptor.AuthenticationInterceptor",55,3,2,5,17,4,0,6,5
"me.umov.chart.dao.AbstractDaoTest",52,6,6,6,11,1,0,3,1
"me.umov.chart.interceptor.I18NInterceptor",51,3,2,4,15,1,1,4,4
"me.umov.chart.controller.WidgetController",48,5,1,9,8,2,1,4,3
"me.umov.chart.filter.CORSFilterTest",46,5,5,5,10,0,0,0,4
"me.umov.chart.service.ChartAuthenticationService",46,3,2,5,12,3,5,6,5
"me.umov.chart.dao.AbstractDao",45,8,5,10,8,1,6,6,1
"me.umov.chart.controller.DictionaryControllerTest",45,3,3,3,15,1,0,2,4
"me.umov.chart.model.Dashboard",43,8,8,8,4,0,3,1,5
"me.umov.chart.fixture.ChartFixture",42,9,9,9,5,1,4,2,1
"me.umov.chart.controller.DashboardController",42,2,2,4,10,4,0,5,2
"me.umov.chart.model.column.Field",41,10,10,10,2,0,1,0,6
"me.umov.chart.interceptor.SessionManagementInterceptorTest",41,4,4,4,10,0,0,0,5
"me.umov.chart.controller.MapController",39,3,3,3,11,4,0,5,2
"me.umov.chart.controller.ChartControllerTest",37,4,4,4,8,0,0,0,2
"me.umov.chart.model.APIResult",36,9,9,9,1,0,3,0,4
"me.umov.chart.fixture.EnvironmentFixture",36,8,8,8,3,1,2,2,1
"me.umov.chart.model.EnvironmentTest",36,5,5,5,4,0,0,0,1
"me.umov.chart.controller.BaseTestController",35,3,1,4,9,0,3,3,2
"me.umov.chart.fixture.OnlineFilterFixture",32,8,8,8,2,1,4,2,1
"me.umov.chart.model.OnlineFilter",31,7,7,9,0,0,9,2,2
"me.umov.chart.service.EnvironmentService",31,2,2,4,6,2,2,3,2
"me.umov.chart.model.UserInfo",30,7,7,7,2,0,13,0,3
"me.umov.chart.helper.URLHelperTest",30,3,3,3,8,0,0,0,2
"me.umov.chart.controller.AuthenticationControllerTest",30,2,2,2,8,3,0,4,2
"me.umov.chart.controller.EnvironmentStatusControllerTest",30,2,2,2,7,2,0,3,3
"me.umov.chart.helper.SerializationHelperTest",29,2,2,2,7,2,0,2,0
"me.umov.chart.dao.ChartDaoTest",29,1,1,1,11,2,0,4,1
"me.umov.chart.fixture.CustomColumnsFixture",28,3,3,4,5,3,4,3,1
"me.umov.chart.controller.ChartController",28,3,3,3,4,1,1,2,1
"me.umov.chart.fixture.ChartAuthenticationFixture",27,6,6,6,3,1,3,2,1
"me.umov.chart.model.column.Entity",27,6,6,6,2,0,1,0,4
"me.umov.chart.service.GlobalSettingsServiceTest",27,2,2,2,10,3,0,3,3
"me.umov.chart.filter.CORSFilter",25,3,3,3,8,0,1,1,0
"me.umov.chart.fixture.UserInfoFixture",24,5,5,5,2,1,2,1,1
"me.umov.chart.controller.EnvironmentStatusController",24,1,1,2,7,3,0,4,2
"me.umov.chart.helper.SerializationHelper",23,3,3,5,6,2,1,3,1
"me.umov.chart.model.GlobalSettings",23,3,3,3,3,0,4,1,3
"me.umov.chart.interceptor.SessionManagementInterceptor",23,2,2,2,7,0,0,1,2
"me.umov.chart.fixture.GlobalSettingsFixture",22,5,5,5,2,1,2,2,1
"me.umov.chart.controller.DictionaryController",21,2,1,3,5,0,0,3,0
"me.umov.chart.ioc.AuthClientFactory",19,1,1,1,8,1,0,2,1
"me.umov.chart.controller.AuthenticationController",19,1,1,2,5,2,0,3,1
"me.umov.chart.helper.URLHelper",18,1,1,2,4,0,4,1,1
"me.umov.chart.model.TestModel",16,3,3,3,1,0,2,1,2
"me.umov.chart.service.DashboardService",16,2,2,2,4,2,1,3,1
"me.umov.chart.service.GlobalSettingsService",16,2,1,2,4,2,1,3,1
"me.umov.chart.dao.ChartDao",16,1,1,2,6,1,2,2,0
"me.umov.chart.type.WidgetTypeTest",15,2,2,2,2,0,0,0,0
"me.umov.chart.dao.ChartAuthenticationDao",15,2,2,2,5,1,2,2,0
"me.umov.chart.controller.IndexController",15,1,1,1,5,0,0,1,0
"me.umov.chart.util.MockitoHelpers",14,2,2,1,2,0,0,0,0
"me.umov.chart.Sample",13,0,1,1,4,0,0,1,0
"me.umov.chart.dao.TestDao",12,1,1,1,3,1,0,2,1
"me.umov.chart.persistence.CustomPostgreSQLDialect",11,1,1,1,3,0,0,1,0
"me.umov.chart.helper.ReflectionHelper",11,1,1,1,3,0,0,2,0
"me.umov.chart.persistence.BooleanCharacterType",9,1,1,1,1,0,0,1,1
"me.umov.chart.dao.GlobalSettingsDao",9,1,1,1,2,1,2,2,0
"me.umov.chart.util.TestResourceBundle",8,1,0,1,1,0,1,0,0
"me.umov.chart.dao.EnvironmentDao",6,0,0,1,2,1,2,2,0
"me.umov.chart.dao.DashboardDao",6,0,0,1,2,1,1,2,0
"me.umov.chart.model.Model",5,1,1,1,1,0,8,0,0
