"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.validateMandatoryLayoutCustomFields(T instance)",17,11,19,4,1
"br.com.trevisantecnologia.importer.model.WeekdaysItinerary.equals(Object obj)",25,11,0,0,1
"br.com.trevisantecnologia.importer.model.WeekdaysServiceLocalActivity.equals(Object obj)",24,11,0,0,1
"br.com.trevisantecnologia.importer.service.AgentService.beforeValidation(Agent agent)",42,10,32,1,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.GeoLocationTimezone.isValid(Agent agent)",14,9,17,0,1
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyAgentPortfolio(Schedule schedule)",18,8,9,2,1
"br.com.trevisantecnologia.importer.model.Schedule.sendNotificationCasesOnEditSchedule(Schedule old)",14,8,8,2,1
"br.com.trevisantecnologia.importer.service.CustomFieldValueService.customValidations(CustomFieldValue instance)",28,8,18,1,1
"br.com.trevisantecnologia.importer.service.ItineraryService.beforeValidation(Itinerary itinerary)",17,8,16,1,1
"br.com.trevisantecnologia.importer.util.ArrayUtils.containsCustomFieldByIdOrAlternativeIdentifier(CustomField customField, List<CustomField> list)",13,8,11,1,2
"br.com.trevisantecnologia.importer.model.WeekdaysServiceLocalActivity.listSelectedDays()",17,8,7,0,0
"br.com.trevisantecnologia.importer.model.WeekdaysItinerary.hashCode()",12,8,0,0,0
"br.com.trevisantecnologia.importer.model.WeekdaysServiceLocalActivity.hashCode()",12,8,0,0,0
"br.com.trevisantecnologia.importer.service.AbstractImportService.validateMandatoryLayoutFields(T instance)",22,7,15,4,1
"br.com.trevisantecnologia.importer.model.journey.Workday.getAllFilledTimes()",22,7,6,2,0
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyActivityOrigin(Schedule schedule)",16,7,11,2,1
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyScheduleSituation(Schedule schedule)",10,7,8,2,1
"br.com.trevisantecnologia.importer.service.ItemService.verifyItemsLimitIsReached(Item item)",14,7,7,1,1
"br.com.trevisantecnologia.importer.parser.FileProcessorV3.readAndProcessFile()",43,6,34,4,0
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.verifyCustomFieldValueAlreayExists(CustomField customField)",11,6,9,4,1
"br.com.trevisantecnologia.importer.layout.LayoutMapperResolver.createLayoutMapper(String fileName)",18,6,12,3,1
"br.com.trevisantecnologia.importer.converter.WeekdaysConverter.convert(Class<?> type, String values)",24,6,11,2,2
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyTeamAndAgent(Schedule schedule)",21,6,17,2,1
"br.com.trevisantecnologia.importer.dao.CustomFieldValueDao.escape(String value)",21,6,6,2,1
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyTeamExecution(Schedule schedule)",15,6,7,2,1
"br.com.trevisantecnologia.importer.service.ScheduleService.mustValidateMandatoryField(String fieldName, Schedule instance)",9,6,4,2,2
"br.com.trevisantecnologia.importer.model.schedule.notification.ScheduleNotification.getAgentIdList(List<Agent> agents)",9,6,4,2,1
"br.com.trevisantecnologia.importer.service.CustomFieldValueService.getByEntityAndAlternativeIdentifier(FieldEntityType entityType, CustomEntity customEntity, String alternativeIdentifier)",16,6,5,1,3
"br.com.trevisantecnologia.importer.service.AgentService.setClientLicensesLimit(Agent agent)",14,6,9,1,1
"br.com.trevisantecnologia.importer.service.CustomFieldValueService.converterDate(CustomFieldValue instance)",10,6,17,1,1
"br.com.trevisantecnologia.importer.service.ScheduleImportService.updateStatus(ImportStatus importStatus, ScheduleImport scheduleImport, ScheduleImportResult result)",22,6,15,0,3
"br.com.trevisantecnologia.importer.service.schedule.notification.ScheduleNotificationService.sendNotificationTo(Schedule schedule)",21,5,11,4,1
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.getMediaTypeByCustomFieldSubType(CustomFieldSubType subtype)",13,5,0,4,1
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.verifyMultipleCustomFieldValues(CustomField customField)",6,5,5,4,1
"br.com.trevisantecnologia.importer.parser.Splitter.splitBySeparator(String value, char separator)",23,5,10,3,2
"br.com.trevisantecnologia.importer.parser.LineParser.splitCustomFieldValues(String value)",29,5,13,2,1
"br.com.trevisantecnologia.importer.parser.LineParser.unescape(String value)",25,5,5,2,1
"br.com.trevisantecnologia.importer.service.ItineraryActivityService.verifyItinerary(ItineraryActivity itineraryActivity)",13,5,9,2,1
"br.com.trevisantecnologia.importer.context.ImportContext.getStatus()",13,5,3,2,0
"br.com.trevisantecnologia.importer.reflection.ReflectionHelper.getLayoutField(ImportLayout layout, String fieldName)",8,5,6,2,2
"br.com.trevisantecnologia.importer.model.journey.WeeklyWorkday.applyDefaultValues()",15,5,9,1,0
"br.com.trevisantecnologia.importer.util.StringUtils.isOnlyOneDigit(String value)",12,5,2,1,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.CheckerAccessRole.isValid(Agent agent)",11,5,9,1,1
