"namespace","ca","ce","instability","abstractness","distance"
"br.com.trevisantecnologia.importer.model",177,2,0.0111731843575419,0.1506849315068493,0.8381418841356088
"br.com.trevisantecnologia.importer.service",27,18,0.4,0.06779661016949153,0.5322033898305085
"br.com.trevisantecnologia.importer.dao",67,4,0.056338028169014086,0.05555555555555555,0.8881064162754304
"br.com.trevisantecnologia.importer.types",3,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.converter",2,5,0.7142857142857143,0.08333333333333333,0.20238095238095233
"br.com.trevisantecnologia.importer.validator.business.rules.agent",0,10,1.0,0.0,0.0
"br.com.trevisantecnologia.importer.validator",5,2,0.2857142857142857,0.07692307692307693,0.6373626373626373
"br.com.trevisantecnologia.importer.context",24,3,0.1111111111111111,0.09090909090909091,0.797979797979798
"br.com.trevisantecnologia.importer.util",8,3,0.2727272727272727,0.0,0.7272727272727273
"br.com.trevisantecnologia.importer.parser",2,12,0.8571428571428571,0.1111111111111111,0.031746031746031855
"br.com.trevisantecnologia.importer.core",2,10,0.8333333333333334,0.125,0.04166666666666663
"br.com.trevisantecnologia.importer.v3.callback",0,6,1.0,0.0,0.0
"br.com.trevisantecnologia.importer.exception",80,1,0.012345679012345678,0.0,0.9876543209876543
"br.com.trevisantecnologia.importer.v3.message",2,3,0.6,0.16666666666666666,0.2333333333333334
"br.com.trevisantecnologia.importer.v3.entity",3,1,0.25,0.16666666666666666,0.5833333333333334
"br.com.trevisantecnologia.importer.validator.business.builders",5,6,0.5454545454545454,0.0,0.4545454545454546
"br.com.trevisantecnologia.importer.model.journey",7,2,0.2222222222222222,0.0,0.7777777777777778
"br.com.trevisantecnologia.importer.validator.business.rules.servicelocalactivity",1,5,0.8333333333333334,0.0,0.16666666666666663
"br.com.trevisantecnologia.importer.helper",5,3,0.375,0.0,0.625
"br.com.trevisantecnologia.importer.cache",6,1,0.14285714285714285,0.0,0.8571428571428572
"br.com.trevisantecnologia.importer.injection",0,5,1.0,0.0,0.0
"br.com.trevisantecnologia.importer.reflection",4,6,0.6,0.0,0.4
"br.com.trevisantecnologia.importer.persistence",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.validator.business",31,0,0.0,0.6666666666666666,0.33333333333333337
"br.com.trevisantecnologia.importer.v3.configuration.mongodb",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.service.idiom",1,4,0.8,0.0,0.19999999999999996
"br.com.trevisantecnologia.importer.annotation",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.model.schedule.notification",2,1,0.3333333333333333,0.0,0.6666666666666667
"br.com.trevisantecnologia.importer.layout",2,2,0.5,0.0,0.5
"br.com.trevisantecnologia.importer.email",2,1,0.3333333333333333,0.0,0.6666666666666667
"br.com.trevisantecnologia.importer.persistence.type",0,1,1.0,0.0,0.0
"br.com.trevisantecnologia.importer.v3.configuration.serialization",1,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.i18n",9,1,0.1,0.0,0.9
"br.com.trevisantecnologia.importer.service.journey",1,5,0.8333333333333334,0.0,0.16666666666666663
"br.com.trevisantecnologia.importer.model.feature.toggle",3,1,0.25,0.0,0.75
"br.com.trevisantecnologia.importer.dao.journey",2,2,0.5,0.0,0.5
"br.com.trevisantecnologia.importer.dao.function",1,1,0.5,0.5,0.0
"br.com.trevisantecnologia.importer.file",3,1,0.25,0.0,0.75
"br.com.trevisantecnologia.importer",1,2,0.6666666666666666,0.0,0.33333333333333337
"br.com.trevisantecnologia.importer.interceptor",1,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.http",1,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.persistence.dialect",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.validator.business.rules.general",2,4,0.6666666666666666,0.0,0.33333333333333337
"br.com.trevisantecnologia.importer.validator.business.rules.agentteam",1,5,0.8333333333333334,0.0,0.16666666666666663
"br.com.trevisantecnologia.importer.validator.business.rules.utils",5,3,0.375,0.0,0.625
"br.com.trevisantecnologia.importer.v3.configuration.queue",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.v3.notifier",1,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.context.journey",1,1,0.5,0.0,0.5
"br.com.trevisantecnologia.importer.service.schedule.notification",1,6,0.8571428571428571,0.0,0.1428571428571429
"br.com.trevisantecnologia.importer.service.feature.toggle",1,3,0.75,0.0,0.25
"br.com.trevisantecnologia.importer.model.idiom",2,1,0.3333333333333333,0.0,0.6666666666666667
"br.com.trevisantecnologia.importer.model.scheduleimport",3,0,0.0,0.0,1.0
"br.com.trevisantecnologia.importer.dao.schedule.notification",1,3,0.75,0.0,0.25
"br.com.trevisantecnologia.importer.dao.feature.toggle",2,4,0.6666666666666666,0.0,0.33333333333333337
"br.com.trevisantecnologia.importer.dao.idiom",1,4,0.8,0.0,0.19999999999999996
