"namespace","noc","nac"
"br.com.trevisantecnologia.importer.model",73,11
"br.com.trevisantecnologia.importer.service",59,4
"br.com.trevisantecnologia.importer.dao",54,3
"br.com.trevisantecnologia.importer.types",36,0
"br.com.trevisantecnologia.importer.converter",24,2
"br.com.trevisantecnologia.importer.validator.business.rules.agent",15,0
"br.com.trevisantecnologia.importer.validator",13,1
"br.com.trevisantecnologia.importer.context",11,1
"br.com.trevisantecnologia.importer.util",10,0
"br.com.trevisantecnologia.importer.parser",9,1
"br.com.trevisantecnologia.importer.core",8,1
"br.com.trevisantecnologia.importer.v3.callback",7,0
"br.com.trevisantecnologia.importer.exception",7,0
"br.com.trevisantecnologia.importer.v3.message",6,1
"br.com.trevisantecnologia.importer.v3.entity",6,1
"br.com.trevisantecnologia.importer.validator.business.builders",5,0
"br.com.trevisantecnologia.importer.model.journey",5,0
"br.com.trevisantecnologia.importer.validator.business.rules.servicelocalactivity",4,0
"br.com.trevisantecnologia.importer.helper",4,0
"br.com.trevisantecnologia.importer.cache",4,0
"br.com.trevisantecnologia.importer.injection",4,0
"br.com.trevisantecnologia.importer.reflection",3,0
"br.com.trevisantecnologia.importer.persistence",3,0
"br.com.trevisantecnologia.importer.validator.business",3,2
"br.com.trevisantecnologia.importer.v3.configuration.mongodb",3,0
"br.com.trevisantecnologia.importer.service.idiom",3,0
"br.com.trevisantecnologia.importer.annotation",3,0
"br.com.trevisantecnologia.importer.model.schedule.notification",3,0
"br.com.trevisantecnologia.importer.layout",3,0
"br.com.trevisantecnologia.importer.email",2,0
"br.com.trevisantecnologia.importer.persistence.type",2,0
"br.com.trevisantecnologia.importer.v3.configuration.serialization",2,0
"br.com.trevisantecnologia.importer.i18n",2,0
"br.com.trevisantecnologia.importer.service.journey",2,0
"br.com.trevisantecnologia.importer.model.feature.toggle",2,0
"br.com.trevisantecnologia.importer.dao.journey",2,0
"br.com.trevisantecnologia.importer.dao.function",2,1
"br.com.trevisantecnologia.importer.file",2,0
"br.com.trevisantecnologia.importer",1,0
"br.com.trevisantecnologia.importer.interceptor",1,0
"br.com.trevisantecnologia.importer.http",1,0
"br.com.trevisantecnologia.importer.persistence.dialect",1,0
"br.com.trevisantecnologia.importer.validator.business.rules.general",1,0
"br.com.trevisantecnologia.importer.validator.business.rules.agentteam",1,0
"br.com.trevisantecnologia.importer.validator.business.rules.utils",1,0
"br.com.trevisantecnologia.importer.v3.configuration.queue",1,0
"br.com.trevisantecnologia.importer.v3.notifier",1,0
"br.com.trevisantecnologia.importer.context.journey",1,0
"br.com.trevisantecnologia.importer.service.schedule.notification",1,0
"br.com.trevisantecnologia.importer.service.feature.toggle",1,0
"br.com.trevisantecnologia.importer.model.idiom",1,0
"br.com.trevisantecnologia.importer.model.scheduleimport",1,0
"br.com.trevisantecnologia.importer.dao.schedule.notification",1,0
"br.com.trevisantecnologia.importer.dao.feature.toggle",1,0
"br.com.trevisantecnologia.importer.dao.idiom",1,0
