"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.importer.model.Agent",34,1,29,9
"br.com.trevisantecnologia.importer.model.ServiceLocal",23,0,14,4
"br.com.trevisantecnologia.importer.model.Schedule",38,1,11,7
"br.com.trevisantecnologia.importer.model.Item",21,0,6,4
"br.com.trevisantecnologia.importer.model.Itinerary",15,0,8,2
"br.com.trevisantecnologia.importer.service.ScheduleService",29,13,1,18
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService",23,8,11,13
"br.com.trevisantecnologia.importer.model.journey.Workday",11,2,2,5
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder",37,15,2,23
"br.com.trevisantecnologia.importer.model.Client",14,0,9,2
"br.com.trevisantecnologia.importer.context.ImportContext",17,4,14,10
"br.com.trevisantecnologia.importer.model.Section",16,0,5,1
"br.com.trevisantecnologia.importer.service.ServiceLocalService",21,14,2,16
"br.com.trevisantecnologia.importer.service.AgentService",21,10,0,12
"br.com.trevisantecnologia.importer.model.CustomField",21,0,9,3
"br.com.trevisantecnologia.importer.model.ServiceLocalActivity",17,0,7,3
"br.com.trevisantecnologia.importer.model.journey.WeeklyWorkday",17,2,6,5
"br.com.trevisantecnologia.importer.service.AbstractImportService",17,8,27,16
"br.com.trevisantecnologia.importer.dao.AbstractDao",25,3,111,9
"br.com.trevisantecnologia.importer.model.WeekdaysServiceLocalActivity",6,0,2,3
"br.com.trevisantecnologia.importer.model.Team",20,0,8,2
"br.com.trevisantecnologia.importer.model.SystemParameters",16,0,6,3
"br.com.trevisantecnologia.importer.model.SubGroup",16,0,4,3
"br.com.trevisantecnologia.importer.service.ItineraryService",17,8,0,13
"br.com.trevisantecnologia.importer.service.CustomFieldValueService",20,9,0,12
"br.com.trevisantecnologia.importer.model.AditionalInfoItem",16,0,2,1
"br.com.trevisantecnologia.importer.service.ItemService",13,7,0,10
"br.com.trevisantecnologia.importer.model.CustomEntityEntry",18,0,2,1
"br.com.trevisantecnologia.importer.model.ScheduleImport",6,0,8,2
"br.com.trevisantecnologia.importer.model.Group",16,0,3,3
"br.com.trevisantecnologia.importer.model.SectionItem",14,0,3,1
"br.com.trevisantecnologia.importer.parser.FileProcessorV2",15,10,0,14
"br.com.trevisantecnologia.importer.model.Media",11,0,4,1
"br.com.trevisantecnologia.importer.model.AgentTeam",16,0,4,1
"br.com.trevisantecnologia.importer.model.schedule.notification.ScheduleNotification",14,1,2,3
"br.com.trevisantecnologia.importer.model.WeekdaysItinerary",5,0,2,2
"br.com.trevisantecnologia.importer.model.ItineraryServiceLocal",6,0,6,1
"br.com.trevisantecnologia.importer.model.ServiceLocalType",14,0,3,2
"br.com.trevisantecnologia.importer.model.ScheduleActivity",15,0,2,1
"br.com.trevisantecnologia.importer.model.ImportLayoutField",16,0,4,2
"br.com.trevisantecnologia.importer.model.PasswordPolicy",9,0,1,2
"br.com.trevisantecnologia.importer.model.ServiceLocalItem",14,0,2,1
"br.com.trevisantecnologia.importer.model.ScheduleItem",16,0,2,1
"br.com.trevisantecnologia.importer.persistence.type.StringListWrapperType",13,1,0,7
"br.com.trevisantecnologia.importer.persistence.type.ArrayLongToListLongType",12,0,0,6
"br.com.trevisantecnologia.importer.model.ItemCategory",13,0,3,1
"br.com.trevisantecnologia.importer.model.ItinerarySchedule",8,0,2,1
"br.com.trevisantecnologia.importer.model.ImportLayout",14,0,7,1
"br.com.trevisantecnologia.importer.model.Local3Dimension",13,0,3,1
"br.com.trevisantecnologia.importer.model.ServiceLocalClassification",13,0,3,1
"br.com.trevisantecnologia.importer.service.AbstractService",12,7,18,9
"br.com.trevisantecnologia.importer.model.AgentType",13,0,4,1
"br.com.trevisantecnologia.importer.model.AgentActivity",14,0,2,1
"br.com.trevisantecnologia.importer.model.ScheduleTypeActivity",14,0,2,2
"br.com.trevisantecnologia.importer.model.AccessRole",11,0,3,2
"br.com.trevisantecnologia.importer.model.TeamType",14,0,2,1
"br.com.trevisantecnologia.importer.model.CustomFieldValue",11,0,5,1
"br.com.trevisantecnologia.importer.model.ServiceLocalTeam",15,0,2,2
"br.com.trevisantecnologia.importer.model.FieldSetting",12,0,3,1
"br.com.trevisantecnologia.importer.model.SectionSubGroup",13,0,2,1
"br.com.trevisantecnologia.importer.model.ItineraryActivity",13,0,2,1
"br.com.trevisantecnologia.importer.model.LevelX",13,0,3,1
"br.com.trevisantecnologia.importer.model.Level6",13,0,3,1
"br.com.trevisantecnologia.importer.core.ImportTimeoutInspector",10,7,1,10
"br.com.trevisantecnologia.importer.model.CustomEntity",10,0,3,1
"br.com.trevisantecnologia.importer.model.ItineraryAgent",6,0,2,1
"br.com.trevisantecnologia.importer.dao.function.FindActivitiesByOriginFunctionCall",13,1,1,6
"br.com.trevisantecnologia.importer.model.ScheduleType",13,0,5,2
"br.com.trevisantecnologia.importer.service.ScheduleItemService",12,8,0,10
"br.com.trevisantecnologia.importer.dao.AgentDao",8,1,4,5
