"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.importer.model.Agent",911,189,189,202,34,1,29,9,92
"br.com.trevisantecnologia.importer.model.ServiceLocal",720,149,149,154,23,0,14,4,74
"br.com.trevisantecnologia.importer.model.Schedule",603,120,117,149,38,1,11,7,52
"br.com.trevisantecnologia.importer.model.Item",314,58,58,62,21,0,6,4,30
"br.com.trevisantecnologia.importer.model.Itinerary",274,55,55,63,15,0,8,2,28
"br.com.trevisantecnologia.importer.service.ScheduleService",264,24,5,78,29,13,1,18,13
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService",252,31,1,81,23,8,11,13,4
"br.com.trevisantecnologia.importer.model.journey.Workday",228,36,34,52,11,2,2,5,12
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder",214,17,3,42,37,15,2,23,7
"br.com.trevisantecnologia.importer.model.Client",208,46,46,50,14,0,9,2,21
"br.com.trevisantecnologia.importer.context.ImportContext",208,45,44,59,17,4,14,10,16
"br.com.trevisantecnologia.importer.model.Section",192,38,38,38,16,0,5,1,20
"br.com.trevisantecnologia.importer.service.ServiceLocalService",188,25,5,41,21,14,2,16,16
"br.com.trevisantecnologia.importer.service.AgentService",180,19,4,45,21,10,0,12,8
"br.com.trevisantecnologia.importer.model.CustomField",177,36,36,41,21,0,9,3,17
"br.com.trevisantecnologia.importer.model.ServiceLocalActivity",175,34,34,37,17,0,7,3,14
"br.com.trevisantecnologia.importer.model.journey.WeeklyWorkday",164,28,28,39,17,2,6,5,11
"br.com.trevisantecnologia.importer.service.AbstractImportService",158,23,9,45,17,8,27,16,2
"br.com.trevisantecnologia.importer.dao.AbstractDao",148,27,16,36,25,3,111,9,3
"br.com.trevisantecnologia.importer.model.WeekdaysServiceLocalActivity",145,18,17,43,6,0,2,3,7
"br.com.trevisantecnologia.importer.model.Team",140,22,22,22,20,0,8,2,12
"br.com.trevisantecnologia.importer.model.SystemParameters",138,24,23,28,16,0,6,3,13
"br.com.trevisantecnologia.importer.model.SubGroup",134,22,22,22,16,0,4,3,12
"br.com.trevisantecnologia.importer.service.ItineraryService",132,18,4,38,17,8,0,13,4
"br.com.trevisantecnologia.importer.service.CustomFieldValueService",129,12,4,37,20,9,0,12,7
"br.com.trevisantecnologia.importer.model.AditionalInfoItem",127,21,21,24,16,0,2,1,9
"br.com.trevisantecnologia.importer.service.ItemService",120,14,4,35,13,7,0,10,7
"br.com.trevisantecnologia.importer.model.CustomEntityEntry",118,18,18,18,18,0,2,1,10
