"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.jaiminho.domain.model.Notification",255,55,44,76,5,1,38,3,13
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.MessageRequest",162,38,35,51,4,1,22,5,8
"me.umov.jaiminho.infrastructure.dao.entity.Task",140,28,28,33,9,0,20,2,12
"me.umov.jaiminho.infrastructure.dao.document.PlataformEvent",131,29,26,45,3,0,7,2,4
"me.umov.jaiminho.domain.model.ConfigurationTest",128,20,20,20,12,0,0,1,1
"me.umov.jaiminho.domain.model.NotificationTest",128,13,13,13,11,1,0,4,8
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service.XStreamServiceTest",119,12,12,12,14,3,0,4,1
"me.umov.jaiminho.domain.model.Message",116,28,22,32,2,0,32,2,7
"me.umov.jaiminho.application.sqs.service.DataStreamService",110,8,2,22,15,7,2,10,8
"me.umov.jaiminho.infrastructure.dao.document.Content",109,27,24,34,2,0,1,2,9
"me.umov.jaiminho.infrastructure.http.HttpServiceTest",109,7,7,7,22,2,0,2,5
"me.umov.jaiminho.infrastructure.dao.entity.ActionRule",106,23,23,25,8,1,12,2,9
"me.umov.jaiminho.domain.model.Request",106,17,11,28,5,2,3,4,7
"me.umov.jaiminho.application.sqs.service.DataStreamServiceTest",103,7,6,8,19,6,0,7,6
"me.umov.jaiminho.infrastructure.http.HttpService",100,10,3,17,19,4,2,8,5
"me.umov.jaiminho.anticorruption.aws.SQSMessageToNotificationConverter",100,8,1,11,28,19,0,23,6
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementEntityTest",99,7,7,7,13,3,0,3,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.Recipients",94,17,11,29,3,0,9,2,2
"me.umov.jaiminho.anticorruption.aws.SQSMessageToNotificationConverterTest",92,5,4,5,25,12,0,13,10
"me.umov.jaiminho.domain.validators.rules.EmailFormatRuleValidationTest",88,13,13,13,8,2,0,2,2
"me.umov.jaiminho.infrastructure.dao.LogDaoTest",85,6,6,6,22,7,0,7,7
"me.umov.jaiminho.domain.event.trigger.SendExecuted",84,18,16,21,5,1,19,5,2
"me.umov.jaiminho.application.dto.EventMessage",83,21,19,26,4,1,22,4,4
"me.umov.jaiminho.infrastructure.dao.entity.ServiceLocal",82,16,16,19,4,0,4,3,8
"me.umov.jaiminho.infrastructure.dao.entity.History",81,18,18,21,3,0,12,2,7
"me.umov.jaiminho.infrastructure.dao.entity.Agent",81,16,16,19,4,0,4,3,8
"me.umov.jaiminho.domain.model.Configuration",80,16,13,25,2,0,21,1,7
"me.umov.jaiminho.application.sqs.service.WorkerTest",80,5,5,5,20,9,0,9,9
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.SolveAttributeServiceTest",79,3,3,3,18,8,0,8,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementCustomFieldTest",78,6,6,6,13,4,0,4,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.ServiceLocalMapperTest",77,5,5,5,20,12,0,12,3
"me.umov.jaiminho.domain.model.Attempts",74,14,13,19,4,0,16,4,4
"me.umov.jaiminho.domain.model.ResponseNotification",71,12,7,17,4,0,24,1,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.FactoryAttributeMapperTest",71,8,8,8,10,4,0,4,4
"me.umov.jaiminho.application.observer.UpdateHistoryTest",71,6,6,6,23,7,0,7,7
"me.umov.jaiminho.anticorruption.aws.DataStreamToNotificationConverterTest",71,2,2,2,17,6,0,7,6
"me.umov.jaiminho.infrastructure.dao.LogDao",70,5,2,11,16,9,2,10,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.CallbackTranslatorMessageTest",70,3,3,3,28,13,0,16,8
"me.umov.jaiminho.infrastructure.dao.entity.Rule",68,14,14,15,6,0,32,1,6
"me.umov.jaiminho.domain.model.AttemptsTest",68,9,9,9,5,0,0,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementAgentLinkTest",67,4,4,4,21,10,0,10,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementReportLinkTest",67,4,4,4,21,10,0,10,3
"me.umov.jaiminho.domain.event.trigger.SendExecutedTest",66,8,8,8,9,1,0,1,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.Attribute",65,18,17,19,0,0,34,2,6
"me.umov.jaiminho.application.event.WorkerExecutedWithError",64,12,12,13,6,3,4,6,4
"me.umov.jaiminho.application.observer.ReprocessNotificationSQSTest",64,6,6,6,18,6,0,6,5
"me.umov.jaiminho.infrastructure.dao.entity.RuleLog",63,12,12,12,8,1,3,1,6
"me.umov.jaiminho.domain.JaiminhoBuilderTest",63,5,5,5,15,4,0,4,8
"me.umov.jaiminho.domain.SenderTest",63,4,4,4,17,4,0,4,5
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementEntity",63,4,1,16,9,1,0,7,5
"me.umov.jaiminho.application.sqs.AWSConsumerTest",62,7,6,5,13,2,0,3,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.HistoryMapperTest",62,5,5,5,16,7,0,8,2
"me.umov.jaiminho.application.sqs.service.Worker",62,3,1,5,17,11,2,14,5
"me.umov.jaiminho.application.controller.ReprocessController",61,6,1,9,16,8,0,11,2
"me.umov.jaiminho.infrastructure.producer.aws.ProducerServiceTest",61,4,4,4,13,0,0,0,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.HttpCredentials",60,11,10,16,7,2,4,4,4
"me.umov.jaiminho.application.observer.CleanNotificationDocumentTest",60,6,6,6,16,3,0,3,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.SolveAttributeService",60,6,1,12,11,5,2,6,3
"me.umov.jaiminho.infrastructure.configuration.AmazonSQSConfiguration",59,7,4,7,15,0,0,1,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.AttributeConverter",58,12,3,16,6,1,1,5,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.AgentMapperTest",57,5,5,5,16,9,0,10,2
"me.umov.jaiminho.infrastructure.business.BusinessAdapter",57,5,1,5,13,2,0,6,7
