"method","loc","cyclo","calls","nbd","param"
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.MessageRequestConverter.unmarshal(HierarchicalStreamReader stream, UnmarshallingContext context)",41,9,32,2,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementEntity.replace(Object object, String root, String text)",25,8,13,6,3
"me.umov.jaiminho.application.sqs.service.DataStreamService.checkForErrors(Notification notification, GroupResponse errors)",19,7,13,3,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.FactoryAttributeMapper.get(Attribute attribute, Rule rule)",16,6,10,2,2
"me.umov.jaiminho.domain.model.Request.method()",20,6,5,1,0
"me.umov.jaiminho.domain.model.ResponseNotification.builsState(Integer code)",12,6,0,1,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementEntity.getValue(Object objectValue)",8,5,5,6,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementCustomField.replace(UsesCustomField usesCustomField, String root, String value)",13,5,9,3,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementCustomField.setValue(String root, String value, String alternativeIdentifier, List<CustomFieldValue> customFieldValues)",11,5,8,3,4
"me.umov.jaiminho.domain.model.Configuration.mustNotify(Attempts attempts)",8,5,5,2,1
"me.umov.jaiminho.domain.event.DomainEventRegistry.publish(T event)",8,5,4,2,1
"me.umov.jaiminho.application.event.ApplicationEventRegistry.publish(T event)",7,5,3,2,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.Recipients.splitEmails(List<Attribute> to)",16,4,7,3,1
"me.umov.jaiminho.infrastructure.dao.LogDao.generateDataStreamLog(NotificationSent event)",12,4,12,3,1
"me.umov.jaiminho.infrastructure.dao.LogDao.generateRuleLog(Log event)",11,4,5,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.Recipients.buildListMail(List<Attribute> mailList)",8,4,5,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.CallbackParameterConverter.unmarshal(HierarchicalStreamReader stream, UnmarshallingContext context)",18,4,12,2,2
"me.umov.jaiminho.domain.model.Configuration.mustTryAgain(Attempts attempts)",7,4,3,2,1
"me.umov.jaiminho.domain.Sender.verify(DomainEventRegistry eventRegistry, NotificationRepository notificationRepository, Deliverable command)",3,4,0,2,3
"me.umov.jaiminho.domain.JaiminhoBuilder.get(Notification notification)",16,4,1,1,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.MessageRequest.buildMailToJaiminho(List<Attribute> mailList)",8,4,5,1,1
"me.umov.jaiminho.infrastructure.dao.document.Recipients.addTo(String url)",8,4,2,1,1
"me.umov.jaiminho.infrastructure.producer.aws.ProducerAWSBuilder.get(SendMessage message)",12,4,10,0,1
"me.umov.jaiminho.infrastructure.dao.entity.Agent.getPhoneToSMS()",12,4,6,0,0
"me.umov.jaiminho.infrastructure.dao.entity.ServiceLocal.getPhoneToSMS()",12,4,6,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.HistoryMapper.verify(List<HistoryItem> historyItens, Attribute attirbute, Rule rule)",7,4,12,0,3
"me.umov.jaiminho.anticorruption.aws.DataStreamToNotificationConverter.verifyIntegrity(PlataformEvent event)",4,4,3,0,1
"me.umov.jaiminho.application.sqs.service.DataStreamService.processByEventId(EventMessage eventMessage)",23,3,20,3,1
"me.umov.jaiminho.application.sqs.service.DataStreamService.process(EventMessage eventMessage, GroupResponse groupResponse, List<PlataformEvent> events)",12,3,7,3,3
"me.umov.jaiminho.application.sqs.service.DataStreamService.getEventsByMessage(EventMessage eventMessage)",5,3,5,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.Recipients.getFirstTo()",4,3,3,3,0
"me.umov.jaiminho.domain.model.Notification.notPerformed()",9,3,3,2,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.SolveAttributeService.deletesNullValuedAttribute(List<Attribute> attributes)",8,3,3,2,1
"me.umov.jaiminho.domain.model.Notification.delayTimeOutInMinute()",8,3,2,2,0
"me.umov.jaiminho.infrastructure.dao.document.PlataformEvent.getTo()",7,3,2,2,0
"me.umov.jaiminho.infrastructure.dao.document.PlataformEvent.getCC()",6,3,2,2,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.SolveAttributeService.solve(Attribute attribute, Rule rule)",5,3,3,2,2
"me.umov.jaiminho.domain.event.DomainEventRegistry.verify(T event)",5,3,2,2,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.GeneralSettingsConverter.setGeneralSettings(HierarchicalStreamReader stream, UnmarshallingContext context, GeneralSettings generalSettings)",10,3,8,1,3
"me.umov.jaiminho.application.observer.NotificationExecutedSQS.process(DataStreamWasProcessed event)",9,3,13,1,1
"me.umov.jaiminho.domain.model.Attempts.equals(Object obj)",9,3,6,1,1
"me.umov.jaiminho.domain.model.Request.setMediaType(Notification notification)",9,3,6,1,1
"me.umov.jaiminho.infrastructure.http.HttpService.buildBody(IRequest request, HttpHeaders headers)",8,3,4,1,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.HttpCredentials.HttpCredentials(ICredentials credentials)",6,3,4,1,1
"me.umov.jaiminho.domain.model.Attempts.hasAttempts()",6,3,1,1,0
"me.umov.jaiminho.application.observer.CleanNotificationDocument.process(NotificationSent event)",5,3,5,1,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementTask.replaceEntity(Task task, Attribute attribute)",5,3,4,1,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.HttpCredentials.buildHash(ICredentials iCredentials)",5,3,3,1,1
"me.umov.jaiminho.infrastructure.dao.document.Recipients.getCC()",5,3,2,1,0
"me.umov.jaiminho.infrastructure.dao.document.Recipients.getTo()",5,3,2,1,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.MessageRequest.isHtmlBody()",5,3,1,1,0
"me.umov.jaiminho.infrastructure.email.MailAdapter.validateAfterBlacklist(String[] to)",4,3,2,1,1
"me.umov.jaiminho.application.controller.ReprocessController.verifyEntityDTO(EntityDTO entityDTO)",4,3,1,1,1
"me.umov.jaiminho.infrastructure.http.HttpService.addBasicAuthHeader(HttpHeaders headers, ICredentials credentials, IRequest request)",3,3,3,1,3
"me.umov.jaiminho.infrastructure.http.HttpService.addMFAHeaders(HttpHeaders headers, ICredentials credentials)",3,3,3,1,2
"me.umov.jaiminho.domain.validators.MessageRequestValidator.verify(String to, String message)",3,3,1,1,2
"me.umov.jaiminho.anticorruption.aws.AWSFactory.get(EventMessage eventMessage)",9,3,4,0,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.EntityMapper.findTaskBy(Rule rule)",8,3,8,0,1
"me.umov.jaiminho.anticorruption.aws.DataStreamToNotificationConverter.buildHash(PlataformEvent event)",8,3,6,0,1
"me.umov.jaiminho.infrastructure.dao.document.Content.getTo()",8,3,4,0,0
"me.umov.jaiminho.domain.model.Identity.equals(Object object)",6,3,7,0,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.EntityMapper.getCustomFieldValue(Attribute attribute, Task task)",6,3,4,0,2
"me.umov.jaiminho.infrastructure.producer.aws.SendMessage.getDelayTimeout()",5,3,2,0,0
"me.umov.jaiminho.infrastructure.dao.entity.ActionRule.getDateFirstProcessed()",5,3,1,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.AttributeConverter.writeisInternalValue(HierarchicalStreamReader stream, Attribute entity)",4,3,3,0,2
"me.umov.jaiminho.domain.validators.rules.SubjectRuleValidation.validate(Message messageRequest)",4,3,2,0,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementEntity.replaceCustomField(String text, Object objectValue, String entity)",4,2,1,6,3
