"namespace","ca","ce","instability","abstractness","distance"
"me.umov.jaiminho.domain.model",68,1,0.014492753623188406,0.0,0.9855072463768116
"me.umov.jaiminho.infrastructure.dao",28,8,0.2222222222222222,0.5789473684210527,0.19883040935672514
"me.umov.jaiminho.fixture",19,5,0.20833333333333334,0.0,0.7916666666666666
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping",3,5,0.625,0.1875,0.1875
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace",2,5,0.7142857142857143,0.125,0.1607142857142857
"me.umov.jaiminho.infrastructure.dao.entity",74,1,0.013333333333333334,0.06666666666666667,0.92
"me.umov.jaiminho.domain.ports",43,1,0.022727272727272728,1.0,0.022727272727272707
"me.umov.jaiminho.domain",3,6,0.6666666666666666,0.09090909090909091,0.24242424242424243
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model",43,3,0.06521739130434782,0.1,0.8347826086956522
"me.umov.jaiminho.domain.event.trigger",16,2,0.1111111111111111,0.5,0.38888888888888884
"me.umov.jaiminho.domain.validators.rules",4,3,0.42857142857142855,0.0,0.5714285714285714
"me.umov.jaiminho.infrastructure.dao.document",10,0,0.0,0.0,1.0
"me.umov.jaiminho.infrastructure.email",0,4,1.0,0.1111111111111111,0.11111111111111116
"me.umov.jaiminho.application.observer",1,8,0.8888888888888888,0.0,0.11111111111111116
"me.umov.jaiminho.infrastructure.producer.aws",3,3,0.5,0.125,0.375
"me.umov.jaiminho.infrastructure.configuration",0,0,0.0,0.0,1.0
"me.umov.jaiminho.domain.validators",10,3,0.23076923076923078,0.42857142857142855,0.34065934065934067
"me.umov.jaiminho.application.dto",19,2,0.09523809523809523,0.0,0.9047619047619048
"me.umov.jaiminho.architecture",0,4,1.0,0.0,0.0
"me.umov.jaiminho.anticorruption.aws",0,12,1.0,0.0,0.0
"me.umov.jaiminho.application.sqs.service",3,10,0.7692307692307693,0.0,0.23076923076923073
"me.umov.jaiminho.infrastructure.business",1,2,0.6666666666666666,0.0,0.33333333333333337
"me.umov.jaiminho.application.sqs",7,3,0.3,0.4,0.30000000000000004
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters",2,1,0.3333333333333333,0.2,0.4666666666666667
"me.umov.jaiminho.anticorruption.xstreamadapter.core",2,10,0.8333333333333334,0.0,0.16666666666666663
"me.umov.jaiminho.anticorruption.xstreamadapter.facade",5,4,0.4444444444444444,0.5,0.05555555555555558
"me.umov.jaiminho.application.event",12,4,0.25,0.0,0.75
"me.umov.jaiminho.infrastructure.configuration.mongo",0,0,0.0,0.0,1.0
"me.umov.jaiminho.domain.exception",19,1,0.05,0.0,0.95
"me.umov.jaiminho.application.controller",0,8,1.0,0.0,0.0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service",7,2,0.2222222222222222,0.0,0.7777777777777778
"me.umov.jaiminho.infrastructure.http",2,2,0.5,0.0,0.5
"me.umov.jaiminho.infrastructure.sms",0,7,1.0,0.0,0.0
"me.umov.jaiminho.domain.event",4,4,0.5,0.0,0.5
"me.umov.jaiminho.infrastructure.http.authentication.factor",2,2,0.5,0.5,0.0
"me.umov.jaiminho.infrastructure.http.authentication",1,4,0.8,0.0,0.19999999999999996
"me.umov.jaiminho.infrastructure.producer",6,2,0.25,1.0,0.25
"me.umov.jaiminho.infrastructure.gson",2,0,0.0,0.0,1.0
"me.umov.jaiminho.infrastructure.util",2,0,0.0,0.0,1.0
"me.umov.jaiminho.infrastructure.http.authentication.exception",1,0,0.0,0.0,1.0
"me.umov.jaiminho.infrastructure.dao.sentinel",2,1,0.3333333333333333,1.0,0.33333333333333326
"me.umov.jaiminho.infrastructure.dao.notification",4,1,0.2,1.0,0.19999999999999996
"me.umov.jaiminho.infrastructure.dao.dto",8,1,0.1111111111111111,0.0,0.8888888888888888
"me.umov.jaiminho",0,0,0.0,0.0,1.0
