"namespace","noc","nac"
"me.umov.jaiminho.domain.model",27,0
"me.umov.jaiminho.infrastructure.dao",19,11
"me.umov.jaiminho.fixture",18,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping",16,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace",16,2
"me.umov.jaiminho.infrastructure.dao.entity",15,1
"me.umov.jaiminho.domain.ports",12,12
"me.umov.jaiminho.domain",11,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model",10,1
"me.umov.jaiminho.domain.event.trigger",10,5
"me.umov.jaiminho.domain.validators.rules",10,0
"me.umov.jaiminho.infrastructure.dao.document",10,0
"me.umov.jaiminho.infrastructure.email",9,1
"me.umov.jaiminho.application.observer",9,0
"me.umov.jaiminho.infrastructure.producer.aws",8,1
"me.umov.jaiminho.infrastructure.configuration",7,0
"me.umov.jaiminho.domain.validators",7,3
"me.umov.jaiminho.application.dto",7,0
"me.umov.jaiminho.architecture",6,0
"me.umov.jaiminho.anticorruption.aws",6,0
"me.umov.jaiminho.application.sqs.service",6,0
"me.umov.jaiminho.infrastructure.business",5,0
"me.umov.jaiminho.application.sqs",5,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters",5,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core",4,0
"me.umov.jaiminho.anticorruption.xstreamadapter.facade",4,2
"me.umov.jaiminho.application.event",4,0
"me.umov.jaiminho.infrastructure.configuration.mongo",4,0
"me.umov.jaiminho.domain.exception",4,0
"me.umov.jaiminho.application.controller",4,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service",3,0
"me.umov.jaiminho.infrastructure.http",2,0
"me.umov.jaiminho.infrastructure.sms",2,0
"me.umov.jaiminho.domain.event",2,0
"me.umov.jaiminho.infrastructure.http.authentication.factor",2,1
"me.umov.jaiminho.infrastructure.http.authentication",2,0
"me.umov.jaiminho.infrastructure.producer",2,2
"me.umov.jaiminho.infrastructure.gson",1,0
"me.umov.jaiminho.infrastructure.util",1,0
"me.umov.jaiminho.infrastructure.http.authentication.exception",1,0
"me.umov.jaiminho.infrastructure.dao.sentinel",1,1
"me.umov.jaiminho.infrastructure.dao.notification",1,1
"me.umov.jaiminho.infrastructure.dao.dto",1,0
"me.umov.jaiminho",1,0
