"type","dep","i-dep","fan-in","fan-out"
"me.umov.jaiminho.domain.model.Notification",5,1,38,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.MessageRequest",4,1,22,5
"me.umov.jaiminho.infrastructure.dao.entity.Task",9,0,20,2
"me.umov.jaiminho.infrastructure.dao.document.PlataformEvent",3,0,7,2
"me.umov.jaiminho.domain.model.ConfigurationTest",12,0,0,1
"me.umov.jaiminho.domain.model.NotificationTest",11,1,0,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service.XStreamServiceTest",14,3,0,4
"me.umov.jaiminho.domain.model.Message",2,0,32,2
"me.umov.jaiminho.application.sqs.service.DataStreamService",15,7,2,10
"me.umov.jaiminho.infrastructure.dao.document.Content",2,0,1,2
"me.umov.jaiminho.infrastructure.http.HttpServiceTest",22,2,0,2
"me.umov.jaiminho.infrastructure.dao.entity.ActionRule",8,1,12,2
"me.umov.jaiminho.domain.model.Request",5,2,3,4
"me.umov.jaiminho.application.sqs.service.DataStreamServiceTest",19,6,0,7
"me.umov.jaiminho.infrastructure.http.HttpService",19,4,2,8
"me.umov.jaiminho.anticorruption.aws.SQSMessageToNotificationConverter",28,19,0,23
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementEntityTest",13,3,0,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.Recipients",3,0,9,2
"me.umov.jaiminho.anticorruption.aws.SQSMessageToNotificationConverterTest",25,12,0,13
"me.umov.jaiminho.domain.validators.rules.EmailFormatRuleValidationTest",8,2,0,2
"me.umov.jaiminho.infrastructure.dao.LogDaoTest",22,7,0,7
"me.umov.jaiminho.domain.event.trigger.SendExecuted",5,1,19,5
"me.umov.jaiminho.application.dto.EventMessage",4,1,22,4
"me.umov.jaiminho.infrastructure.dao.entity.ServiceLocal",4,0,4,3
"me.umov.jaiminho.infrastructure.dao.entity.History",3,0,12,2
"me.umov.jaiminho.infrastructure.dao.entity.Agent",4,0,4,3
"me.umov.jaiminho.domain.model.Configuration",2,0,21,1
"me.umov.jaiminho.application.sqs.service.WorkerTest",20,9,0,9
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.SolveAttributeServiceTest",18,8,0,8
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementCustomFieldTest",13,4,0,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.ServiceLocalMapperTest",20,12,0,12
"me.umov.jaiminho.domain.model.Attempts",4,0,16,4
