"method","loc","cyclo","calls","nbd","param"
"me.umov.refill.builder.widget.AbstractChartDataBuilder.identifyFilterPeriod(OnlineFilterType initalDateFilter, OnlineFilterType finalDateFilter)",34,9,27,3,2
"me.umov.refill.serialization.GraphicDataRowSerializer.buildJsonValueElement(Object value)",19,7,2,2,1
"me.umov.refill.builder.widget.AbstractCardDataBuilder.postBuild(Graphic graphic)",38,7,27,1,1
"me.umov.refill.persistence.RouteResultTransformer.transformList(List list)",26,6,7,2,1
"me.umov.refill.template.SoyDataBuilder.fromInstance(Object instance, int deep)",24,6,12,2,2
"me.umov.refill.builder.widget.AbstractChartDataBuilder.applyDefaultDateFilter()",15,5,10,3,0
"me.umov.refill.model.Graphic.defineOrderByWhenGraphicTable()",10,5,5,3,0
"me.umov.refill.template.SoyDataBuilder.fromValue(Object value, int deep)",17,5,10,2,2
"me.umov.refill.util.Miscellaneous.getRandomString(final int length)",22,5,8,1,1
"me.umov.refill.builder.widget.customtable.ActivityCustomColumn.getColumnData(CustomColumns customColumns, Long clientId)",14,4,8,3,2
"me.umov.refill.builder.widget.customtable.EntitiesCustomColumn.customColumnData(List<Field> customFields, Long clientId)",14,4,8,3,2
"me.umov.refill.model.Graphic.translateOnlineFiltersToGraphicFilters(Boolean isOnlineGraphic)",7,4,3,3,1
"me.umov.refill.geo.CabralGeoProcessor.calculatePathAndDuration(Long clientId, List<Marker> markers, RouteTransportMode transportMode, boolean addPath)",24,4,14,2,4
"me.umov.refill.builder.map.AgentTrackingMapDataBuilder.processPostBuild(Graphic graphic)",13,4,5,2,1
"me.umov.refill.dao.AbstractDao.getFieldType(Object value)",11,4,4,2,1
"me.umov.refill.persistence.PersistenceHelper.buildMarkerInfoList(Map<String,String> map)",10,4,11,2,1
"me.umov.refill.builder.map.AbstractMapDataBuilder.mergeFilterValues(List<OnlineFilter> filters, List<OnlineFilter> filterValues)",9,4,5,2,2
"me.umov.refill.builder.map.AbstractMapDataBuilder.getOnlineFilter(List<OnlineFilter> filters, String name)",8,4,3,2,2
"me.umov.refill.model.map.Marker.getMarkerInfo(MarkerInfoKey key)",8,4,2,2,1
"me.umov.refill.builder.chart.ChartDataBuilder.buildContextData(Graphic graphic)",7,4,7,2,1
"me.umov.refill.service.GraphicCacheService.buildCacheData(GraphicCache cache, String token)",35,4,18,1,2
"me.umov.refill.builder.map.TrackingMapDataBuilder.setIcon(Graphic graphic, Marker marker)",15,4,17,1,2
"me.umov.refill.service.GraphicCacheService.handleError(GraphicCache cache, String token, Exception e)",14,4,11,1,3
"me.umov.refill.service.GraphicCacheService.getGraphic(GraphicCache cache)",13,4,2,1,1
"me.umov.refill.model.TableColumnData.equals(Object o)",12,4,8,1,1
"me.umov.refill.model.column.CustomColumns.equals(Object o)",11,4,10,1,1
"me.umov.refill.serialization.SerializerTest.assertValidDataRowFromJson(JsonObject dataObject, GraphicDataRow row)",10,4,15,1,2
"me.umov.refill.serialization.NotEmptyListAdapter.serialize(List<?> list, Type type, JsonSerializationContext context)",10,4,3,1,3
"me.umov.refill.builder.map.DeliveryTrackingMapDataBuilder.getIconType(ScheduleSituation situation)",9,4,0,1,1
"me.umov.refill.builder.widget.CustomHistoryCardDataBuilder.roundValue(Graphic graphic)",7,4,15,1,1
"me.umov.refill.builder.widget.CustomHistoryCardDataBuilder.validateCustomColumns(Graphic graphic)",5,4,7,1,1
"me.umov.refill.types.handler.TimeRangeTypeHandler.getValue(OnlineFilter onlineFilter)",12,4,12,0,1
"me.umov.refill.builder.DataBuilderFactory.buildFor(Graphic graphic, GraphicCache cache)",9,4,7,0,2
"me.umov.refill.model.column.Field.equals(Object o)",9,4,5,0,1
"me.umov.refill.model.activity.ActivityField.equals(Object o)",8,4,5,0,1
"me.umov.refill.model.activity.ActivityFieldSoyDTO.equals(Object o)",7,4,4,0,1
"me.umov.refill.builder.widget.AbstractChartDataBuilder.applyFilter(OnlineFilterType filterType, List<OnlineFilter> filters)",14,3,8,3,2
"me.umov.refill.model.Graphic.getOnlineFilter(OnlineFilterType type)",6,3,3,3,1
"me.umov.refill.model.Graphic.addMarker(Marker... markers)",6,3,1,3,1
"me.umov.refill.service.GraphicDataService.groupByContext(List<GraphicDataRow> rows)",16,3,4,2,1
"me.umov.refill.builder.widget.CustomTableDataBuilder.extractDataFromJson(Graphic graphic, String column, String prefix, String fieldName)",10,3,9,2,4
"me.umov.refill.model.column.Entity.filterDistinctFields(List<Field> fields)",10,3,8,2,1
"me.umov.refill.core.ShutdownSigner.readyToStop()",8,3,5,2,0
"me.umov.refill.persistence.GraphicDataRowResultTransformer.transformTuple(Object[] tuple, String[] aliases)",18,3,3,1,2
