"namespace","ca","ce","instability","abstractness","distance"
"me.umov.refill.builder.widget",0,8,1.0,0.058823529411764705,0.05882352941176472
"me.umov.refill.types",0,0,0.0,0.0,1.0
"me.umov.refill.model",161,4,0.024242424242424242,0.047619047619047616,0.9281385281385282
"me.umov.refill.fixture",44,5,0.10204081632653061,0.0,0.8979591836734694
"me.umov.refill.dao",17,7,0.2916666666666667,0.2,0.5083333333333333
"me.umov.refill.service",21,10,0.3225806451612903,0.05263157894736842,0.6247877758913413
"me.umov.refill.persistence",4,2,0.3333333333333333,0.0,0.6666666666666667
"me.umov.refill.core",5,6,0.5454545454545454,0.06666666666666667,0.38787878787878793
"me.umov.refill.types.handler",0,2,1.0,0.08333333333333333,0.08333333333333326
"me.umov.refill.injection",4,3,0.42857142857142855,0.0,0.5714285714285714
"me.umov.refill.util",5,1,0.16666666666666666,0.0,0.8333333333333334
"me.umov.refill.builder.map",1,7,0.875,0.2222222222222222,0.09722222222222232
"me.umov.refill.builder.widget.customtable",3,6,0.6666666666666666,0.125,0.20833333333333337
"me.umov.refill.model.column",20,1,0.047619047619047616,0.0,0.9523809523809523
"me.umov.refill.validator",2,2,0.5,0.14285714285714285,0.3571428571428572
"me.umov.refill.template",8,5,0.38461538461538464,0.0,0.6153846153846154
"me.umov.refill.geo",3,1,0.25,0.2,0.55
"me.umov.refill.serialization",12,3,0.2,0.0,0.8
"me.umov.refill.model.map",37,3,0.075,0.0,0.925
"me.umov.refill.builder",6,4,0.4,0.3333333333333333,0.2666666666666666
"me.umov.refill.model.customfield",8,2,0.2,0.0,0.8
"me.umov.refill.interceptor",1,2,0.6666666666666666,0.0,0.33333333333333337
"me.umov.refill.reflection",0,1,1.0,0.0,0.0
"me.umov.refill.builder.chart",1,5,0.8333333333333334,0.0,0.16666666666666663
"me.umov.refill.model.builder",1,2,0.6666666666666666,0.0,0.33333333333333337
"me.umov.refill",0,2,1.0,0.0,0.0
"me.umov.refill.model.activity",7,1,0.125,0.0,0.875
"me.umov.refill.annotation",0,0,0.0,0.0,1.0
