"namespace","noc","nac"
"me.umov.refill.builder.widget",85,5
"me.umov.refill.types",24,0
"me.umov.refill.model",21,1
"me.umov.refill.fixture",20,0
"me.umov.refill.dao",20,4
"me.umov.refill.service",19,1
"me.umov.refill.persistence",18,0
"me.umov.refill.core",15,1
"me.umov.refill.types.handler",12,1
"me.umov.refill.injection",11,0
"me.umov.refill.util",9,0
"me.umov.refill.builder.map",9,2
"me.umov.refill.builder.widget.customtable",8,1
"me.umov.refill.model.column",8,0
"me.umov.refill.validator",7,1
"me.umov.refill.template",6,0
"me.umov.refill.geo",5,1
"me.umov.refill.serialization",5,0
"me.umov.refill.model.map",5,0
"me.umov.refill.builder",3,1
"me.umov.refill.model.customfield",3,0
"me.umov.refill.interceptor",2,0
"me.umov.refill.reflection",2,0
"me.umov.refill.builder.chart",2,0
"me.umov.refill.model.builder",2,0
"me.umov.refill",2,0
"me.umov.refill.model.activity",2,0
"me.umov.refill.annotation",1,0
