"type","dep","i-dep","fan-in","fan-out"
"me.umov.refill.model.Graphic",11,3,87,8
"me.umov.refill.fixture.GraphicFixture",13,3,25,5
"me.umov.refill.model.column.CustomColumnsTest",14,2,0,2
"me.umov.refill.model.map.Marker",14,2,26,9
"me.umov.refill.template.TemplateServiceTest",20,5,0,7
"me.umov.refill.model.GraphicCache",10,1,49,4
"me.umov.refill.builder.widget.AbstractChartDataBuilderTest",38,10,0,11
"me.umov.refill.template.SoyDataBuilderTest",20,2,0,4
"me.umov.refill.service.GraphicCacheServiceTest",26,8,0,8
"me.umov.refill.serialization.SerializerTest",26,11,0,13
"me.umov.refill.builder.widget.customtable.EntitiesCustomColumnTest",19,10,0,10
"me.umov.refill.builder.widget.AbstractChartDataBuilder",27,7,23,11
"me.umov.refill.model.column.CustomColumns",4,0,20,2
"me.umov.refill.dao.AbstractDaoTest",16,1,0,3
"me.umov.refill.service.GraphicDataServiceTest",29,12,0,12
"me.umov.refill.model.TableColumnData",5,0,41,1
"me.umov.refill.builder.widget.CustomTableDataBuilderTest",22,8,0,10
"me.umov.refill.model.GraphicFilter",8,0,4,3
"me.umov.refill.dao.AbstractDao",21,2,7,9
"me.umov.refill.dao.AbstractDaoMock",25,1,6,4
"me.umov.refill.builder.widget.customtable.ActivityCustomColumnTest",19,10,0,11
"me.umov.refill.builder.map.AbstractMapDataBuilderTest",27,14,0,14
"me.umov.refill.service.GraphicCacheService",15,7,6,10
"me.umov.refill.builder.chart.ChartDataBuilderTest",30,6,0,7
"me.umov.refill.core.GraphicUpdateWorkerTest",20,9,0,11
"me.umov.refill.builder.widget.CustomHistoryCardDataBuilderTest",17,7,0,7
"me.umov.refill.model.GraphicCacheTest",4,1,0,1
"me.umov.refill.dao.GraphicCacheDao",23,2,2,6
"me.umov.refill.builder.map.DeliveryTrackingMapDataBuilder",20,4,1,6
"me.umov.refill.fixture.GraphicCacheFixture",7,2,14,3
"me.umov.refill.builder.map.TrackingMapDataBuilderTest",19,7,0,7
"me.umov.refill.builder.widget.CustomTableDataBuilder",19,7,5,10
"me.umov.refill.dao.GraphicCacheDaoTest",14,2,0,4
"me.umov.refill.model.GraphicGroup",8,0,22,1
"me.umov.refill.core.GraphicUpdateQueueTest",17,0,0,4
"me.umov.refill.model.GraphicMetric",7,0,24,2
"me.umov.refill.core.Config",4,0,4,6
"me.umov.refill.injection.TransactionManagerTest",11,0,0,0
"me.umov.refill.model.CardData",1,0,2,1
"me.umov.refill.model.column.Field",3,0,32,1
"me.umov.refill.builder.DataBuilderFactoryTest",27,8,0,8
"me.umov.refill.core.GraphicUpdateManagerTest",21,2,0,2
"me.umov.refill.model.OnlineFilter",5,0,20,1
"me.umov.refill.serialization.GraphicDataRowSerializerTest",13,2,0,7
"me.umov.refill.persistence.PersistenceHelperTest",13,1,0,3
"me.umov.refill.template.SoyDataBuilder",12,0,0,6
"me.umov.refill.reflection.ReflectionUtilsTest",18,1,0,1
"me.umov.refill.builder.map.AbstractMapDataBuilder",14,3,2,6
"me.umov.refill.model.activity.ActivityField",3,1,6,4
"me.umov.refill.builder.widget.AbstractCardDataBuilderTest",20,6,0,6
"me.umov.refill.model.map.MarkerInfo",6,0,13,4
"me.umov.refill.fixture.MarkerFixture",7,2,9,3
"me.umov.refill.fixture.ActivityFieldFixture",4,1,3,1
"me.umov.refill.builder.widget.AbstractTableDataBuilderTest",22,7,0,7
"me.umov.refill.fixture.GraphicFilterFixture",3,1,2,2
"me.umov.refill.core.ConfigTest",7,0,0,1
"me.umov.refill.builder.widget.CustomHistoryCardDataBuilder",15,3,0,6
"me.umov.refill.fixture.GraphicGroupFixture",4,1,3,2
"me.umov.refill.service.GraphicDataService",18,8,8,9
"me.umov.refill.model.map.Route",4,2,25,4
"me.umov.refill.builder.widget.customtable.ItemCustomColumnTest",19,10,0,10
"me.umov.refill.model.customfield.CustomField",1,1,7,4
"me.umov.refill.builder.map.AbstractMapRouteDataBuilderTest",18,7,0,7
"me.umov.refill.persistence.ArrayAsListType",10,0,2,3
"me.umov.refill.builder.widget.AgentDailyResumeTableDataBuilderTest",26,8,0,8
"me.umov.refill.model.ChartData",1,0,18,0
"me.umov.refill.persistence.IntervalAsStringType",9,0,0,3
"me.umov.refill.persistence.JsonAsStringType",9,0,0,3
"me.umov.refill.builder.widget.AllTasksDataBuilder",27,2,1,3
"me.umov.refill.fixture.CustomFieldFixture",3,1,5,1
"me.umov.refill.model.map.MarkerTest",8,1,0,1
"me.umov.refill.service.AttemptServiceTest",13,3,0,3
"me.umov.refill.model.AgentDataRow",4,0,0,0
"me.umov.refill.persistence.LongArrayType",9,0,1,3
"me.umov.refill.core.ProcessTest",8,1,0,1
"me.umov.refill.fixture.GraphicMetricFixture",3,1,4,2
"me.umov.refill.builder.map.AgentTrackingMapDataBuilderTest",14,5,0,5
"me.umov.refill.dao.GraphicDataDaoTest",18,9,0,10
"me.umov.refill.geo.CabralGeoProcessorTest",17,2,0,3
"me.umov.refill.util.Miscellaneous",2,0,1,5
"me.umov.refill.types.GraphicEntityTest",12,0,0,1
"me.umov.refill.interceptor.TransactionInterceptorTest",14,2,0,4
"me.umov.refill.builder.widget.NextTasksForExecutionDataBuilder",24,2,0,3
"me.umov.refill.RefillTest",13,4,0,5
"me.umov.refill.builder.widget.customtable.EntitiesCustomColumn",10,5,0,7
"me.umov.refill.persistence.PersistenceHelper",15,1,0,5
"me.umov.refill.builder.widget.ActivityExecutionsPerTypeDataBuilder",24,5,0,6
"me.umov.refill.builder.widget.ImageCollectedPerActivityDataBuilder",24,5,0,6
"me.umov.refill.builder.widget.PeopleWithAndWithoutExecutionsDataBuilder",24,5,0,6
"me.umov.refill.builder.widget.CustomEntitiesTableDataBuilderTest",20,8,0,8
"me.umov.refill.model.builder.TableDataBuilderTest",15,5,0,7
"me.umov.refill.builder.widget.AbstractCardDataBuilder",10,4,19,6
"me.umov.refill.model.TestModel",3,0,8,1
"me.umov.refill.persistence.GraphicDataRowResultTransformerTest",7,1,0,3
"me.umov.refill.geo.DirectionsServiceTest",19,1,0,1
"me.umov.refill.model.column.Entity",4,0,8,1
"me.umov.refill.model.GraphicIcon",6,0,3,1
"me.umov.refill.Refill",7,3,1,7
"me.umov.refill.fixture.GraphicDataRowFixture",7,1,7,2
"me.umov.refill.model.TableData",4,0,2,0
