"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.refill.model.Graphic",392,83,83,102,11,3,87,8,37
"me.umov.refill.fixture.GraphicFixture",210,55,55,55,13,3,25,5,1
"me.umov.refill.model.column.CustomColumnsTest",194,13,13,13,14,2,0,2,2
"me.umov.refill.model.map.Marker",192,43,42,53,14,2,26,9,12
"me.umov.refill.template.TemplateServiceTest",190,25,18,29,20,5,0,7,21
"me.umov.refill.model.GraphicCache",179,38,38,42,10,1,49,4,18
"me.umov.refill.builder.widget.AbstractChartDataBuilderTest",178,21,18,18,38,10,0,11,6
"me.umov.refill.template.SoyDataBuilderTest",173,17,16,21,20,2,0,4,0
"me.umov.refill.service.GraphicCacheServiceTest",168,13,13,13,26,8,0,8,8
"me.umov.refill.serialization.SerializerTest",164,15,9,18,26,11,0,13,13
"me.umov.refill.builder.widget.customtable.EntitiesCustomColumnTest",156,9,9,9,19,10,0,10,2
"me.umov.refill.builder.widget.AbstractChartDataBuilder",152,17,3,33,27,7,23,11,5
"me.umov.refill.model.column.CustomColumns",149,28,24,34,4,0,20,2,12
"me.umov.refill.dao.AbstractDaoTest",139,20,20,20,16,1,0,3,1
"me.umov.refill.service.GraphicDataServiceTest",135,11,11,11,29,12,0,12,3
"me.umov.refill.model.TableColumnData",133,24,24,28,5,0,41,1,10
"me.umov.refill.builder.widget.CustomTableDataBuilderTest",133,9,8,7,22,8,0,10,3
"me.umov.refill.model.GraphicFilter",129,26,26,27,8,0,4,3,12
"me.umov.refill.dao.AbstractDao",124,23,9,31,21,2,7,9,2
"me.umov.refill.dao.AbstractDaoMock",124,16,10,20,25,1,6,4,15
"me.umov.refill.builder.widget.customtable.ActivityCustomColumnTest",116,6,6,6,19,10,0,11,2
"me.umov.refill.builder.map.AbstractMapDataBuilderTest",113,11,10,10,27,14,0,14,4
"me.umov.refill.service.GraphicCacheService",113,11,6,20,15,7,6,10,7
"me.umov.refill.builder.chart.ChartDataBuilderTest",102,9,8,9,30,6,0,7,5
"me.umov.refill.core.GraphicUpdateWorkerTest",101,10,9,10,20,9,0,11,8
"me.umov.refill.builder.widget.CustomHistoryCardDataBuilderTest",101,8,8,8,17,7,0,7,2
"me.umov.refill.model.GraphicCacheTest",99,13,13,13,4,1,0,1,0
"me.umov.refill.dao.GraphicCacheDao",99,12,4,13,23,2,2,6,1
"me.umov.refill.builder.map.DeliveryTrackingMapDataBuilder",99,11,0,21,20,4,1,6,0
