"method","loc","cyclo","calls","nbd","param"
"me.umov.scheduler.domain.Itinerary.getWeekDays()",19,8,14,3,0
"me.umov.scheduler.domain.ItinerarySchedule.identifyCurrentCycleInterval(LocalDate startCycleDate)",24,6,25,1,1
"me.umov.scheduler.domain.ItinerarySchedule.getRecurrenceConfiguration()",15,5,8,1,0
"me.umov.scheduler.domain.recurrence.BaseRecurrenceGeneratorStrategy.hasReachedEndCondition(RecurrenceConfiguration recurrenceConfiguration, LocalDate processingDate, Long recurrenceCount, LocalDate endOfCycle)",13,4,9,2,4
"me.umov.scheduler.domain.DateInterval.setTime(LocalTime initialTime, LocalTime finalTime)",15,4,5,1,2
"me.umov.scheduler.domain.ItinerarySchedule.hasReachedEndCondition()",11,4,6,1,0
"me.umov.scheduler.infrastructure.serialization.LocalDateSerializationAdapter.deserialize(JsonElement json, Type typeOfT, JsonDeserializationContext context)",6,4,5,0,3
"me.umov.scheduler.infrastructure.serialization.LocalDateTimeSerializationAdapter.deserialize(JsonElement json, Type typeOfT, JsonDeserializationContext context)",6,4,5,0,3
"me.umov.scheduler.infrastructure.serialization.LocalTimeSerializationAdapter.deserialize(JsonElement json, Type typeOfT, JsonDeserializationContext context)",6,4,5,0,3
"me.umov.scheduler.domain.Itinerary.createTasksForIntervals(List<DateInterval> intervals)",23,3,19,3,1
"me.umov.scheduler.domain.recurrence.BaseRecurrenceGeneratorStrategy.generate(Recurrent recurrent)",24,3,18,2,1
"me.umov.scheduler.domain.chain.Chain.processChain(TModel model)",9,3,3,2,1
"me.umov.scheduler.domain.recurrence.WeeklyRecurrenceGeneratorStrategy.shouldSkipDay(DayOfWeek dayOfWeek, RecurrenceConfiguration recurrenceConfiguration, LocalDate processingDate, List<DateInterval> recurrenceDateIntervals)",14,3,6,1,4
"me.umov.scheduler.domain.specification.itinerary.ShouldHaveAtLeastOneActiveAgentWithAgentRelationship.isSatisfiedBy(ItinerarySchedule candidate)",13,3,13,1,1
"me.umov.scheduler.domain.specification.itinerary.ShouldHaveAtLeastOneActiveTeamWithTeamRelationship.isSatisfiedBy(ItinerarySchedule candidate)",13,3,13,1,1
"me.umov.scheduler.domain.ItinerarySchedule.applyEndDateWhenNecessary(DateInterval interval)",10,3,5,1,1
"me.umov.scheduler.domain.specification.AndSpecification.isSatisfiedBy(T candidate)",9,3,8,1,1
"me.umov.scheduler.domain.specification.OrSpecification.isSatisfiedBy(T candidate)",9,3,8,1,1
"me.umov.scheduler.domain.workcycle.request.RequestFactory.get(ItinerarySchedule workCycle)",9,3,6,1,1
"me.umov.scheduler.domain.Itinerary.getCurrentOcurrencesCount()",8,2,10,3,0
"me.umov.scheduler.domain.Itinerary.setActivityOriginList(List<ItineraryActivityOrigin> activityOriginList)",7,2,4,3,1
"me.umov.scheduler.domain.Itinerary.getActivityOriginList()",5,2,5,3,0
"me.umov.scheduler.domain.taskschedule.TaskCreator.createTasksDTOs(List<ItineraryTask> tasksForCreation)",35,2,53,2,1
"me.umov.scheduler.application.ScheduleController.runCycle(@RequestBody ScheduledItem scheduledItem)",20,2,17,2,1
"me.umov.scheduler.domain.workcycle.WorkCycleCreator.bindWorkCycleCreationResponse(List<ItineraryWorkCycle> cycles, WorkCycleCreateResponse response)",16,2,11,2,2
"me.umov.scheduler.domain.specification.BaseValidator.validate(T t)",15,2,22,2,1
"me.umov.scheduler.domain.taskschedule.TaskCreator.bindBusinessResults(List<ItineraryTask> tasks, BatchOperationResult businessApiReturn)",9,2,10,2,2
"me.umov.scheduler.domain.workcycle.WorkCycleCreator.verifyCycles(ItineraryWorkCycle cycle, CreatedWorkCycle createdCycle)",6,2,10,2,2
"me.umov.scheduler.domain.taskschedule.TaskCreator.convertActivityOriginList(List<ItineraryActivityOrigin> itineraryActivityOriginList, List<TaskActivityOrigin> taskActivityOriginList)",4,2,2,2,2
"me.umov.scheduler.domain.workcycle.request.ServiceLocalRequest.buildCreateWorkCycleRequests(Itinerary workCycle, List<ItineraryWorkCycle> itineraryWorkCycles)",19,2,19,1,2
"me.umov.scheduler.application.ScheduleConsumer.processScheduleItem(@Payload Message<String> itineraryIdMessage)",18,2,15,1,1
"me.umov.scheduler.infrastructure.serialization.HibernateProxyTypeAdapter.write(JsonWriter out, HibernateProxy value)",15,2,7,1,2
"me.umov.scheduler.domain.workcycle.request.ActivityRequest.buildCreateWorkCycleRequests(Itinerary singleItinerary)",13,2,9,1,1
