"namespace","ca","ce","instability","abstractness","distance"
"me.umov.scheduler.domain",41,3,0.06818181818181818,0.09375,0.8380681818181819
"me.umov.scheduler.domain.recurrence",3,1,0.25,0.23076923076923078,0.5192307692307692
"me.umov.scheduler.infrastructure.serialization",1,0,0.0,0.0,1.0
"me.umov.scheduler.domain.workcycle",4,5,0.5555555555555556,0.1111111111111111,0.33333333333333326
"me.umov.scheduler.infrastructure.jpa.converter",0,0,0.0,0.0,1.0
"me.umov.scheduler.domain.taskschedule",0,5,1.0,0.0,0.0
"me.umov.scheduler.domain.specification.itinerary",2,2,0.5,0.0,0.5
"me.umov.scheduler.domain.specification",8,0,0.0,0.5,0.5
"me.umov.scheduler.infrastructure.configuration",0,1,1.0,0.2,0.19999999999999996
"me.umov.scheduler.domain.workcycle.request",1,5,0.8333333333333334,0.2,0.03333333333333344
"me.umov.scheduler.domain.repository",5,2,0.2857142857142857,1.0,0.2857142857142856
"me.umov.scheduler.application",1,2,0.6666666666666666,0.2,0.1333333333333333
"me.umov.scheduler.domain.chain",12,1,0.07692307692307693,0.5,0.42307692307692313
"me.umov.scheduler.infrastructure.business",0,3,1.0,0.0,0.0
"me.umov.scheduler.domain.systemParameters",2,1,0.3333333333333333,0.0,0.6666666666666667
"me.umov.scheduler.domain.exception",3,0,0.0,0.0,1.0
"me.umov.scheduler.anticorruption",0,3,1.0,0.0,0.0
"me.umov.scheduler",0,0,0.0,0.0,1.0
"me.umov.scheduler.infrastructure.authorization",1,1,0.5,0.0,0.5
