"namespace","noc","nac"
"me.umov.scheduler.domain",32,3
"me.umov.scheduler.domain.recurrence",13,3
"me.umov.scheduler.infrastructure.serialization",10,0
"me.umov.scheduler.domain.workcycle",9,1
"me.umov.scheduler.infrastructure.jpa.converter",8,0
"me.umov.scheduler.domain.taskschedule",7,0
"me.umov.scheduler.domain.specification.itinerary",7,0
"me.umov.scheduler.domain.specification",6,3
"me.umov.scheduler.infrastructure.configuration",5,1
"me.umov.scheduler.domain.workcycle.request",5,1
"me.umov.scheduler.domain.repository",5,5
"me.umov.scheduler.application",5,1
"me.umov.scheduler.domain.chain",4,2
"me.umov.scheduler.infrastructure.business",3,0
"me.umov.scheduler.domain.systemParameters",2,0
"me.umov.scheduler.domain.exception",2,0
"me.umov.scheduler.anticorruption",1,0
"me.umov.scheduler",1,0
"me.umov.scheduler.infrastructure.authorization",1,0
