"type","dep","i-dep","fan-in","fan-out"
"me.umov.scheduler.domain.Itinerary",34,3,5,6
"me.umov.scheduler.domain.ItinerarySchedule",26,4,27,5
"me.umov.scheduler.domain.Task",3,0,1,1
"me.umov.scheduler.domain.ItineraryTask",14,0,1,1
"me.umov.scheduler.domain.ItineraryWorkCycle",10,0,4,1
"me.umov.scheduler.domain.taskschedule.TaskCreator",12,2,0,3
"me.umov.scheduler.domain.ItineraryServiceLocal",7,0,0,1
"me.umov.scheduler.infrastructure.business.BusinessRestService",21,9,0,14
"me.umov.scheduler.domain.ItineraryTeam",9,0,0,1
"me.umov.scheduler.domain.DateInterval",4,0,10,1
"me.umov.scheduler.domain.workcycle.request.ServiceLocalRequest",8,4,1,6
"me.umov.scheduler.domain.ServiceLocalActivity",5,0,0,1
"me.umov.scheduler.domain.Team",4,0,1,1
"me.umov.scheduler.domain.workcycle.WorkCycleCreateRequest",4,0,4,1
"me.umov.scheduler.infrastructure.configuration.AmazonSQSConfiguration",14,0,0,1
"me.umov.scheduler.infrastructure.configuration.GsonConfiguration",23,9,0,11
"me.umov.scheduler.domain.recurrence.BaseRecurrenceGeneratorStrategy",8,1,3,3
"me.umov.scheduler.domain.systemParameters.SystemParameters",7,1,2,3
"me.umov.scheduler.domain.ServiceLocal",8,0,0,1
"me.umov.scheduler.domain.recurrence.RecurrenceConfiguration",2,0,2,0
"me.umov.scheduler.domain.BatchOperationResult",4,0,5,1
"me.umov.scheduler.domain.workcycle.WorkCycleCreator",8,5,0,6
"me.umov.scheduler.infrastructure.serialization.HibernateProxyTypeAdapter",9,0,2,2
"me.umov.scheduler.domain.workcycle.request.ActivityRequest",7,5,1,7
"me.umov.scheduler.application.ScheduleController",13,2,0,2
"me.umov.scheduler.infrastructure.authorization.JwtService",7,1,1,3
"me.umov.scheduler.application.ScheduleConsumer",10,1,0,2
"me.umov.scheduler.domain.ItineraryActivity",5,0,1,1
"me.umov.scheduler.domain.ItineraryAgent",6,0,0,1
"me.umov.scheduler.infrastructure.configuration.RestConfiguration",9,0,0,2
"me.umov.scheduler.domain.taskschedule.TaskScheduleCronDisableStep",8,4,0,5
"me.umov.scheduler.domain.specification.SpecificationResult",4,0,9,0
"me.umov.scheduler.domain.Agent",3,0,0,1
"me.umov.scheduler.infrastructure.serialization.LocalDateTimeSerializationAdapter",11,0,1,3
"me.umov.scheduler.infrastructure.serialization.LocalTimeSerializationAdapter",11,0,1,3
"me.umov.scheduler.domain.taskschedule.TaskScheduleValidationStep",5,3,0,4
"me.umov.scheduler.domain.workcycle.WorkCycleValidationStep",5,3,0,4
"me.umov.scheduler.domain.recurrence.WeeklyRecurrenceGeneratorStrategy",4,1,0,3
"me.umov.scheduler.domain.workcycle.WorkCycleCreationStep",4,2,0,3
"me.umov.scheduler.domain.taskschedule.TaskCreationStep",4,2,0,3
"me.umov.scheduler.infrastructure.serialization.LocalDateSerializationAdapter",9,0,1,3
"me.umov.scheduler.domain.OperationResult",1,0,0,0
"me.umov.scheduler.domain.taskschedule.TaskScheduleCurrentCycleIdentificationStep",5,2,0,3
"me.umov.scheduler.domain.taskschedule.TaskScheduleStateUpdateStep",5,3,0,4
"me.umov.scheduler.domain.workcycle.WorkCycleStateUpdateStep",5,3,0,4
"me.umov.scheduler.domain.chain.ScheduleChainProcessorImpl",5,1,0,3
"me.umov.scheduler.infrastructure.serialization.TeamExecutionSerializationAdapter",8,0,1,2
"me.umov.scheduler.infrastructure.serialization.ScheduleTypeSerializationAdapter",8,0,1,2
"me.umov.scheduler.domain.specification.BaseValidator",4,0,2,1
"me.umov.scheduler.domain.recurrence.RecurrenceEndsConfiguration",1,0,1,0
"me.umov.scheduler.domain.exception.SchedulerException",2,0,3,3
"me.umov.scheduler.domain.specification.itinerary.ShouldHaveAtLeastOneActiveAgentWithAgentRelationship",6,3,1,4
"me.umov.scheduler.domain.specification.itinerary.ShouldHaveAtLeastOneActiveTeamWithTeamRelationship",6,3,1,4
"me.umov.scheduler.domain.workcycle.request.RequestFactory",6,4,1,5
"me.umov.scheduler.domain.workcycle.CreatedWorkCycle",0,0,0,0
"me.umov.scheduler.domain.workcycle.request.RequestBuilder",3,2,3,3
"me.umov.scheduler.application.ScheduledItem",1,0,1,2
"me.umov.scheduler.domain.specification.itinerary.TaskScheduleValidator",6,3,1,4
"me.umov.scheduler.infrastructure.business.BusinessPayload",0,0,0,0
"me.umov.scheduler.domain.workcycle.request.RequestDTO",3,2,3,2
"me.umov.scheduler.infrastructure.serialization.TaskActivityOriginSerializationAdapter",8,0,1,2
"me.umov.scheduler.infrastructure.serialization.BooleanStatusSerializationAdapter",8,0,1,2
"me.umov.scheduler.domain.specification.AndSpecification",2,0,1,1
"me.umov.scheduler.domain.specification.OrSpecification",2,0,1,1
"me.umov.scheduler.application.VersionController",4,0,0,1
"me.umov.scheduler.domain.specification.itinerary.ShouldHaveAtLeastOneActiveServiceLocal",5,3,2,4
"me.umov.scheduler.domain.specification.itinerary.WorkCycleValidator",6,3,1,4
"me.umov.scheduler.infrastructure.jpa.converter.RecurrenceEndTypeConverter",3,0,0,1
"me.umov.scheduler.infrastructure.jpa.converter.ActivityCycleConverter",3,0,0,1
"me.umov.scheduler.infrastructure.jpa.converter.TaskScheduleActivityOriginConverter",3,0,0,1
"me.umov.scheduler.infrastructure.jpa.converter.TeamExecutionConverter",3,0,0,1
"me.umov.scheduler.infrastructure.jpa.converter.ItineraryAgentRelationConverter",3,0,0,1
"me.umov.scheduler.infrastructure.jpa.converter.RecurrenceRepeatModeConverter",3,0,0,1
