"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.scheduler.domain.Itinerary",397,78,77,90,34,3,5,6,36
"me.umov.scheduler.domain.ItinerarySchedule",241,43,42,59,26,4,27,5,19
"me.umov.scheduler.domain.Task",139,38,38,38,3,0,1,1,19
"me.umov.scheduler.domain.ItineraryTask",129,25,25,25,14,0,1,1,11
"me.umov.scheduler.domain.ItineraryWorkCycle",113,22,22,22,10,0,4,1,9
"me.umov.scheduler.domain.taskschedule.TaskCreator",75,4,1,7,12,2,0,3,3
"me.umov.scheduler.domain.ItineraryServiceLocal",72,15,15,15,7,0,0,1,7
"me.umov.scheduler.infrastructure.business.BusinessRestService",65,8,3,8,21,9,0,14,4
"me.umov.scheduler.domain.ItineraryTeam",62,12,12,13,9,0,0,1,4
"me.umov.scheduler.domain.DateInterval",61,12,10,17,4,0,10,1,2
"me.umov.scheduler.domain.workcycle.request.ServiceLocalRequest",61,5,1,6,8,4,1,6,0
"me.umov.scheduler.domain.ServiceLocalActivity",60,13,13,13,5,0,0,1,5
"me.umov.scheduler.domain.Team",55,12,12,12,4,0,1,1,5
"me.umov.scheduler.domain.workcycle.WorkCycleCreateRequest",54,9,8,10,4,0,4,1,6
"me.umov.scheduler.infrastructure.configuration.AmazonSQSConfiguration",54,7,4,7,14,0,0,1,2
"me.umov.scheduler.infrastructure.configuration.GsonConfiguration",53,3,2,2,23,9,0,11,0
"me.umov.scheduler.domain.recurrence.BaseRecurrenceGeneratorStrategy",50,5,2,10,8,1,3,3,0
"me.umov.scheduler.domain.systemParameters.SystemParameters",45,8,8,8,7,1,2,3,3
"me.umov.scheduler.domain.ServiceLocal",45,8,8,8,8,0,0,1,4
"me.umov.scheduler.domain.recurrence.RecurrenceConfiguration",44,11,11,11,2,0,2,0,4
"me.umov.scheduler.domain.BatchOperationResult",43,10,10,10,4,0,5,1,4
"me.umov.scheduler.domain.workcycle.WorkCycleCreator",42,3,1,5,8,5,0,6,2
"me.umov.scheduler.infrastructure.serialization.HibernateProxyTypeAdapter",41,4,3,4,9,0,2,2,2
"me.umov.scheduler.domain.workcycle.request.ActivityRequest",41,4,1,6,7,5,1,7,0
"me.umov.scheduler.application.ScheduleController",41,1,1,2,13,2,0,2,3
"me.umov.scheduler.infrastructure.authorization.JwtService",40,5,2,5,7,1,1,3,5
"me.umov.scheduler.application.ScheduleConsumer",38,1,1,2,10,1,0,2,4
"me.umov.scheduler.domain.ItineraryActivity",37,6,6,6,5,0,1,1,4
"me.umov.scheduler.domain.ItineraryAgent",35,5,5,5,6,0,0,1,4
"me.umov.scheduler.infrastructure.configuration.RestConfiguration",34,3,1,5,9,0,0,2,3
"me.umov.scheduler.domain.taskschedule.TaskScheduleCronDisableStep",34,3,3,3,8,4,0,5,3
"me.umov.scheduler.domain.specification.SpecificationResult",33,6,5,7,4,0,9,0,2
"me.umov.scheduler.domain.Agent",32,6,6,6,3,0,0,1,3
"me.umov.scheduler.infrastructure.serialization.LocalDateTimeSerializationAdapter",28,2,2,6,11,0,1,3,1
"me.umov.scheduler.infrastructure.serialization.LocalTimeSerializationAdapter",27,2,2,6,11,0,1,3,1
"me.umov.scheduler.domain.taskschedule.TaskScheduleValidationStep",26,3,3,3,5,3,0,4,2
"me.umov.scheduler.domain.workcycle.WorkCycleValidationStep",26,3,3,3,5,3,0,4,2
