"method","loc","cyclo","calls","nbd","param"
"me.umov.syncmedia.application.authentication.AuthenticationService.authenticate(HttpServletRequest request)",17,4,11,3,1
"me.umov.syncmedia.application.authentication.AuthenticationByLogin.authenticate(HttpServletRequest request)",13,2,5,1,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.TemporaryMediaPartsMerger.mergeMediaParts(List<byte[]> mediaParts, int mediaSize)",12,2,1,1,2
"me.umov.syncmedia.anticorruption.media.MediaOwnerConverterImpl.convertFrom(MediaAssemblerRequest request)",10,2,12,1,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.CleanTemporaryMediaAction.onApplicationEvent(MediaAssembledEvent event)",9,2,9,1,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.UpdateMediaViewerLinkAction.onApplicationEvent(MediaAssembledEvent event)",8,2,5,1,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.CreateFeedScheduleAction.onApplicationEvent(MediaAssembledEvent event)",8,2,4,1,1
"me.umov.syncmedia.domain.media.MediaAssembler.getMediaContent(MediaMetadata metadata, MediaOwner owner)",8,2,1,1,2
"me.umov.syncmedia.domain.mediapart.MediaPartContent.calculateChecksum()",8,2,0,1,0
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository.exists(MediaMetadata metadata, MediaOwner owner)",7,2,7,1,2
"me.umov.syncmedia.application.authentication.AuthenticationInterceptor.preHandle(HttpServletRequest request, HttpServletResponse response, Object handler)",7,2,2,1,3
"me.umov.syncmedia.application.authentication.AuthenticationInterceptor.shouldAuthenticate(Object handler)",7,2,2,1,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository.getTemporaryMedias(MediaMetadata metadata, MediaOwner owner)",6,2,8,1,2
"me.umov.syncmedia.domain.mediapart.TemporaryMediaPartCleaner.cleanByExecution(MediaPart mediaPart)",6,2,3,1,1
"me.umov.syncmedia.domain.mediapart.TemporaryMediaPartCleaner.cleanByIdentity(MediaPart mediaPart)",6,2,3,1,1
"me.umov.syncmedia.domain.mediapart.TemporaryMediaPartCleaner.cleanTemporaryParts(MediaPart mediaPart)",6,2,3,1,1
"me.umov.syncmedia.domain.mediapart.MediaPartContent.verifyChecksum()",5,2,1,1,0
"me.umov.syncmedia.domain.media.MediaAssembler.verifyIfMediaAlreadyExist(MediaMetadata metadata, MediaOwner owner)",4,2,1,1,2
"me.umov.syncmedia.domain.media.MediaOwner.validate()",4,2,0,1,0
"me.umov.syncmedia.domain.mediapart.MediaPartContent.verifyReceivedBytes()",4,2,0,1,0
"me.umov.syncmedia.anticorruption.media.MediaOwnerConverterImpl.getActivityHistoryId(MediaAssemblerRequest request)",3,2,5,1,1
"me.umov.syncmedia.domain.media.MediaAssembler.assembleMedia(MediaMetadata metadata, MediaOwner owner)",10,1,4,1,2
"me.umov.syncmedia.domain.media.MediaOwner.MediaOwner(long clientId, long taskId, long activityId, Long activityHistoryId, Long activityHistoryItemId, String identifier)",9,1,1,1,6
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository.save(byte[] content, MediaMetadata metadata, MediaOwner owner)",8,1,3,1,3
"me.umov.syncmedia.domain.mediapart.MediaPartContent.MediaPartContent(byte[] content, int contentSize, long checksum)",6,1,1,1,3
"me.umov.syncmedia.infrastructure.activityhistorymedia.TemporaryMediaPartsMerger.getCompleteMedia(List<TemporaryMedia> temporaryMedias)",5,1,9,1,1
"me.umov.syncmedia.anticorruption.media.MediaOwnerConverterImpl.getActivityHistoryItemId(MediaAssemblerRequest request)",5,1,4,1,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository.find(MediaMetadata metadata, MediaOwner owner)",5,1,2,1,2
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository.saveInMainStorage(Long id, byte[] mediaContent, MediaMetadata metadata, MediaOwner owner)",4,1,3,1,4
"me.umov.syncmedia.application.authentication.AuthenticationByLogin.shouldHandle(HttpServletRequest request)",4,1,3,1,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository.saveInSecondaryStorage(Long id, byte[] mediaContent, MediaMetadata metadata, MediaOwner owner)",3,1,2,1,4
"me.umov.syncmedia.domain.mediapart.MediaPartContent.validate()",3,1,2,1,0
"me.umov.syncmedia.application.eventlistener.mediaassembled.CreateFeedScheduleAction.shouldFeed(Media media)",2,1,4,1,1
"me.umov.syncmedia.domain.media.MediaOwner.withItem(long clientId, long taskId, long activityId, Long activityHistoryId, Long activityHistoryItemId, String identifier)",2,1,0,1,6
"me.umov.syncmedia.domain.media.MediaOwner.withoutItem(long clientId, long taskId, long activityId, Long activityHistoryId)",2,1,0,1,4
"me.umov.syncmedia.domain.media.MediaOwner.getActivityHistoryId()",2,1,0,1,0
"me.umov.syncmedia.domain.media.MediaOwner.getActivityHistoryItemId()",2,1,0,1,0
"me.umov.syncmedia.domain.media.MediaOwner.getActivityId()",2,1,0,1,0
"me.umov.syncmedia.domain.media.MediaOwner.getClientId()",2,1,0,1,0
"me.umov.syncmedia.domain.media.MediaOwner.getIdentifier()",2,1,0,1,0
"me.umov.syncmedia.domain.media.MediaOwner.getTaskId()",2,1,0,1,0
"me.umov.syncmedia.domain.media.MediaOwner.isFromMultimediaField()",2,1,0,1,0
"me.umov.syncmedia.domain.mediapart.MediaPartContent.getChecksum()",2,1,0,1,0
"me.umov.syncmedia.domain.mediapart.MediaPartContent.getContent()",2,1,0,1,0
"me.umov.syncmedia.domain.mediapart.MediaPartContent.getContentSize()",2,1,0,1,0
"me.umov.syncmedia.infrastructure.configuration.MasterDbConfiguration.masterDbEntityManager()",15,1,10,0,0
"me.umov.syncmedia.infrastructure.configuration.MediaDbConfiguration.mediaDbEntityManager()",15,1,10,0,0
"me.umov.syncmedia.anticorruption.media.ActivityHistoryMediaConverterImpl.convertFrom(Long id, byte[] mediaContent, MediaMetadata metadata, MediaOwner owner)",14,1,17,0,4
"me.umov.syncmedia.anticorruption.mediapart.TemporaryMediaConverterImpl.convertFrom(MediaPart mediaPart)",11,1,12,0,1
"me.umov.syncmedia.application.api.media.MediaAssemblerController.assembleMedia(MediaAssemblerRequest request)",10,1,11,0,1
"me.umov.syncmedia.application.api.mediapart.SaveMediaPartRequest.addRequestParametersInLogContext()",9,1,15,0,0
"me.umov.syncmedia.application.api.media.MediaAssemblerRequest.addRequestParametersInLogContext()",9,1,13,0,0
"me.umov.syncmedia.anticorruption.media.FeedScheduleConverterImpl.convertFrom(Media media)",9,1,8,0,1
"me.umov.syncmedia.infrastructure.configuration.MasterDbConfiguration.masterDbDataSource()",9,1,8,0,0
"me.umov.syncmedia.infrastructure.configuration.MediaDbConfiguration.mediaDbDataSource()",9,1,8,0,0
"me.umov.syncmedia.application.api.mediapart.MediaPartController.saveMediaPart(@RequestBody byte[] mediaContent, SaveMediaPartRequest request)",9,1,5,0,2
"me.umov.syncmedia.application.api.response.GeneralResponse.mediaAssembled(Long savedMediaId, Boolean isBackMediaId)",8,1,0,0,2
"me.umov.syncmedia.domain.mediapart.MediaPartManager.receivePart(MediaPart mediaPart)",7,1,3,0,1
"me.umov.syncmedia.application.api.response.GeneralResponse.errorWithDelete(String message)",7,1,0,0,1
"me.umov.syncmedia.anticorruption.mediapart.MediaPartConverterImpl.convertFrom(byte[] content, SaveMediaPartRequest request)",6,1,8,0,2
"me.umov.syncmedia.infrastructure.configuration.MasterDbConfiguration.masterDbTransactionManager()",6,1,4,0,0
"me.umov.syncmedia.infrastructure.configuration.MediaDbConfiguration.mediaDbTransactionManager()",6,1,4,0,0
"me.umov.syncmedia.application.api.response.GeneralResponse.error(String message)",6,1,0,0,1
"me.umov.syncmedia.application.api.response.GeneralResponse.savedMediaPart(int bytesReceived)",6,1,0,0,1
"me.umov.syncmedia.application.api.mediapart.MediaPartController.addStartLog(byte[] mediaContent, SaveMediaPartRequest request)",5,1,4,0,2
"me.umov.syncmedia.application.api.error.ErrorHandlerController.handleInconsistentMediaPartException(InconsistentMediaPartException exception)",5,1,4,0,1
"me.umov.syncmedia.application.api.error.ErrorHandlerController.handleActivityHistoryNotFoundException(ActivityHistoryNotFoundException exception)",5,1,3,0,1
"me.umov.syncmedia.application.api.error.ErrorHandlerController.handleEmptyMediaException(EmptyMediaException exception)",5,1,3,0,1
"me.umov.syncmedia.application.api.error.ErrorHandlerController.handleException(Exception exception)",5,1,3,0,1
"me.umov.syncmedia.application.api.error.ErrorHandlerController.handleMediaAlreadyExistException(MediaAlreadyExistException exception)",5,1,3,0,1
"me.umov.syncmedia.application.api.error.ErrorHandlerController.handleUnauthorizedException(UnauthorizedRequestException exception)",5,1,3,0,1
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository.save(MediaPart mediaPart)",5,1,2,0,1
"me.umov.syncmedia.domain.media.Media.Media(long id, byte[] content, MediaOwner owner, MediaMetadata mediaMetadata)",5,1,0,0,4
"me.umov.syncmedia.domain.mediapart.MediaPart.MediaPart(long taskId, long activityId, MediaPartContent content, MediaPartMetadata metadata)",5,1,0,0,4
"me.umov.syncmedia.domain.mediapart.MediaPartMetadata.MediaPartMetadata(long code, long partBlock, String identifier, boolean isFromMultimediaField)",5,1,0,0,4
"me.umov.syncmedia.infrastructure.mediaviewer.MediaViewerDao.generateMediaViewerUrl(Media media)",4,1,5,0,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.UpdateIntegrationFlagAction.onApplicationEvent(MediaAssembledEvent event)",4,1,3,0,1
"me.umov.syncmedia.application.configuration.InterceptorConfig.addInterceptors(InterceptorRegistry registry)",4,1,2,0,1
"me.umov.syncmedia.domain.media.MediaMetadata.MediaMetadata(long code, String extension, MediaType type)",4,1,0,0,3
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository.deleteByExecutionAndPartBlock(MediaPart mediaPart)",3,1,5,0,1
"me.umov.syncmedia.application.api.media.MediaAssemblerController.addSuccessLog(Media media)",3,1,4,0,1
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository.deleteByExecution(MediaPart mediaPart)",3,1,4,0,1
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository.deleteByIdentityAndPartBlock(MediaPart mediaPart)",3,1,4,0,1
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository.deleteByIdentity(MediaPart mediaPart)",3,1,3,0,1
"me.umov.syncmedia.application.api.media.MediaAssemblerController.addStartLog(MediaAssemblerRequest request)",3,1,2,0,1
"me.umov.syncmedia.application.authentication.AuthenticationByToken.authenticate(HttpServletRequest request)",3,1,2,0,1
"me.umov.syncmedia.application.authentication.AuthenticationByToken.shouldHandle(HttpServletRequest request)",3,1,2,0,1
"me.umov.syncmedia.application.version.VersionController.version()",3,1,2,0,0
"me.umov.syncmedia.application.interceptor.AfterRequestCompletionInterceptor.postHandle(HttpServletRequest request, HttpServletResponse response, Object handler, ModelAndView modelAndView)",3,1,1,0,4
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMediaDao.deleteByCodeAndTaskIdAndActivityIdAndPartBlock(long code, long taskId, long activityId, long partBlock)",3,1,0,0,4
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMediaDao.deleteByCodeAndIdentifierAndPartBlock(long code, String identifier, long partBlock)",3,1,0,0,3
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMediaDao.deleteByCodeAndTaskIdAndActivityId(long code, long taskId, long activityId)",3,1,0,0,3
"me.umov.syncmedia.application.authentication.UserData.setRequestData(Long clientId, Long agentId)",3,1,0,0,2
"me.umov.syncmedia.domain.media.MediaAssembledEvent.MediaAssembledEvent(Object source, Media media)",3,1,0,0,2
"me.umov.syncmedia.domain.mediapart.InconsistentMediaPartException.InconsistentMediaPartException(String message, int bytesReceived)",3,1,0,0,2
"me.umov.syncmedia.infrastructure.activityhistoryitem.ActivityHistoryItemDao.updateValueAndCleanIdentifier(@Param("id") Long id, @Param("value") String value)",3,1,0,0,2
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMediaDao.deleteByCodeAndIdentifier(long code, String identifier)",3,1,0,0,2
