"namespace","ca","ce","instability","abstractness","distance"
"me.umov.syncmedia.domain.media",13,0,0.0,0.18181818181818182,0.8181818181818181
"me.umov.syncmedia.domain.mediapart",7,0,0.0,0.25,0.75
"me.umov.syncmedia.application.authentication",3,2,0.4,0.125,0.475
"me.umov.syncmedia.application.eventlistener.mediaassembled",1,6,0.8571428571428571,0.2,0.05714285714285716
"me.umov.syncmedia.infrastructure.activityhistorymedia",3,4,0.5714285714285714,0.25,0.1785714285714286
"me.umov.syncmedia.infrastructure.temporarymedia",4,1,0.2,0.5,0.30000000000000004
"me.umov.syncmedia.anticorruption.media",0,8,1.0,0.0,0.0
"me.umov.syncmedia.application.api.media",1,2,0.6666666666666666,0.3333333333333333,0.0
"me.umov.syncmedia.application.api.mediapart",1,2,0.6666666666666666,0.3333333333333333,0.0
"me.umov.syncmedia.anticorruption.mediapart",0,3,1.0,0.0,0.0
"me.umov.syncmedia.infrastructure.configuration",0,0,0.0,0.0,1.0
"me.umov.syncmedia.infrastructure.client",1,0,0.0,0.5,0.5
"me.umov.syncmedia.infrastructure.activityhistory",2,0,0.0,0.5,0.5
"me.umov.syncmedia.infrastructure.feedschedule",3,0,0.0,0.5,0.5
"me.umov.syncmedia.infrastructure.activityhistoryitem",2,0,0.0,0.5,0.5
"me.umov.syncmedia.infrastructure.agent",4,0,0.0,0.5,0.5
"me.umov.syncmedia",0,0,0.0,0.0,1.0
"me.umov.syncmedia.infrastructure.mediaviewer",1,1,0.5,0.0,0.5
"me.umov.syncmedia.infrastructure.activityhistorymedia.masterdb",1,1,0.5,1.0,0.5
"me.umov.syncmedia.infrastructure.activityhistorymedia.mediadb",1,1,0.5,1.0,0.5
"me.umov.syncmedia.application.configuration",0,2,1.0,0.0,0.0
"me.umov.syncmedia.application.interceptor",1,0,0.0,0.0,1.0
"me.umov.syncmedia.application.version",0,0,0.0,0.0,1.0
"me.umov.syncmedia.application.api.error",0,4,1.0,0.0,0.0
"me.umov.syncmedia.application.api.response",3,0,0.0,0.0,1.0
