"namespace","noc","nac"
"me.umov.syncmedia.domain.media",11,2
"me.umov.syncmedia.domain.mediapart",8,2
"me.umov.syncmedia.application.authentication",8,1
"me.umov.syncmedia.application.eventlistener.mediaassembled",5,1
"me.umov.syncmedia.infrastructure.activityhistorymedia",4,1
"me.umov.syncmedia.infrastructure.temporarymedia",4,2
"me.umov.syncmedia.anticorruption.media",3,0
"me.umov.syncmedia.application.api.media",3,1
"me.umov.syncmedia.application.api.mediapart",3,1
"me.umov.syncmedia.anticorruption.mediapart",2,0
"me.umov.syncmedia.infrastructure.configuration",2,0
"me.umov.syncmedia.infrastructure.client",2,1
"me.umov.syncmedia.infrastructure.activityhistory",2,1
"me.umov.syncmedia.infrastructure.feedschedule",2,1
"me.umov.syncmedia.infrastructure.activityhistoryitem",2,1
"me.umov.syncmedia.infrastructure.agent",2,1
"me.umov.syncmedia",1,0
"me.umov.syncmedia.infrastructure.mediaviewer",1,0
"me.umov.syncmedia.infrastructure.activityhistorymedia.masterdb",1,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.mediadb",1,1
"me.umov.syncmedia.application.configuration",1,0
"me.umov.syncmedia.application.interceptor",1,0
"me.umov.syncmedia.application.version",1,0
"me.umov.syncmedia.application.api.error",1,0
"me.umov.syncmedia.application.api.response",1,0
