"type","dep","i-dep","fan-in","fan-out"
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMedia",4,0,3,1
"me.umov.syncmedia.application.api.media.MediaAssemblerRequest",2,0,1,0
"me.umov.syncmedia.application.api.mediapart.SaveMediaPartRequest",2,0,1,0
"me.umov.syncmedia.infrastructure.configuration.MasterDbConfiguration",12,0,0,2
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMedia",2,0,3,0
"me.umov.syncmedia.infrastructure.configuration.MediaDbConfiguration",12,0,0,2
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository",10,7,0,9
"me.umov.syncmedia.application.api.error.ErrorHandlerController",13,6,0,7
"me.umov.syncmedia.application.api.response.GeneralResponse",0,0,7,0
"me.umov.syncmedia.infrastructure.feedschedule.FeedSchedule",2,0,3,0
"me.umov.syncmedia.domain.media.MediaOwner",0,0,7,1
"me.umov.syncmedia.domain.media.Media",0,0,8,0
"me.umov.syncmedia.domain.mediapart.MediaPart",0,0,6,1
"me.umov.syncmedia.domain.mediapart.MediaPartContent",0,0,1,1
"me.umov.syncmedia.anticorruption.media.MediaOwnerConverterImpl",10,8,0,10
"me.umov.syncmedia.application.api.media.MediaAssemblerController",11,1,0,3
"me.umov.syncmedia.application.api.mediapart.MediaPartController",13,3,0,4
"me.umov.syncmedia.application.authentication.AuthenticationByLogin",8,4,0,6
"me.umov.syncmedia.infrastructure.activityhistoryitem.ActivityHistoryItem",3,0,0,0
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository",4,2,0,3
"me.umov.syncmedia.domain.media.MediaAssembler",3,0,0,2
"me.umov.syncmedia.domain.mediapart.TemporaryMediaPartCleaner",2,0,0,1
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMediaDao",6,0,2,1
"me.umov.syncmedia.application.authentication.AuthenticationService",6,1,0,2
"me.umov.syncmedia.infrastructure.activityhistory.ActivityHistory",3,0,1,0
"me.umov.syncmedia.application.authentication.AuthenticationInterceptor",6,0,1,2
"me.umov.syncmedia.application.eventlistener.mediaassembled.CreateFeedScheduleAction",7,4,0,6
"me.umov.syncmedia.domain.mediapart.MediaPartMetadata",0,0,1,0
"me.umov.syncmedia.infrastructure.agent.Agent",1,0,4,0
"me.umov.syncmedia.infrastructure.activityhistorymedia.TemporaryMediaPartsMerger",4,1,0,3
"me.umov.syncmedia.anticorruption.media.ActivityHistoryMediaConverterImpl",5,4,0,5
"me.umov.syncmedia.application.version.VersionController",4,0,0,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.UpdateMediaViewerLinkAction",7,4,0,5
"me.umov.syncmedia.application.authentication.UserData",4,0,1,0
"me.umov.syncmedia.application.authentication.AuthenticationByToken",6,2,0,3
"me.umov.syncmedia.application.eventlistener.mediaassembled.CleanTemporaryMediaAction",6,3,0,4
"me.umov.syncmedia.domain.media.MediaMetadata",0,0,3,0
"me.umov.syncmedia.anticorruption.media.FeedScheduleConverterImpl",4,3,0,4
"me.umov.syncmedia.anticorruption.mediapart.TemporaryMediaConverterImpl",4,3,0,4
"me.umov.syncmedia.application.configuration.InterceptorConfig",6,2,0,3
"me.umov.syncmedia.application.interceptor.AfterRequestCompletionInterceptor",6,0,1,2
"me.umov.syncmedia.infrastructure.mediaviewer.MediaViewerDao",6,1,1,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.UpdateIntegrationFlagAction",6,3,0,4
"me.umov.syncmedia.infrastructure.client.Client",1,0,1,0
"me.umov.syncmedia.infrastructure.activityhistoryitem.ActivityHistoryItemDao",7,0,2,1
"me.umov.syncmedia.anticorruption.mediapart.MediaPartConverterImpl",6,5,0,6
"me.umov.syncmedia.domain.mediapart.MediaPartManager",2,0,0,1
"me.umov.syncmedia.infrastructure.activityhistory.ActivityHistoryDao",6,0,2,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.masterdb.MasterDbActivityHistoryMediaDao",4,1,1,2
"me.umov.syncmedia.domain.media.MediaAssembledEvent",1,0,5,1
"me.umov.syncmedia.domain.mediapart.InconsistentMediaPartException",0,0,3,1
"me.umov.syncmedia.infrastructure.feedschedule.FeedScheduleDao",4,0,1,1
"me.umov.syncmedia.infrastructure.agent.AgentDao",3,0,2,1
"me.umov.syncmedia.SyncMediaApplication",2,0,0,0
"me.umov.syncmedia.domain.mediapart.MediaPartRepository",0,0,1,0
"me.umov.syncmedia.application.authentication.AuthenticationMode",2,1,2,1
"me.umov.syncmedia.application.authentication.UnauthorizedRequestException",0,0,2,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.mediadb.MediaDbActivityHistoryMediaDao",3,1,1,2
