"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMedia",93,21,21,21,4,0,3,1,10
"me.umov.syncmedia.application.api.media.MediaAssemblerRequest",72,17,17,17,2,0,1,0,8
"me.umov.syncmedia.application.api.mediapart.SaveMediaPartRequest",72,17,17,17,2,0,1,0,8
"me.umov.syncmedia.infrastructure.configuration.MasterDbConfiguration",64,5,3,5,12,0,0,2,1
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMedia",61,13,13,13,2,0,3,0,7
"me.umov.syncmedia.infrastructure.configuration.MediaDbConfiguration",60,5,3,5,12,0,0,2,1
"me.umov.syncmedia.infrastructure.activityhistorymedia.ActivityHistoryMediaRepository",58,6,3,8,10,7,0,9,5
"me.umov.syncmedia.application.api.error.ErrorHandlerController",55,6,6,6,13,6,0,7,1
"me.umov.syncmedia.application.api.response.GeneralResponse",54,10,10,10,0,0,7,0,6
"me.umov.syncmedia.infrastructure.feedschedule.FeedSchedule",53,11,11,11,2,0,3,0,6
"me.umov.syncmedia.domain.media.MediaOwner",50,11,9,12,0,0,7,1,6
"me.umov.syncmedia.domain.media.Media",46,12,12,12,0,0,8,0,4
"me.umov.syncmedia.domain.mediapart.MediaPart",44,11,11,11,0,0,6,1,5
"me.umov.syncmedia.domain.mediapart.MediaPartContent",43,8,4,11,0,0,1,1,3
"me.umov.syncmedia.anticorruption.media.MediaOwnerConverterImpl",39,3,1,5,10,8,0,10,3
"me.umov.syncmedia.application.api.media.MediaAssemblerController",39,3,1,3,11,1,0,3,3
"me.umov.syncmedia.application.api.mediapart.MediaPartController",37,2,1,2,13,3,0,4,3
"me.umov.syncmedia.application.authentication.AuthenticationByLogin",34,2,2,3,8,4,0,6,4
"me.umov.syncmedia.infrastructure.activityhistoryitem.ActivityHistoryItem",33,5,5,5,3,0,0,0,5
"me.umov.syncmedia.infrastructure.temporarymedia.DataBaseMediaPartRepository",33,5,5,5,4,2,0,3,2
"me.umov.syncmedia.domain.media.MediaAssembler",31,3,1,5,3,0,0,2,2
"me.umov.syncmedia.domain.mediapart.TemporaryMediaPartCleaner",29,3,1,6,2,0,0,1,1
"me.umov.syncmedia.infrastructure.temporarymedia.TemporaryMediaDao",28,6,6,6,6,0,2,1,0
"me.umov.syncmedia.application.authentication.AuthenticationService",28,1,1,4,6,1,0,2,2
"me.umov.syncmedia.infrastructure.activityhistory.ActivityHistory",27,3,3,3,3,0,1,0,5
"me.umov.syncmedia.application.authentication.AuthenticationInterceptor",26,2,1,4,6,0,1,2,1
"me.umov.syncmedia.application.eventlistener.mediaassembled.CreateFeedScheduleAction",26,2,1,3,7,4,0,6,2
"me.umov.syncmedia.domain.mediapart.MediaPartMetadata",25,5,5,5,0,0,1,0,4
"me.umov.syncmedia.infrastructure.agent.Agent",24,4,4,4,1,0,4,0,3
"me.umov.syncmedia.infrastructure.activityhistorymedia.TemporaryMediaPartsMerger",24,2,1,3,4,1,0,3,0
"me.umov.syncmedia.anticorruption.media.ActivityHistoryMediaConverterImpl",24,1,1,1,5,4,0,5,1
"me.umov.syncmedia.application.version.VersionController",23,3,3,3,4,0,0,1,2
"me.umov.syncmedia.application.eventlistener.mediaassembled.UpdateMediaViewerLinkAction",23,1,1,2,7,4,0,5,2
"me.umov.syncmedia.application.authentication.UserData",21,3,3,3,4,0,1,0,2
"me.umov.syncmedia.application.authentication.AuthenticationByToken",21,2,2,2,6,2,0,3,2
"me.umov.syncmedia.application.eventlistener.mediaassembled.CleanTemporaryMediaAction",21,1,1,2,6,3,0,4,1
"me.umov.syncmedia.domain.media.MediaMetadata",20,4,4,4,0,0,3,0,3
"me.umov.syncmedia.anticorruption.media.FeedScheduleConverterImpl",19,1,1,1,4,3,0,4,2
