"method","loc","cyclo","calls","nbd","param"
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.toString()",43,10,40,1,0
"com.trevisan.servletfotoumobile.dao.ActivityHistoryDao.getHistoryId(Connection connection, ConnectionAttributes attributes)",35,5,22,2,2
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.savePhotoPart(DataBaseConnection databaseConnection, ConnectionAttributes attributes, ConnectionAttributesDao connectionAttributesDao, HttpServletRequest request, String requestId)",43,4,39,3,5
"com.trevisan.servletfotoumobile.database.DataBaseConnection.getConnection()",36,4,10,3,0
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.getCompletePhoto(Connection connection, ConnectionAttributes attributes)",34,4,21,3,2
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.isValidChecksum(long receivedChecksum, byte[] photoPart)",10,4,1,3,2
"com.trevisan.servletfotoumobile.dao.ActivityHistoryDao.getActivityHistoryIdByFieldHistoryId(Connection connection, long fieldHistoryId)",29,4,8,2,2
"com.trevisan.servletfotoumobile.dao.ActivityHistoryDao.isCreateScheduleFeed(Long activityId, Long clientId, Connection connection)",26,4,8,2,3
"com.trevisan.servletfotoumobile.dao.AbstractDao.executeQuery(Connection connection, String query)",26,4,5,2,2
"com.trevisan.servletfotoumobile.dao.AgentDao.getAgentIdByToken(Connection connection, String token)",28,4,14,1,2
"com.trevisan.servletfotoumobile.dao.ClientDao.getClientId(Connection connection, ConnectionAttributes attributes)",19,4,14,1,2
"com.trevisan.servletfotoumobile.dao.AgentDao.getAgentId(Connection connection, long clientId, String agentUsername)",19,4,12,1,3
"com.trevisan.servletfotoumobile.application.MediaManager.execute(HttpServletRequest request, int actionType, String requestId)",41,3,17,2,3
"com.trevisan.servletfotoumobile.dao.SynchronismLogDao.insertLog(Connection connection, SynchronismLog log)",30,3,31,2,2
"com.trevisan.servletfotoumobile.dao.ActivityHistoryPhotoDao.getPicViewerLink(Connection connection, long photoId, long clientId)",22,3,8,2,3
"com.trevisan.servletfotoumobile.dao.ActivityHistoryPhotoDao.getPhotoId(Connection connection, long fieldHistoryId)",22,3,8,2,2
"com.trevisan.servletfotoumobile.dao.ActivityHistoryPhotoDao.getNextMediaId(Connection connection)",21,3,8,2,1
"com.trevisan.servletfotoumobile.dao.ActivityHistoryPhotoDao.containsActivityHistoryPhoto(Connection connection, ConnectionAttributes attributes, long historyId)",20,3,9,2,3
"com.trevisan.servletfotoumobile.application.MediaManager.validateMedia(Connection mergeConnection, long historyId, byte[] photo)",11,3,1,2,3
"com.trevisan.servletfotoumobile.dao.SynchronismErrorLogDao.getErrorDetails(final SynchronismErrorLog log)",10,3,13,2,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.deletePhotoPart(final String photoNumber, final String taskId, final String activityId, final String photoPart, boolean imageByFieldImage, String identifier)",44,3,55,1,6
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.deletePhoto(Connection connection, ConnectionAttributes attributes)",13,2,10,3,2
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.mergePhotoParts(List<byte[]> photoParts, int photoSize)",13,2,4,3,2
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.deletePhotoPart(Connection connection, ConnectionAttributes attributes)",12,2,11,3,2
"com.trevisan.servletfotoumobile.database.DataBaseConnection.close(final ResultSet rs)",10,2,4,3,1
"com.trevisan.servletfotoumobile.database.DataBaseConnection.closeConnection()",10,2,4,3,0
"com.trevisan.servletfotoumobile.database.DataBaseConnection.close(final Statement st)",9,2,4,3,1
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.calculateChecksum(byte[] photoPart)",4,2,0,3,1
