"type","dep","i-dep","fan-in","fan-out"
"com.trevisan.servletfotoumobile.database.query.QueriesFactory",2,2,9,6
"com.trevisan.servletfotoumobile.application.MediaManager",30,24,2,27
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao",17,7,2,13
"com.trevisan.servletfotoumobile.model.ConnectionAttributes",0,0,10,4
"com.trevisan.servletfotoumobile.dao.ActivityHistoryDao",9,4,1,5
"com.trevisan.servletfotoumobile.database.DataBaseConnection",9,2,4,5
"com.trevisan.servletfotoumobile.dao.ActivityHistoryPhotoDao",8,3,1,4
"com.trevisan.servletfotoumobile.model.SynchronismLog",1,1,4,1
"com.trevisan.servletfotoumobile.dao.ConnectionAttributesDao",6,2,1,6
"com.trevisan.servletfotoumobile.database.table.SynchronismLogTable",0,0,1,1
"com.trevisan.servletfotoumobile.database.table.ActivityHistoryPhotoTable",0,0,1,1
"com.trevisan.servletfotoumobile.database.table.SynchronismErrorLogTable",0,0,1,1
"com.trevisan.servletfotoumobile.model.SynchronismErrorLog",1,1,2,1
"com.trevisan.servletfotoumobile.model.Result",0,0,4,1
"com.trevisan.servletfotoumobile.service.ResultService",4,2,10,4
"com.trevisan.servletfotoumobile.model.Agent",0,0,3,2
"com.trevisan.servletfotoumobile.dao.AgentDao",9,4,2,4
"com.trevisan.servletfotoumobile.util.LogManager",6,1,3,6
"com.trevisan.servletfotoumobile.database.table.Tables",0,0,1,0
"com.trevisan.servletfotoumobile.application.RequestLog",9,7,2,9
"com.trevisan.servletfotoumobile.dao.SynchronismLogDao",6,3,5,7
"com.trevisan.servletfotoumobile.database.table.TemporaryPhotoTable",0,0,1,1
"com.trevisan.servletfotoumobile.dao.SynchronismErrorLogDao",7,3,1,7
"com.trevisan.servletfotoumobile.application.Version",9,3,2,5
"com.trevisan.servletfotoumobile.database.table.ActivityHistoryTable",0,0,1,1
"com.trevisan.servletfotoumobile.database.table.FieldHistoryTable",0,0,1,1
"com.trevisan.servletfotoumobile.application.SaveMediaPart",9,1,0,2
"com.trevisan.servletfotoumobile.application.MountMedia",9,1,0,2
"com.trevisan.servletfotoumobile.application.RequestLogByLogin",9,8,1,10
"com.trevisan.servletfotoumobile.dao.AbstractDao",5,1,2,1
"com.trevisan.servletfotoumobile.database.table.GenericTable",1,0,8,1
"com.trevisan.servletfotoumobile.util.CalendarUtil",3,0,2,4
"com.trevisan.servletfotoumobile.dao.ClientDao",7,3,1,3
"com.trevisan.servletfotoumobile.dao.ScheduleFeedDao",4,1,1,4
"com.trevisan.servletfotoumobile.database.table.AgentTable",0,0,1,1
"com.trevisan.servletfotoumobile.application.RequestLogByToken",8,7,1,8
"com.trevisan.servletfotoumobile.database.table.ClientTable",0,0,1,1
"com.trevisan.servletfotoumobile.application.RequestLogFactory",4,3,1,3
"com.trevisan.servletfotoumobile.exception.UMovException",1,1,12,2
"com.trevisan.servletfotoumobile.database.UmovmeDatabaseConnection",1,0,6,1
"com.trevisan.servletfotoumobile.database.MediaDBConnection",1,0,1,1
"com.trevisan.servletfotoumobile.util.HttpUtils",1,0,1,0
"com.trevisan.servletfotoumobile.exception.ResultSetNotFoundException",1,1,3,2
"com.trevisan.servletfotoumobile.exception.AuthenticationException",1,1,6,2
"com.trevisan.servletfotoumobile.exception.AgentNotFoundException",1,1,1,2
"com.trevisan.servletfotoumobile.exception.ClientNotFoudException",1,1,3,2
"com.trevisan.servletfotoumobile.exception.ActivityHistoryNotFoundException",1,1,2,2
"com.trevisan.servletfotoumobile.exception.DataBaseException",1,1,5,2
"com.trevisan.servletfotoumobile.exception.ActivityHistoryPhotoRepeatedException",1,1,2,2
"com.trevisan.servletfotoumobile.exception.EmptyPhotoException",1,1,1,2
"com.trevisan.servletfotoumobile.util.Utils",0,0,1,0
"com.trevisan.servletfotoumobile.model.UMovResponses",0,0,2,0
