"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"com.trevisan.servletfotoumobile.database.query.QueriesFactory",374,25,24,32,2,2,9,6,2
"com.trevisan.servletfotoumobile.application.MediaManager",223,17,3,26,30,24,2,27,19
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao",137,8,4,21,17,7,2,13,2
"com.trevisan.servletfotoumobile.model.ConnectionAttributes",131,27,27,36,0,0,10,4,13
"com.trevisan.servletfotoumobile.dao.ActivityHistoryDao",123,6,6,19,9,4,1,5,0
"com.trevisan.servletfotoumobile.database.DataBaseConnection",109,10,10,17,9,2,4,5,3
"com.trevisan.servletfotoumobile.dao.ActivityHistoryPhotoDao",107,5,5,14,8,3,1,4,0
"com.trevisan.servletfotoumobile.model.SynchronismLog",84,21,21,21,1,1,4,1,12
"com.trevisan.servletfotoumobile.dao.ConnectionAttributesDao",72,5,3,10,6,2,1,6,0
"com.trevisan.servletfotoumobile.database.table.SynchronismLogTable",66,13,13,13,0,0,1,1,12
"com.trevisan.servletfotoumobile.database.table.ActivityHistoryPhotoTable",63,13,13,13,0,0,1,1,11
"com.trevisan.servletfotoumobile.database.table.SynchronismErrorLogTable",61,12,12,12,0,0,1,1,11
"com.trevisan.servletfotoumobile.model.SynchronismErrorLog",59,15,15,15,1,1,2,1,7
"com.trevisan.servletfotoumobile.model.Result",55,14,13,16,0,0,4,1,7
"com.trevisan.servletfotoumobile.service.ResultService",55,6,6,8,4,2,10,4,0
"com.trevisan.servletfotoumobile.model.Agent",54,14,13,15,0,0,3,2,6
"com.trevisan.servletfotoumobile.dao.AgentDao",50,2,2,8,9,4,2,4,0
"com.trevisan.servletfotoumobile.util.LogManager",47,7,5,7,6,1,3,6,2
"com.trevisan.servletfotoumobile.database.table.Tables",45,9,9,9,0,0,1,0,8
"com.trevisan.servletfotoumobile.application.RequestLog",45,5,2,5,9,7,2,9,5
"com.trevisan.servletfotoumobile.dao.SynchronismLogDao",45,2,1,5,6,3,5,7,0
"com.trevisan.servletfotoumobile.database.table.TemporaryPhotoTable",44,9,9,9,0,0,1,1,7
"com.trevisan.servletfotoumobile.dao.SynchronismErrorLogDao",44,2,1,5,7,3,1,7,0
"com.trevisan.servletfotoumobile.application.Version",41,4,1,5,9,3,2,5,3
"com.trevisan.servletfotoumobile.database.table.ActivityHistoryTable",39,8,8,8,0,0,1,1,6
"com.trevisan.servletfotoumobile.database.table.FieldHistoryTable",34,7,7,7,0,0,1,1,5
"com.trevisan.servletfotoumobile.application.SaveMediaPart",33,3,1,3,9,1,0,2,1
"com.trevisan.servletfotoumobile.application.MountMedia",32,3,1,3,9,1,0,2,1
"com.trevisan.servletfotoumobile.application.RequestLogByLogin",30,3,1,3,9,8,1,10,3
"com.trevisan.servletfotoumobile.dao.AbstractDao",27,1,0,4,5,1,2,1,0
"com.trevisan.servletfotoumobile.database.table.GenericTable",26,6,2,6,1,0,8,1,3
"com.trevisan.servletfotoumobile.util.CalendarUtil",25,5,5,5,3,0,2,4,0
"com.trevisan.servletfotoumobile.dao.ClientDao",25,1,1,4,7,3,1,3,0
"com.trevisan.servletfotoumobile.dao.ScheduleFeedDao",25,1,1,2,4,1,1,4,0
"com.trevisan.servletfotoumobile.database.table.AgentTable",24,5,5,5,0,0,1,1,3
"com.trevisan.servletfotoumobile.application.RequestLogByToken",24,2,1,2,8,7,1,8,1
"com.trevisan.servletfotoumobile.database.table.ClientTable",19,4,4,4,0,0,1,1,2
"com.trevisan.servletfotoumobile.application.RequestLogFactory",19,2,2,3,4,3,1,3,2
"com.trevisan.servletfotoumobile.exception.UMovException",14,3,3,3,1,1,12,2,1
"com.trevisan.servletfotoumobile.database.UmovmeDatabaseConnection",13,3,3,3,1,0,6,1,1
"com.trevisan.servletfotoumobile.database.MediaDBConnection",13,3,3,3,1,0,1,1,1
"com.trevisan.servletfotoumobile.util.HttpUtils",10,1,1,2,1,0,1,0,1
"com.trevisan.servletfotoumobile.exception.ResultSetNotFoundException",9,1,1,1,1,1,3,2,1
"com.trevisan.servletfotoumobile.exception.AuthenticationException",9,1,1,1,1,1,6,2,1
"com.trevisan.servletfotoumobile.exception.AgentNotFoundException",9,1,1,1,1,1,1,2,1
"com.trevisan.servletfotoumobile.exception.ClientNotFoudException",8,1,1,1,1,1,3,2,0
"com.trevisan.servletfotoumobile.exception.ActivityHistoryNotFoundException",8,1,1,1,1,1,2,2,0
"com.trevisan.servletfotoumobile.exception.DataBaseException",8,1,1,1,1,1,5,2,0
"com.trevisan.servletfotoumobile.exception.ActivityHistoryPhotoRepeatedException",8,1,1,1,1,1,2,2,0
"com.trevisan.servletfotoumobile.exception.EmptyPhotoException",8,1,1,1,1,1,1,2,0
"com.trevisan.servletfotoumobile.util.Utils",6,1,1,1,0,0,1,0,0
"com.trevisan.servletfotoumobile.model.UMovResponses",6,0,0,1,0,0,2,0,3
