"method","loc","cyclo","calls","nbd","param"
"me.umov.ureport.controller.ReportController.loadParameterForFilterStructure(ModelAndView model, ModelMap map, Report report, PhotoBookReportParameters photoBookReportParameters)",82,23,71,2,4
"me.umov.ureport.controller.ReportController.loadParameterValues(ModelAndView model, ModelMap map, Report report, PhotoBookReportParameters photoBookReportParameters)",59,15,51,2,4
"me.umov.ureport.model.report.PhotoBookReportParameters.validateFilters()",24,13,7,2,0
"me.umov.ureport.model.dbview.ResponsibleTeamRecursiveViewPK.equals(Object obj)",20,10,4,1,1
"me.umov.ureport.model.dbview.TeamAgentRecursiveViewPK.equals(Object obj)",20,10,4,1,1
"me.umov.ureport.controller.ReportController.buildModel(ModelAndView model, ModelMap map, Report report, PhotoBookReportParameters photoBookReportParameters, List<Team> teams, List<Agent> agents, List<LocalClass> localClasses, List<Local> locals, List<Activity> activities, List<ActivitySection> activitySections, List<ActivityField> activityFields, List<Filter> filters, List<ItemGroup> itemGroups, List<ItemSubGroup> itemSubGroups, List<Item> items)",44,8,61,2,15
"me.umov.ureport.dao.PhotoBookDao.getActivitiesToFilter(PhotoBookReportParameters photoBookReportParameters)",15,6,12,2,1
"me.umov.ureport.service.dbview.ActivityService.findActiveBy(String description)",20,5,13,2,1
"me.umov.ureport.service.dbview.ActivityFieldService.findActiveRelatedByActivity(List<Long> activityIds, List<String> filterTypes)",35,5,37,1,2
"me.umov.ureport.service.report.MediaService.processApproval(MediaTagsDTO mediaTagsDTO)",15,5,17,1,1
"me.umov.ureport.service.report.MediaService.processRating(MediaTagsDTO mediaTagsDTO)",14,5,17,1,1
"me.umov.ureport.controller.ReportController.view(@PathVariable(value='id') Long id, ModelMap map)",27,4,19,2,2
"me.umov.ureport.model.report.PhotoBookReportParameters.validateContent(User user)",9,4,6,2,1
"me.umov.ureport.service.report.FilterService.entityToDTO(Filter filter)",21,4,12,1,1
"me.umov.ureport.service.dbview.ActivityFieldService.findActiveByActivitySection(List<Long> activitySectionIds)",20,4,17,1,1
"me.umov.ureport.service.dbview.ActivitySectionService.findActiveByActivity(List<Long> activityIds)",19,4,15,1,1
"me.umov.ureport.service.dbview.AgentService.findActiveByTeam(List<Long> teamIds)",19,4,15,1,1
"me.umov.ureport.service.dbview.LocalService.findActiveByLocalClass(List<Long> localClassesIds)",19,4,15,1,1
"me.umov.ureport.model.report.PhotoBookDataDTO.equals(Object o)",20,4,17,0,1
"me.umov.ureport.model.report.ScheduledReport.equals(Object o)",17,4,11,0,1
"me.umov.ureport.model.dbview.Activity.equals(Object o)",8,4,5,0,1
"me.umov.ureport.model.dbview.Agent.equals(Object o)",8,4,5,0,1
"me.umov.ureport.model.dbview.LocalClass.equals(Object o)",8,4,5,0,1
"me.umov.ureport.controller.dto.multiselect.MultiSelectDTO.equals(Object o)",7,4,4,0,1
"me.umov.ureport.model.report.MediaTags.equals(Object o)",6,4,3,0,1
"me.umov.ureport.service.dbview.PhotoBookService.getPhotoBookData(Integer pagingSize, Integer lastImageLoaded, PhotoBookReportParameters photoBookReportParameters)",25,3,14,2,3
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByApprovalStatuses(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",15,3,10,2,2
"me.umov.ureport.interceptor.UserInterceptor.preHandle(final HttpServletRequest request, final HttpServletResponse response, final Object handler)",14,3,6,2,3
"me.umov.ureport.service.report.StatusService.connectToDBViewDB()",8,3,3,2,0
"me.umov.ureport.service.report.StatusService.connectToReportDB()",8,3,3,2,0
"me.umov.ureport.service.report.StatusService.getDatabasesStatus()",8,3,2,2,0
"me.umov.ureport.dao.PhotoBookDao.setupQueryOrderAndPaging(Integer pagingSize, Integer lastImageLoaded, PhotoBookReportParameters photoBookReportParameters, String sql)",7,3,2,2,4
"me.umov.ureport.service.dbview.AgentService.findActiveBy(String name, User user)",24,3,31,1,2
"me.umov.ureport.service.dbview.TeamService.findActiveBy(String description, User user)",21,3,21,1,2
"me.umov.ureport.service.AuthenticationService.authenticate(String authorization)",18,3,18,1,1
"me.umov.ureport.service.report.ReportService.allActiveBy(String name)",15,3,16,1,1
"me.umov.ureport.service.dbview.ActivityFieldService.findActiveBy(String description)",15,3,13,1,1
"me.umov.ureport.service.dbview.LocalService.findActiveBy(String description)",15,3,12,1,1
"me.umov.ureport.service.dbview.item.ItemGroupService.loadBy(String description)",15,3,11,1,1
"me.umov.ureport.service.dbview.item.ItemService.loadBy(String description)",15,3,11,1,1
"me.umov.ureport.service.dbview.item.ItemSubGroupService.loadBy(String description)",15,3,11,1,1
"me.umov.ureport.service.dbview.ActivitySectionService.findActiveBy(String description)",14,3,11,1,1
"me.umov.ureport.service.dbview.LocalClassService.findActiveBy(String description)",14,3,11,1,1
"me.umov.ureport.service.dbview.item.ItemService.loadBy(List<Long> itemSubgroupIds)",14,3,11,1,1
"me.umov.ureport.service.dbview.item.ItemSubGroupService.loadBy(List<Long> itemGroupIds)",14,3,11,1,1
"me.umov.ureport.dao.FilterDAO.save(Filter filter)",8,3,5,1,1
"me.umov.ureport.dao.ScheduledReportDAO.save(ScheduledReport scheduledReport)",8,3,5,1,1
"me.umov.ureport.model.dbview.Task.getTeams()",8,3,4,1,0
"me.umov.ureport.model.dbview.ResponsibleTeamRecursiveViewPK.hashCode()",7,3,2,1,0
"me.umov.ureport.model.dbview.TeamAgentRecursiveViewPK.hashCode()",7,3,2,1,0
"me.umov.ureport.controller.PresentationDownloadController.validateDownload(ScheduledReport scheduledReport)",4,3,1,1,1
"me.umov.ureport.model.dbview.Team.equals(Object o)",8,3,3,0,1
"me.umov.ureport.controller.ReportController.getPhotoBook(@Valid @ModelAttribute PhotoBookReportParameters photoBookReportParameters, ModelMap map)",34,2,35,2,2
"me.umov.ureport.controller.FilterController.editFilter(@PathVariable(value='id') Long id, ModelMap map)",26,2,15,2,2
"me.umov.ureport.dao.PhotoBookDao.setupQueryFilters(PhotoBookReportParameters photoBookReportParameters, String sql, AbstractPhotoBookSQLFilter sqlParam)",24,2,18,2,3
