"namespace","ca","ce","instability","abstractness","distance"
"me.umov.ureport.model.dbview",15,1,0.0625,0.0,0.9375
"me.umov.ureport.model.report",20,4,0.16666666666666666,0.0,0.8333333333333334
"me.umov.ureport.controller",0,11,1.0,0.0,0.0
"me.umov.ureport.exception",3,0,0.0,0.0,1.0
"me.umov.ureport.service.dbview",8,5,0.38461538461538464,0.0,0.6153846153846154
"me.umov.ureport.dao",6,3,0.3333333333333333,0.1111111111111111,0.5555555555555556
"me.umov.ureport.service.report",7,9,0.5625,0.0,0.4375
"me.umov.ureport.model.enums",0,0,0.0,0.0,1.0
"me.umov.ureport.interceptor",1,2,0.6666666666666666,0.0,0.33333333333333337
"me.umov.ureport.config.spring",0,1,1.0,0.0,0.0
"me.umov.ureport.controller.item",0,2,1.0,0.0,0.0
"me.umov.ureport.service.dbview.item",5,1,0.16666666666666666,0.0,0.8333333333333334
"me.umov.ureport",4,0,0.0,0.0,1.0
"me.umov.ureport.config.database.multitenant",0,1,1.0,0.0,0.0
"me.umov.ureport.config.database.dataSource",0,0,0.0,0.0,1.0
"me.umov.ureport.config.report",3,1,0.25,0.0,0.75
"me.umov.ureport.persistence.type",0,1,1.0,0.0,0.0
"me.umov.ureport.controller.dto.multiselect",10,2,0.16666666666666666,0.0,0.8333333333333334
"me.umov.ureport.model",28,1,0.034482758620689655,0.0,0.9655172413793104
"me.umov.ureport.config.database.converter",2,0,0.0,0.0,1.0
"me.umov.ureport.service",2,3,0.6,0.0,0.4
"me.umov.ureport.service.aws",1,1,0.5,0.0,0.5
"me.umov.ureport.types",0,0,0.0,0.0,1.0
"me.umov.ureport.model.aws",2,0,0.0,0.0,1.0
