"namespace","noc","nac"
"me.umov.ureport.model.dbview",19,0
"me.umov.ureport.model.report",18,0
"me.umov.ureport.controller",13,0
"me.umov.ureport.exception",10,0
"me.umov.ureport.service.dbview",9,0
"me.umov.ureport.dao",9,1
"me.umov.ureport.service.report",7,0
"me.umov.ureport.model.enums",5,0
"me.umov.ureport.interceptor",3,0
"me.umov.ureport.config.spring",3,0
"me.umov.ureport.controller.item",3,0
"me.umov.ureport.service.dbview.item",3,0
"me.umov.ureport",2,0
"me.umov.ureport.config.database.multitenant",2,0
"me.umov.ureport.config.database.dataSource",2,0
"me.umov.ureport.config.report",2,0
"me.umov.ureport.persistence.type",2,0
"me.umov.ureport.controller.dto.multiselect",2,0
"me.umov.ureport.model",2,0
"me.umov.ureport.config.database.converter",1,0
"me.umov.ureport.service",1,0
"me.umov.ureport.service.aws",1,0
"me.umov.ureport.types",1,0
"me.umov.ureport.model.aws",1,0
