"type","dep","i-dep","fan-in","fan-out"
"me.umov.ureport.model.report.PhotoBookReportParameters",20,8,3,10
"me.umov.ureport.controller.ReportController",34,8,0,10
"me.umov.ureport.dao.PhotoBookDao",22,3,2,11
"me.umov.ureport.model.report.PhotoBookDataDTO",3,0,2,1
"me.umov.ureport.controller.FilterController",32,8,0,10
"me.umov.ureport.model.dbview.Task",7,1,0,4
"me.umov.ureport.model.dbview.HistoryValue",4,0,2,0
"me.umov.ureport.model.report.ScheduledReport",7,1,4,3
"me.umov.ureport.dao.PhotoBookSQLFilter",3,0,2,1
"me.umov.ureport.model.report.FilterStructureDTO",13,1,0,2
"me.umov.ureport.model.report.PhotoBookDataRelatedFieldsDTO",0,0,0,0
"me.umov.ureport.service.dbview.ActivityFieldService",15,2,1,5
"me.umov.ureport.service.report.FilterService",9,3,2,5
"me.umov.ureport.model.dbview.History",4,0,0,0
"me.umov.ureport.service.dbview.AgentService",16,5,1,7
"me.umov.ureport.model.User",7,0,27,3
"me.umov.ureport.dao.MediaDAO",16,2,1,5
"me.umov.ureport.dao.FilterDAO",14,5,1,6
"me.umov.ureport.service.dbview.ActivitySectionService",11,1,1,3
"me.umov.ureport.service.report.MediaService",11,6,2,7
"me.umov.ureport.service.dbview.LocalService",10,1,1,3
"me.umov.ureport.model.dbview.Agent",8,0,2,1
"me.umov.ureport.persistence.type.JSONParametersType",14,1,0,4
"me.umov.ureport.model.report.Filter",4,0,2,1
"me.umov.ureport.service.dbview.TeamService",13,3,1,4
"me.umov.ureport.model.report.MediaTags",6,0,5,2
"me.umov.ureport.persistence.type.JSONTagsType",14,1,0,4
"me.umov.ureport.service.report.ScheduledReportService",14,8,3,9
"me.umov.ureport.config.database.dataSource.DbViewDatabaseConfig",23,0,0,2
"me.umov.ureport.service.dbview.ActivityService",15,2,1,4
"me.umov.ureport.dao.PhotoBookRelatedFieldsSQLFilter",3,0,0,1
"me.umov.ureport.model.report.Limits",1,0,2,1
"me.umov.ureport.service.dbview.LocalClassService",12,2,1,3
"me.umov.ureport.service.dbview.item.ItemSubGroupService",12,2,3,4
"me.umov.ureport.model.report.Report",2,0,3,0
"me.umov.ureport.config.database.multitenant.MultiTenantProvider",8,0,0,3
"me.umov.ureport.service.dbview.PhotoBookService",8,4,0,5
"me.umov.ureport.service.dbview.item.ItemService",11,1,3,3
"me.umov.ureport.model.dbview.ResponsibleTeamRecursiveViewPK",3,0,0,2
"me.umov.ureport.model.dbview.TeamAgentRecursiveViewPK",3,0,0,2
"me.umov.ureport.model.dbview.Team",5,0,2,0
"me.umov.ureport.controller.PresentationDownloadController",17,3,0,5
"me.umov.ureport.dao.ScheduledReportDAO",13,2,1,3
"me.umov.ureport.model.dbview.Activity",3,0,1,1
"me.umov.ureport.service.AuthenticationService",10,4,2,4
"me.umov.ureport.model.dbview.LocalClass",4,0,1,1
"me.umov.ureport.service.report.StatusService",9,3,1,4
"me.umov.ureport.dao.FilterPermissionDAO",12,3,1,3
"me.umov.ureport.model.dbview.ActivityField",1,0,2,0
"me.umov.ureport.AppStarter",15,0,0,1
"me.umov.ureport.controller.ActivityFieldController",10,3,0,4
"me.umov.ureport.model.report.FilterDTO",2,0,0,1
