"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.ureport.model.report.PhotoBookReportParameters",477,122,122,141,20,8,3,10,54
"me.umov.ureport.controller.ReportController",437,16,10,65,34,8,0,10,17
"me.umov.ureport.dao.PhotoBookDao",324,26,6,54,22,3,2,11,5
"me.umov.ureport.model.report.PhotoBookDataDTO",196,41,41,44,3,0,2,1,19
"me.umov.ureport.controller.FilterController",193,8,4,10,32,8,0,10,16
"me.umov.ureport.model.dbview.Task",160,33,33,39,7,1,0,4,14
"me.umov.ureport.model.dbview.HistoryValue",156,31,31,44,4,0,2,0,8
"me.umov.ureport.model.report.ScheduledReport",148,29,29,32,7,1,4,3,12
"me.umov.ureport.dao.PhotoBookSQLFilter",146,40,40,40,3,0,2,1,20
"me.umov.ureport.model.report.FilterStructureDTO",145,31,31,31,13,1,0,2,32
"me.umov.ureport.model.report.PhotoBookDataRelatedFieldsDTO",121,31,31,31,0,0,0,0,14
"me.umov.ureport.service.dbview.ActivityFieldService",113,5,5,14,15,2,1,5,2
"me.umov.ureport.service.report.FilterService",109,10,6,16,9,3,2,5,3
"me.umov.ureport.model.dbview.History",102,20,20,30,4,0,0,0,4
"me.umov.ureport.service.dbview.AgentService",92,5,5,10,16,5,1,7,1
"me.umov.ureport.model.User",91,19,18,21,7,0,27,3,8
"me.umov.ureport.dao.MediaDAO",86,7,7,8,16,2,1,5,2
"me.umov.ureport.dao.FilterDAO",83,4,4,9,14,5,1,6,2
"me.umov.ureport.service.dbview.ActivitySectionService",76,4,4,9,11,1,1,3,1
"me.umov.ureport.service.report.MediaService",75,7,5,16,11,6,2,7,3
"me.umov.ureport.service.dbview.LocalService",75,4,4,9,10,1,1,3,1
"me.umov.ureport.model.dbview.Agent",74,13,13,16,8,0,2,1,4
"me.umov.ureport.persistence.type.JSONParametersType",73,13,13,16,14,1,0,4,3
"me.umov.ureport.model.report.Filter",72,14,14,14,4,0,2,1,6
"me.umov.ureport.service.dbview.TeamService",72,3,3,5,13,3,1,4,1
"me.umov.ureport.model.report.MediaTags",70,14,14,17,6,0,5,2,4
"me.umov.ureport.persistence.type.JSONTagsType",67,11,11,14,14,1,0,4,3
"me.umov.ureport.service.report.ScheduledReportService",67,9,5,9,14,8,3,9,2
"me.umov.ureport.config.database.dataSource.DbViewDatabaseConfig",67,5,5,5,23,0,0,2,1
"me.umov.ureport.service.dbview.ActivityService",64,4,4,8,15,2,1,4,2
"me.umov.ureport.dao.PhotoBookRelatedFieldsSQLFilter",61,16,16,16,3,0,0,1,7
"me.umov.ureport.model.report.Limits",60,13,13,13,1,0,2,1,5
"me.umov.ureport.service.dbview.LocalClassService",59,3,3,5,12,2,1,3,1
"me.umov.ureport.service.dbview.item.ItemSubGroupService",57,3,3,7,12,2,3,4,1
"me.umov.ureport.model.report.Report",56,12,12,12,2,0,3,0,5
"me.umov.ureport.config.database.multitenant.MultiTenantProvider",56,8,8,8,8,0,0,3,1
"me.umov.ureport.service.dbview.PhotoBookService",56,4,3,7,8,4,0,5,5
"me.umov.ureport.service.dbview.item.ItemService",56,3,3,7,11,1,3,3,1
"me.umov.ureport.model.dbview.ResponsibleTeamRecursiveViewPK",53,6,6,17,3,0,0,2,3
"me.umov.ureport.model.dbview.TeamAgentRecursiveViewPK",53,6,6,17,3,0,0,2,3
"me.umov.ureport.model.dbview.Team",52,10,10,12,5,0,2,0,3
"me.umov.ureport.controller.PresentationDownloadController",52,4,1,6,17,3,0,5,3
"me.umov.ureport.dao.ScheduledReportDAO",52,3,3,5,13,2,1,3,1
"me.umov.ureport.model.dbview.Activity",51,10,10,13,3,0,1,1,4
"me.umov.ureport.service.AuthenticationService",51,3,3,6,10,4,2,4,4
"me.umov.ureport.model.dbview.LocalClass",50,10,10,13,4,0,1,1,3
"me.umov.ureport.service.report.StatusService",50,4,1,10,9,3,1,4,3
"me.umov.ureport.dao.FilterPermissionDAO",49,4,4,4,12,3,1,3,2
"me.umov.ureport.model.dbview.ActivityField",48,12,12,12,1,0,2,0,5
"me.umov.ureport.AppStarter",48,4,4,5,15,0,0,1,2
"me.umov.ureport.controller.ActivityFieldController",45,6,5,6,10,3,0,4,1
"me.umov.ureport.model.report.FilterDTO",44,11,11,11,2,0,0,1,5
"me.umov.ureport.model.dbview.ItemSubGroup",44,10,10,10,1,0,1,0,4
"me.umov.ureport.model.dbview.Local",44,10,10,10,2,0,2,0,4
"me.umov.ureport.model.report.Environment",44,9,9,9,4,0,5,1,4
"me.umov.ureport.config.database.dataSource.ReportDatabaseConfig",44,4,4,4,13,0,0,1,0
"me.umov.ureport.service.report.ReportService",44,3,3,5,14,3,2,4,3
"me.umov.ureport.service.dbview.HistoryValueService",43,3,3,3,12,2,1,3,1
"me.umov.ureport.service.dbview.item.ItemGroupService",43,2,2,4,12,2,3,3,1
"me.umov.ureport.model.dbview.Item",41,10,10,10,1,0,2,0,4
"me.umov.ureport.controller.LoginController",41,4,4,5,9,2,0,3,2
"me.umov.ureport.model.report.MediaTagsDTO",40,11,11,11,0,0,2,0,3
"me.umov.ureport.model.dbview.ActivitySection",40,10,10,10,1,0,2,0,4
"me.umov.ureport.controller.AgentController",40,4,4,4,10,3,0,3,2
"me.umov.ureport.model.dbview.ItemGroup",38,8,8,8,4,0,2,0,3
"me.umov.ureport.service.report.LimitsService",38,2,2,3,14,4,1,4,2
"me.umov.ureport.dao.ReportDAO",38,1,1,1,17,4,1,4,2
"me.umov.ureport.model.UserLimits",37,10,10,10,1,1,2,1,3
"me.umov.ureport.model.dbview.TeamAgent",36,10,10,10,1,0,0,0,4
"me.umov.ureport.interceptor.UserInterceptor",36,2,2,4,10,2,1,3,3
"me.umov.ureport.model.report.FilterPermission",34,6,6,6,2,0,2,0,3
"me.umov.ureport.model.dbview.AgentActivity",33,6,6,6,2,0,0,0,3
"me.umov.ureport.interceptor.LocaleInterceptor",31,2,2,2,11,1,1,2,4
"me.umov.ureport.controller.ActivitySectionController",30,3,3,3,8,3,0,3,1
"me.umov.ureport.model.report.Tags",29,8,8,8,0,0,2,0,2
"me.umov.ureport.model.report.HistoryValueDTO",29,7,7,7,0,0,0,0,3
"me.umov.ureport.controller.LocalController",29,3,3,3,7,2,0,2,1
"me.umov.ureport.controller.dto.multiselect.MultiSelectDTO",28,5,5,8,1,0,10,1,2
"me.umov.ureport.controller.item.ItemSubGroupController",28,3,3,3,6,2,0,2,1
"me.umov.ureport.controller.item.ItemController",28,3,3,3,6,2,0,2,1
"me.umov.ureport.controller.TeamController",26,2,2,2,8,3,0,3,2
"me.umov.ureport.controller.StatusController",26,2,2,2,10,3,0,3,2
