"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.Push.equals(Object obj)",32,17,6,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.Notification.equals(Object obj)",25,13,5,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.APS.equals(Object obj)",22,11,4,1,1
"br.com.trevisantecnologia.umov.watcher.service.ScheduleService.populateSchedule(Schedule schedule, Feed feed, HistoryItem historyItem)",16,8,12,1,3
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleSendMailService.getSituationIds()",15,7,12,2,0
"br.com.trevisantecnologia.umov.watcher.service.ScheduleService.populateCustomField(Schedule schedule, Feed feed, HistoryItem historyItem)",25,7,19,1,3
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamAndroid.equals(Object obj)",15,7,3,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamIOS.equals(Object obj)",15,7,3,1,1
"br.com.trevisantecnologia.umov.watcher.mapping.EntityMapperFactory.getInstance(Entity entity)",20,7,16,0,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.FilterTasksToRun.shouldSaveSchedule(Task task, ClientSettings clientSettings)",17,6,12,3,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.shouldSaveSchedule(Schedule schedule)",17,6,12,3,1
"br.com.trevisantecnologia.umov.watcher.task.SendSmsTask.createUrl(ScheduleReportRequest scheduleReportRequest)",22,6,16,2,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.FinishScheduleBaseOnGPSService.verifyCondition(Schedule schedule)",8,6,15,1,1
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.validateSendEmail()",9,5,5,3,0
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.buildActivitiesIdsFilter()",8,5,9,3,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.buildTask(Object object)",12,5,12,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.OperationFactory.getOperation(FeedRuleMapping feedRuleMapping)",23,5,17,1,1
"br.com.trevisantecnologia.umov.watcher.eca.adapter.impl.InternalConnector.getLogContext(InputContext inputContext)",13,5,3,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.Push.hashCode()",10,5,4,1,0
"br.com.trevisantecnologia.umov.watcher.log.LogAppender.logByLevel(final LogLevel level, final String message, Logger logger, Throwable e)",17,5,5,0,4
"br.com.trevisantecnologia.umov.watcher.log.LogAppender.logByLevel(final LogLevel level, final String message, Logger logger)",17,5,5,0,3
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleServiceFactory.getInstance(AnalyzeScheduleContext scheduleReportRequest)",13,5,6,0,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleServiceFactory.getInstanceByScheduleSituation(ScheduleSituation scheduleSituation)",8,5,7,0,1
"br.com.trevisantecnologia.umov.watcher.feeder.aplication.EntityFeederRuleMappingService.feedEntries(ScheduleFeed scheduleFeed)",22,4,10,3,1
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldService.saveCustomFieldValues(ExecuteInformation executeInformation, List<EntityModel> entries, FeedRuleMapping feedRuleMapping, ItemFilterDTO itemFilterDTO)",10,4,8,3,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.findScheduleExceededExpectedDateWithHistories(Schedule schedule, AnalyzeScheduleContext context)",31,4,23,2,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.findScheduleExceededExpectedDateWithoutHistories(Schedule schedule, AnalyzeScheduleContext context)",29,4,22,2,2
"br.com.trevisantecnologia.umov.watcher.task.SchedulePhotoToUploadTask.run()",29,4,18,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.getConnectorResult(Result result)",27,4,42,2,1
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.processSchedule(ApiCallback apiCalback, List<Long> scheduleIdList)",12,4,13,2,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleSendMailService.processSchedule(Schedule schedule)",10,4,5,2,1
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.validateStatus(int statusCode, Schedule schedule, ApiCallback apiCalback)",9,4,7,2,3
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService.needToScheduleJob(ExportLayout exportLayout)",9,4,4,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.EntryFillerService.populate(FeedRuleMapping feedRuleMapping, T entry, ItemFilterDTO itemFilterDTO, ServiceDependencyFactory dependencyFactory)",7,4,9,2,4
"br.com.trevisantecnologia.umov.watcher.task.AnalyzeScheduleTask.shouldProcess(Event event, ContextScheduleType contextType)",7,4,5,2,2
"br.com.trevisantecnologia.umov.watcher.task.schedule.notification.ScheduleNotificationTask.sendRequest(ScheduleNotification notification)",26,4,9,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ItemFeeder.populateCustomField(Feed feed, HistoryItem filledFieldValue)",20,4,11,1,2
"br.com.trevisantecnologia.umov.watcher.task.SendTaskFactory.getInstance(ActionImpl actionImpl)",15,4,4,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter.RulesFactory.createRules(ScheduleNotification notification)",12,4,14,1,1
