"namespace","ca","ce","instability","abstractness","distance"
"br.com.trevisantecnologia.umov.watcher.model",143,3,0.02054794520547945,0.03225806451612903,0.9471939902783915
"br.com.trevisantecnologia.umov.watcher.dao.impl",45,9,0.16666666666666666,0.02702702702702703,0.8063063063063063
"br.com.trevisantecnologia.umov.watcher.types",2,1,0.3333333333333333,0.0,0.6666666666666667
"br.com.trevisantecnologia.umov.watcher.service",19,11,0.36666666666666664,0.09523809523809523,0.5380952380952382
"br.com.trevisantecnologia.umov.watcher.exception",32,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.task",14,16,0.5333333333333333,0.13333333333333333,0.33333333333333337
"br.com.trevisantecnologia.umov.watcher.monitor",2,3,0.6,0.09090909090909091,0.3090909090909091
"br.com.trevisantecnologia.umov.watcher.mapping",2,4,0.6666666666666666,0.36363636363636365,0.030303030303030276
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model",36,4,0.1,0.18181818181818182,0.7181818181818181
"br.com.trevisantecnologia.umov.watcher.serialize",5,1,0.16666666666666666,0.1,0.7333333333333334
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain",10,9,0.47368421052631576,0.6666666666666666,0.14035087719298245
"br.com.trevisantecnologia.umov.watcher.eca.connector.task",3,9,0.75,0.125,0.125
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port",17,4,0.19047619047619047,0.875,0.06547619047619047
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations",1,4,0.8,0.16666666666666666,0.033333333333333326
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param",1,2,0.6666666666666666,0.16666666666666666,0.16666666666666674
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions",2,3,0.6,0.16666666666666666,0.2333333333333334
"br.com.trevisantecnologia.umov.watcher.ioc.guice",2,5,0.7142857142857143,0.0,0.2857142857142857
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder",5,6,0.5454545454545454,0.2,0.25454545454545463
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria",4,4,0.5,0.2,0.30000000000000004
"br.com.trevisantecnologia.umov.watcher.io",14,3,0.17647058823529413,0.0,0.8235294117647058
"br.com.trevisantecnologia.umov.watcher.dao",48,3,0.058823529411764705,0.4,0.5411764705882353
"br.com.trevisantecnologia.umov.watcher.feeder.oldway",1,5,0.8333333333333334,0.25,0.08333333333333348
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler",1,4,0.8,0.25,0.050000000000000044
"br.com.trevisantecnologia.umov.watcher.log",4,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.builder",3,7,0.7,0.0,0.30000000000000004
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model",19,3,0.13636363636363635,0.0,0.8636363636363636
"br.com.trevisantecnologia.umov.watcher.http",4,4,0.5,0.0,0.5
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification",1,3,0.75,0.0,0.25
"br.com.trevisantecnologia.umov.watcher.template",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.interceptor",1,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.observer",3,2,0.4,0.5,0.09999999999999998
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification",4,5,0.5555555555555556,0.5,0.05555555555555558
"br.com.trevisantecnologia.umov.watcher.eca.action",7,2,0.2222222222222222,0.0,0.7777777777777778
"br.com.trevisantecnologia.umov.watcher.feeder.domain.exceptions",10,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.feeder.aplication",1,6,0.8571428571428571,0.0,0.1428571428571429
"br.com.trevisantecnologia.umov.watcher.validators",1,2,0.6666666666666666,0.5,0.16666666666666652
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush",9,4,0.3076923076923077,0.0,0.6923076923076923
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter",1,2,0.6666666666666666,0.0,0.33333333333333337
"br.com.trevisantecnologia.umov.watcher.monitor.schedule.notification",1,3,0.75,0.0,0.25
"br.com.trevisantecnologia.umov.watcher.task.schedule.notification",1,6,0.8571428571428571,0.0,0.1428571428571429
"br.com.trevisantecnologia.umov.watcher.persistence",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher",1,4,0.8,0.0,0.19999999999999996
"br.com.trevisantecnologia.umov.watcher.eca",2,1,0.3333333333333333,0.0,0.6666666666666667
"br.com.trevisantecnologia.umov.watcher.eca.adapter.impl",1,1,0.5,0.0,0.5
"br.com.trevisantecnologia.umov.watcher.eca.action.manager.impl",1,2,0.6666666666666666,0.0,0.33333333333333337
"br.com.trevisantecnologia.umov.watcher.eca.action.manager",2,8,0.8,0.0,0.19999999999999996
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.parse",0,4,1.0,0.0,0.0
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.smartpush",2,3,0.6,0.0,0.4
"br.com.trevisantecnologia.umov.watcher.cache",2,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.feeder.domain",1,5,0.8333333333333334,0.0,0.16666666666666663
"br.com.trevisantecnologia.umov.watcher.annotation",0,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification",15,1,0.0625,0.0,0.9375
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.DomainEvents",3,1,0.25,1.0,0.25
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.exceptions",6,0,0.0,0.0,1.0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.aplication",1,3,0.75,0.0,0.25
"me.umov.photo.serialize",0,0,0.0,0.0,1.0
