"namespace","noc","nac"
"br.com.trevisantecnologia.umov.watcher.model",62,2
"br.com.trevisantecnologia.umov.watcher.dao.impl",37,1
"br.com.trevisantecnologia.umov.watcher.types",23,0
"br.com.trevisantecnologia.umov.watcher.service",21,2
"br.com.trevisantecnologia.umov.watcher.exception",21,0
"br.com.trevisantecnologia.umov.watcher.task",15,2
"br.com.trevisantecnologia.umov.watcher.monitor",11,1
"br.com.trevisantecnologia.umov.watcher.mapping",11,4
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model",11,2
"br.com.trevisantecnologia.umov.watcher.serialize",10,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain",9,6
"br.com.trevisantecnologia.umov.watcher.eca.connector.task",8,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port",8,7
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations",6,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param",6,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions",6,1
"br.com.trevisantecnologia.umov.watcher.ioc.guice",5,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder",5,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria",5,1
"br.com.trevisantecnologia.umov.watcher.io",5,0
"br.com.trevisantecnologia.umov.watcher.dao",5,2
"br.com.trevisantecnologia.umov.watcher.feeder.oldway",4,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler",4,1
"br.com.trevisantecnologia.umov.watcher.log",4,0
"br.com.trevisantecnologia.umov.watcher.builder",4,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model",4,0
"br.com.trevisantecnologia.umov.watcher.http",3,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification",3,0
"br.com.trevisantecnologia.umov.watcher.template",2,0
"br.com.trevisantecnologia.umov.watcher.interceptor",2,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.observer",2,1
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification",2,1
"br.com.trevisantecnologia.umov.watcher.eca.action",2,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.exceptions",2,0
"br.com.trevisantecnologia.umov.watcher.feeder.aplication",2,0
"br.com.trevisantecnologia.umov.watcher.validators",2,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush",2,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter",2,0
"br.com.trevisantecnologia.umov.watcher.monitor.schedule.notification",1,0
"br.com.trevisantecnologia.umov.watcher.task.schedule.notification",1,0
"br.com.trevisantecnologia.umov.watcher.persistence",1,0
"br.com.trevisantecnologia.umov.watcher",1,0
"br.com.trevisantecnologia.umov.watcher.eca",1,0
"br.com.trevisantecnologia.umov.watcher.eca.adapter.impl",1,0
"br.com.trevisantecnologia.umov.watcher.eca.action.manager.impl",1,0
"br.com.trevisantecnologia.umov.watcher.eca.action.manager",1,0
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.parse",1,0
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.smartpush",1,0
"br.com.trevisantecnologia.umov.watcher.cache",1,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain",1,0
"br.com.trevisantecnologia.umov.watcher.annotation",1,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification",1,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.DomainEvents",1,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.exceptions",1,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.aplication",1,0
"me.umov.photo.serialize",1,0
