"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.umov.watcher.model.ConnectorImpl",5,0,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl",34,12,7,20
"br.com.trevisantecnologia.umov.watcher.model.Schedule",19,0,29,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService",24,9,5,14
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService",26,12,1,17
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.FinishScheduleBaseOnGPSService",28,17,1,21
"br.com.trevisantecnologia.umov.watcher.model.ScheduleReportRequest",3,0,13,2
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder",17,9,1,13
"br.com.trevisantecnologia.umov.watcher.model.ActivityHistory",15,0,8,1
"br.com.trevisantecnologia.umov.watcher.service.ScheduleService",27,19,3,22
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping",7,4,28,8
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification",18,1,15,2
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao",17,7,38,14
"br.com.trevisantecnologia.umov.watcher.model.LogEca",10,0,1,1
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask",27,15,1,21
"br.com.trevisantecnologia.umov.watcher.model.SystemParameter",7,1,10,2
"br.com.trevisantecnologia.umov.watcher.io.FileSystemManager",9,2,12,8
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService",22,9,1,12
"br.com.trevisantecnologia.umov.watcher.model.ScheduleFeed",11,1,11,4
"br.com.trevisantecnologia.umov.watcher.model.AnalyzeScheduleContext",8,0,6,4
"br.com.trevisantecnologia.umov.watcher.model.CustomField",10,0,10,1
"br.com.trevisantecnologia.umov.watcher.model.ScheduleImport",9,0,2,0
"br.com.trevisantecnologia.umov.watcher.model.GeoCoordinate",9,0,0,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl",17,5,5,10
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.SmartPushProperties",7,1,9,3
"br.com.trevisantecnologia.umov.watcher.eca.action.ActionParameterTranslator",24,19,7,22
