"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.umov.watcher.model.ConnectorImpl",390,80,80,82,5,0,1,3,40
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl",311,24,10,48,34,12,7,20,10
"br.com.trevisantecnologia.umov.watcher.model.Schedule",302,67,67,70,19,0,29,1,32
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService",189,31,7,49,24,9,5,14,5
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService",189,18,13,32,26,12,1,17,18
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.FinishScheduleBaseOnGPSService",186,24,5,39,28,17,1,21,14
"br.com.trevisantecnologia.umov.watcher.model.ScheduleReportRequest",184,45,45,53,3,0,13,2,19
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder",167,27,3,44,17,9,1,13,5
"br.com.trevisantecnologia.umov.watcher.model.ActivityHistory",165,34,34,35,15,0,8,1,19
"br.com.trevisantecnologia.umov.watcher.service.ScheduleService",156,16,10,32,27,19,3,22,11
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping",153,37,36,45,7,4,28,8,11
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification",152,28,28,34,18,1,15,2,13
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao",147,21,12,30,17,7,38,14,2
"br.com.trevisantecnologia.umov.watcher.model.LogEca",141,30,30,31,10,0,1,1,16
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask",138,11,2,23,27,15,1,21,7
"br.com.trevisantecnologia.umov.watcher.model.SystemParameter",136,30,30,33,7,1,10,2,14
"br.com.trevisantecnologia.umov.watcher.io.FileSystemManager",136,26,26,36,9,2,12,8,11
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService",131,12,4,23,22,9,1,12,8
"br.com.trevisantecnologia.umov.watcher.model.ScheduleFeed",128,27,27,31,11,1,11,4,11
"br.com.trevisantecnologia.umov.watcher.model.AnalyzeScheduleContext",127,30,30,38,8,0,6,4,11
"br.com.trevisantecnologia.umov.watcher.model.CustomField",127,29,29,32,10,0,10,1,12
"br.com.trevisantecnologia.umov.watcher.model.ScheduleImport",123,27,27,27,9,0,2,0,12
"br.com.trevisantecnologia.umov.watcher.model.GeoCoordinate",122,26,26,26,9,0,0,0,13
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl",121,10,3,23,17,5,5,10,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.SmartPushProperties",117,19,18,21,7,1,9,3,11
"br.com.trevisantecnologia.umov.watcher.eca.action.ActionParameterTranslator",115,12,10,10,24,19,7,22,1
"br.com.trevisantecnologia.umov.watcher.http.RESTClientProvider",112,14,9,15,28,3,2,8,3
"br.com.trevisantecnologia.umov.watcher.task.SendSmsTask",112,7,1,16,25,15,0,19,5
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ItemFeeder",102,8,3,14,19,13,0,16,10
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleSendMailService",100,11,1,21,14,6,0,11,6
"br.com.trevisantecnologia.umov.watcher.model.Item",98,20,20,23,15,0,5,0,8
"br.com.trevisantecnologia.umov.watcher.model.Event",98,19,19,24,10,0,18,1,10
"br.com.trevisantecnologia.umov.watcher.builder.ReportRequest",98,16,6,20,14,10,3,12,10
"br.com.trevisantecnologia.umov.watcher.dao.impl.ActivityHistoryDaoImpl",98,11,7,11,22,6,5,11,2
"br.com.trevisantecnologia.umov.watcher.model.ScheduleExport",97,20,20,20,9,0,2,0,10
"br.com.trevisantecnologia.umov.watcher.task.SendReportScheduleExecutionTask",95,9,4,17,18,10,1,15,8
"br.com.trevisantecnologia.umov.watcher.model.ActionImpl",94,17,17,20,8,0,16,4,10
"br.com.trevisantecnologia.umov.watcher.dao.impl.HistoryItemDaoImpl",94,10,6,14,20,7,3,9,1
"br.com.trevisantecnologia.umov.watcher.model.Feed",92,20,20,20,6,0,8,0,10
"br.com.trevisantecnologia.umov.watcher.service.HistoryItemService",92,9,7,17,18,10,4,15,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.ClientSettings",91,22,21,29,5,2,14,5,9
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldValueService",89,11,9,15,14,12,2,16,4
"br.com.trevisantecnologia.umov.watcher.model.CustomFieldValue",85,17,17,17,10,0,10,2,7
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.parse.ParseTranslator",85,10,5,13,11,4,0,8,8
"br.com.trevisantecnologia.umov.watcher.model.Agent",84,18,18,18,8,0,3,2,8
"br.com.trevisantecnologia.umov.watcher.model.HistoryItem",82,16,16,16,9,0,14,0,8
"br.com.trevisantecnologia.umov.watcher.model.Activity",82,15,15,17,11,1,7,1,10
"br.com.trevisantecnologia.umov.watcher.model.ArrayLongToListLongType",79,13,11,18,11,0,0,5,1
