"method","loc","cyclo","calls","nbd","param"
"me.umov.zeus.domain.event.RegisterEvents.notify(T event)",8,5,4,2,1
"me.umov.zeus.domain.event.RegisterEvents.verify(T event)",5,3,2,2,1
"me.umov.zeus.domain.creation.model.User.setEmail(String email)",5,3,2,1,1
"me.umov.zeus.domain.creation.model.User.setName(String name)",5,3,2,1,1
"me.umov.zeus.domain.creation.model.User.setPassword(String password)",5,3,2,1,1
"me.umov.zeus.domain.creation.model.User.setLogin(String login)",4,3,2,1,1
"me.umov.zeus.application.reprocess.Reprocessor.verify(ClientRequest clientRequest)",3,3,1,1,1
"me.umov.zeus.domain.creation.complementary.cloner.ChainResponsibilityFactory.getCloner(Mold mold)",8,3,4,0,1
"me.umov.zeus.domain.creation.model.Identity.setDomain(String domain)",5,3,2,0,1
"me.umov.zeus.domain.creation.model.Contract.setPlanType(String planType)",5,3,1,0,1
"me.umov.zeus.domain.creation.model.MoldState.isContext(Context context)",5,3,1,0,1
"me.umov.zeus.domain.creation.model.SourceData.setType(String type)",4,3,1,0,1
"me.umov.zeus.domain.creation.complementary.Cloner.clone(Mold mold)",14,2,14,2,1
"me.umov.zeus.domain.creation.complementary.Cloner.getMessage(Mold mold)",4,2,3,2,1
"me.umov.zeus.domain.creation.rules.InitialCreationRules.satisfyDomain(Environment environment)",8,2,5,1,1
"me.umov.zeus.application.observers.NotifyComplementaryData.process(EnvironmentCreationHeld event)",7,2,6,1,1
"me.umov.zeus.application.observers.WelcomeNotifier.verify(JaiminhoResponse jaiminhoResponse, EnvironmentCreationHeld event)",6,2,8,1,2
"me.umov.zeus.application.observers.WelcomeNotifier.process(EnvironmentCreationHeld event)",6,2,4,1,1
"me.umov.zeus.application.reprocess.Reprocessor.getClient(ClientRequest clientRequest)",5,2,4,1,1
"me.umov.zeus.infrastructure.services.FTP.verify(ResponseEntity<String> result)",5,2,4,1,1
"me.umov.zeus.domain.creation.model.User.setEncriptPassword(Encryptor encryptor)",5,2,2,1,1
"me.umov.zeus.domain.creation.rules.InitialCreationRules.satisfyEmail(Environment environment)",4,2,3,1,1
"me.umov.zeus.domain.creation.complementary.cloner.ChainResponsibilityClone.generateClone(Mold mold)",5,2,4,0,1
"me.umov.zeus.domain.creation.model.Mold.cloneSuccessfullyExecuted()",5,2,2,0,0
"me.umov.zeus.domain.creation.model.Environment.setContract(Contract contract)",5,2,1,0,1
"me.umov.zeus.domain.creation.model.Environment.setIdentity(Identity identity)",5,2,1,0,1
"me.umov.zeus.domain.creation.model.Environment.setSourceData(SourceData sourceData)",5,2,1,0,1
"me.umov.zeus.domain.creation.model.Environment.setUser(User user)",5,2,1,0,1
"me.umov.zeus.domain.creation.model.Environment.copyItens()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.copyItineraries()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.copyLocals()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getEmail()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getEnvironmentOrigin()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getLicense()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getLogin()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getPartner()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getPassword()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getPlanType()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getType()",5,2,1,0,0
"me.umov.zeus.domain.creation.model.Environment.getUserFirstName()",5,2,1,0,0
"me.umov.zeus.application.startcreation.EnvironmentRequest.getCopyItens()",5,2,0,0,0
"me.umov.zeus.application.startcreation.EnvironmentRequest.getCopyLocals()",5,2,0,0,0
"me.umov.zeus.domain.creation.model.Contract.setPartner(Long partner)",4,2,1,0,1
"me.umov.zeus.domain.creation.model.Mold.setId(Identity id)",4,2,1,0,1
"me.umov.zeus.domain.creation.model.Mold.setSourceData(SourceData sourceData)",4,2,1,0,1
"me.umov.zeus.domain.creation.model.Mold.setState(MoldState state)",4,2,1,0,1
"me.umov.zeus.domain.creation.model.MoldState.changeContext(Context context)",4,2,1,0,1
"me.umov.zeus.domain.creation.model.MoldState.changeStatus(MoldStatus status)",4,2,1,0,1
"me.umov.zeus.domain.creation.model.Contract.setLicense(Long license)",4,2,0,0,1
"me.umov.zeus.domain.creation.model.SourceData.setOrigin(Long origin)",4,2,0,0,1
"me.umov.zeus.application.startcreation.EnvironmentRequest.getCopyItinerary()",4,2,0,0,0
"me.umov.zeus.infrastructure.services.aws.MessageDTO.verify(Long id)",3,2,0,0,1
"me.umov.zeus.infrastructure.configuration.RestConfiguration.getConnectTimeout()",2,2,0,0,0
"me.umov.zeus.infrastructure.configuration.RestConfiguration.getReadTimeout()",2,2,0,0,0
"me.umov.zeus.domain.event.RegisterEvents.setDomainListeners(List<Listener> domainListeners)",2,1,0,2,1
"me.umov.zeus.application.startcreation.CreatorController.initialize(@RequestBody EnvironmentRequest workspaceRequest)",16,1,22,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.createEnvironment(Environment environment)",15,1,15,1,1
"me.umov.zeus.domain.creation.initial.Start.initialize(Environment environment)",13,1,8,1,1
"me.umov.zeus.application.complementary.Maker.build(MessageDTO message)",11,1,14,1,1
"me.umov.zeus.application.reprocess.Reprocessor.reprocess(@RequestBody ClientRequest clientRequest)",11,1,14,1,1
"me.umov.zeus.infrastructure.services.aws.ProducerQueueAWS.send(MessageDTO message)",10,1,5,1,1
"me.umov.zeus.infrastructure.services.jaiminho.JaiminhoService.send(JaiminhoRequest messageJaiminho)",10,1,4,1,1
"me.umov.zeus.domain.creation.model.User.toString()",9,1,15,1,0
"me.umov.zeus.infrastructure.services.FTP.getURL(Environment environment)",7,1,7,1,1
"me.umov.zeus.domain.creation.model.User.User(String login, String password, String name, String email, Encryptor encryptor)",7,1,5,1,5
"me.umov.zeus.application.observers.WelcomeNotifier.buildBody(Partner partner, EnvironmentCreationHeld event)",6,1,7,1,2
"me.umov.zeus.application.reprocess.Reprocessor.createMold(ClientRequest clientRequest, ScheduleCreationEnvironment scheduleCreationEnvironment)",6,1,7,1,2
"me.umov.zeus.application.observers.NotifyComplementaryData.build(EnvironmentCreationHeld event)",6,1,6,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.create(Environment environment)",6,1,6,1,1
"me.umov.zeus.infrastructure.services.jaiminho.JaiminhoService.buildContent(JaiminhoRequest message)",6,1,6,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.getNewClientId(String environmentId)",6,1,2,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.update(Mold mold)",5,1,12,1,1
"me.umov.zeus.infrastructure.services.FTP.create(Environment environment)",5,1,3,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.createComplementary(Mold mold)",4,1,5,1,1
"me.umov.zeus.application.observers.WelcomeNotifier.buildSubject(Partner partner, EnvironmentCreationHeld event)",4,1,3,1,2
"me.umov.zeus.domain.creation.rules.InitialCreationRules.verify(Environment environment)",4,1,2,1,1
"me.umov.zeus.application.observers.WelcomeNotifier.getMessage(EnvironmentCreationHeld event)",3,1,6,1,1
"me.umov.zeus.application.observers.NotifyComplementaryData.buldMessage(EnvironmentCreationHeld event)",3,1,3,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.domainIsReserved(Environment environment)",3,1,2,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.exist(Environment environment)",3,1,2,1,1
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO.mustRunAlbieri(Mold mold)",3,1,2,1,1
"me.umov.zeus.application.observers.NotifyComplementaryData.shouldProcess(Class clazz)",3,1,1,1,1
"me.umov.zeus.application.observers.WelcomeNotifier.shouldProcess(Class clazz)",3,1,1,1,1
"me.umov.zeus.infrastructure.services.aws.ProducerQueueAWS.createSendMessageRequest()",2,1,1,1,0
"me.umov.zeus.domain.creation.model.User.getEmail()",2,1,0,1,0
"me.umov.zeus.domain.creation.model.User.getEncriptPassword()",2,1,0,1,0
"me.umov.zeus.domain.creation.model.User.getLogin()",2,1,0,1,0
"me.umov.zeus.domain.creation.model.User.getName()",2,1,0,1,0
"me.umov.zeus.domain.creation.model.User.getPassword()",2,1,0,1,0
"me.umov.zeus.infrastructure.database.dao.ClientDao.createEnvironment(String domain, String login, String firstName, Long clientIdOrigin, Long licenses, String password, String planType, Long partner, String email, Boolean copyItens, Boolean copyLocals, Boolean copyItinerary, String passwordEncripted)",13,1,0,0,13
