"namespace","ca","ce","instability","abstractness","distance"
"me.umov.zeus.domain.creation.model",30,0,0.0,0.07142857142857142,0.9285714285714286
"me.umov.zeus.infrastructure.database.dao",6,5,0.45454545454545453,0.8333333333333334,0.28787878787878785
"me.umov.zeus.domain.creation.initial",6,2,0.25,0.5,0.25
"me.umov.zeus.domain.creation.rules",1,3,0.75,0.16666666666666666,0.08333333333333337
"me.umov.zeus.infrastructure.database.entity",10,0,0.0,0.0,1.0
"me.umov.zeus.domain.creation.complementary.cloner",1,2,0.6666666666666666,0.25,0.08333333333333337
"me.umov.zeus.domain.specification",4,0,0.0,0.5,0.5
"me.umov.zeus.application.startcreation",1,2,0.6666666666666666,0.25,0.08333333333333337
"me.umov.zeus.application.complementary",1,2,0.6666666666666666,0.25,0.08333333333333337
"me.umov.zeus.infrastructure.services.jaiminho",1,0,0.0,0.0,1.0
"me.umov.zeus.infrastructure.services.aws",2,0,0.0,0.3333333333333333,0.6666666666666667
"me.umov.zeus.domain.creation.complementary",3,3,0.5,0.3333333333333333,0.16666666666666674
"me.umov.zeus.domain.event",6,0,0.0,0.6666666666666666,0.33333333333333337
"me.umov.zeus.application.reprocess",0,4,1.0,0.0,0.0
"me.umov.zeus.anticorruption",0,6,1.0,0.0,0.0
"me.umov.zeus.infrastructure.configuration",0,0,0.0,0.0,1.0
"me.umov.zeus.infrastructure.services",1,4,0.8,0.0,0.19999999999999996
"me.umov.zeus.application.observers",0,6,1.0,0.0,0.0
"me.umov.zeus.application.version",0,0,0.0,0.0,1.0
"me.umov.zeus",0,0,0.0,0.0,1.0
