"namespace","noc","nac"
"me.umov.zeus.domain.creation.model",14,1
"me.umov.zeus.infrastructure.database.dao",6,5
"me.umov.zeus.domain.creation.initial",6,3
"me.umov.zeus.domain.creation.rules",6,1
"me.umov.zeus.infrastructure.database.entity",5,0
"me.umov.zeus.domain.creation.complementary.cloner",4,1
"me.umov.zeus.domain.specification",4,2
"me.umov.zeus.application.startcreation",4,1
"me.umov.zeus.application.complementary",4,1
"me.umov.zeus.infrastructure.services.jaiminho",3,0
"me.umov.zeus.infrastructure.services.aws",3,1
"me.umov.zeus.domain.creation.complementary",3,1
"me.umov.zeus.domain.event",3,2
"me.umov.zeus.application.reprocess",3,0
"me.umov.zeus.anticorruption",2,0
"me.umov.zeus.infrastructure.configuration",2,0
"me.umov.zeus.infrastructure.services",2,0
"me.umov.zeus.application.observers",2,0
"me.umov.zeus.application.version",1,0
"me.umov.zeus",1,0
