"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.zeus.domain.creation.model.Environment",130,25,21,41,1,0,17,3,5
"me.umov.zeus.application.startcreation.EnvironmentRequest",100,26,26,29,0,0,1,0,13
"me.umov.zeus.domain.creation.model.Mold",92,21,17,25,5,0,12,2,6
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO",74,8,6,8,10,5,1,12,4
"me.umov.zeus.infrastructure.database.entity.ScheduleCreationEnvironment",68,14,14,14,6,0,4,0,7
"me.umov.zeus.domain.creation.model.User",68,12,7,21,0,0,1,3,6
"me.umov.zeus.application.reprocess.Reprocessor",62,4,1,7,20,11,0,14,4
"me.umov.zeus.infrastructure.configuration.AmazonSQSConfiguration",56,7,4,7,14,0,0,1,2
"me.umov.zeus.application.observers.WelcomeNotifier",55,6,2,8,12,7,0,11,3
"me.umov.zeus.infrastructure.database.entity.Partner",48,10,10,10,3,0,2,0,5
"me.umov.zeus.infrastructure.database.entity.Client",45,9,9,9,3,0,3,1,5
"me.umov.zeus.domain.creation.model.Contract",45,8,5,12,0,0,1,4,4
"me.umov.zeus.application.observers.NotifyComplementaryData",44,4,2,5,12,6,0,10,3
"me.umov.zeus.domain.creation.initial.EnvironmentCreationHeld",42,11,11,11,3,3,3,4,2
"me.umov.zeus.infrastructure.database.dao.ClientDao",41,6,6,6,5,1,2,2,0
"me.umov.zeus.domain.creation.complementary.Cloner",39,2,1,4,8,4,1,7,4
"me.umov.zeus.application.startcreation.CreatorController",39,1,1,1,12,3,0,5,3
"me.umov.zeus.domain.creation.model.MoldState",37,8,6,12,0,0,2,2,3
"me.umov.zeus.infrastructure.services.FTP",37,3,1,4,10,2,0,5,2
"me.umov.zeus.domain.creation.rules.InitialCreationRules",37,3,1,5,4,2,0,5,6
"me.umov.zeus.infrastructure.services.jaiminho.JaiminhoService",37,2,1,2,11,0,1,2,2
"me.umov.zeus.anticorruption.ComplementaryDataConverter",36,1,1,1,16,10,0,13,3
